random_state,best_l1_ratio,alpha_lasso,alpha_ridge,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_ridge,mean_c_index_ridge,std_c_index_ridge,c_index_ridge_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_ridge,mean_ibs_ridge,std_ibs_ridge,ibs_test_ridge,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_ridge,mean_auc_ridge,std_auc_ridge,auc_test_ridge,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf,c_uno_lasso,mean_c_uno_lasso,std_c_uno_lasso,c_uno_lasso_test,c_uno_ridge,mean_c_uno_ridge,std_c_uno_ridge,c_uno_ridge_test,c_uno_elastic_net,mean_c_uno_elastic,std_c_uno_elastic,c_uno_elastic_test,mean_c_uno_rf,std_c_uno_rf,c_uno_rf_test
1,0.2,[0.013811239998370398],[2774.99992110722],[0.07578909424069913],15,2,100,"[[0.7793715846994536, 0.6284916201117319, 0.6011166253101737]]",0.6696599433737864,0.078378699346507,0.7850911974623315,"[[0.6666666666666666, 0.6284916201117319, 0.6011166253101737]]",0.6320916373628575,0.0268814939269352,0.7850911974623315,"[[0.7793715846994536, 0.6284916201117319, 0.6011166253101737]]",0.6696599433737864,0.078378699346507,0.7850911974623315,"[[0.8144276176595173, 0.6437706089077848, 0.5831181090989367]]",0.6503845344568382,0.0650242509035378,0.704203013481364,"[[0.1026122875479856, 0.11083465323030477, 0.11196199734003752]]",0.1084696460394426,0.0041672702942909,0.0902450441635408,"[[0.1026122875479856, 0.11083465323030477, 0.11196199734003752]]",0.1084696460394426,0.0041672702942909,0.1031539843037917,"[[0.10466021096770875, 0.10802069265840944, 0.11173148164536767]]",0.1081374617571619,0.0028880147178753,0.0985189669526495,"[[0.09976684504006463, 0.11813480371403962, 0.11381082181035065]]",0.1105708235214849,0.0078408616935514,0.0877004905845523,"[[0.8603190636307203, 0.5509099981008546, 0.657459708275768]]",0.6895629233357811,0.1283392763236265,0.8090433780041629,"[[0.6549948380267383, 0.5509099981008546, 0.657459708275768]]",0.6211215148011203,0.0496572364941231,0.8090433780041629,"[[0.8603190636307203, 0.5509099981008546, 0.657459708275768]]",0.6895629233357811,0.1283392763236265,0.8090433780041629,"[[0.8389695182025166, 0.5633761863944668, 0.6803804141484134]]",0.6942420395817989,0.1129366478134447,0.7339128901056203,"[[0.8472551896059213, 0.6359818168638436, 0.6009720188791022]]",0.6947363417829556,0.1087900752050075,0.7971475230205596,"[[0.6778344693960472, 0.6359818168638436, 0.6009720188791022]]",0.6382627683796643,0.0314203875398399,0.7971475230205596,"[[0.8472551896059213, 0.6359818168638436, 0.6009720188791022]]",0.6947363417829556,0.1087900752050075,0.7971475230205596,0.680438778555413,0.0979266330358762,0.717181199977762
2,0.2,[0.010152486356523138],[3734.4700447600826],[0.03188028658910564],5,2,100,"[[0.679874213836478, 0.5646916565900847, 0.7868020304568528]]",0.6771226336278051,0.090697052285957,0.6749764816556915,"[[0.650314465408805, 0.5532043530834341, 0.5]]",0.5678396061640797,0.06223210640998,0.7107243650047037,"[[0.679874213836478, 0.5646916565900847, 0.7868020304568528]]",0.6771226336278051,0.090697052285957,0.6749764816556915,"[[0.7109486793763711, 0.6209752324485073, 0.8246331327502426]]",0.6942558270940751,0.0792757932057675,0.6063029162746942,"[[0.10586623371914566, 0.10920946913124699, 0.11343232696532798]]",0.1095026766052402,0.0030957949673264,0.0849921652047343,"[[0.10586623371914566, 0.10920946913124699, 0.11343232696532798]]",0.1095026766052402,0.0030957949673264,0.0906616075302641,"[[0.10423782768738707, 0.10950946970527983, 0.11402424857181002]]",0.1092571819881589,0.0039992703710322,0.0857056016923906,"[[0.1092624537532138, 0.12085977632981548, 0.10388701996970501]]",0.1113364166842447,0.0070825892767351,0.0925584257926279,"[[0.6534354966633031, 0.5057548483532639, 0.7337587979336263]]",0.6309830476500644,0.0944264602961132,0.6920200468792765,"[[0.6395849686612711, 0.5229426911195888, 0.5]]",0.55417588659362,0.0611153294664074,0.7239284214817872,"[[0.6534354966633031, 0.5135466075696575, 0.7337587979336263]]",0.6335803007221957,0.0909909292205145,0.6920200468792765,"[[0.6888324106395436, 0.5568989766814557, 0.8559666937183503]]",0.7005660270131165,0.1223754691058537,0.6953017057110826,"[[0.7027383970827514, 0.5948009721407937, 0.7421638021488506]]",0.6799010571241318,0.062290229246033,0.6506044816582721,"[[0.6729968902391105, 0.5769988200423236, 0.5]]",0.5833319034271447,0.0707675159329006,0.6935088439120085,"[[0.7027383970827514, 0.5939471651621223, 0.7421638021488506]]",0.6796164547979081,0.0626791354502257,0.6506044816582721,0.7188523481917071,0.0833306109197365,0.5449677849061613
3,0.2,[0.002585320180377814],[3042.4356891400066],[0.0030564810974009317],15,2,500,"[[0.8023743016759777, 0.5064469914040115, 0.7773775216138329]]",0.6953996048979407,0.1339988242809327,0.6986159169550173,"[[0.6641061452513967, 0.4706303724928367, 0.7579250720461095]]",0.6308871965967809,0.1196165679999773,0.6986159169550173,"[[0.7988826815642458, 0.5064469914040115, 0.7773775216138329]]",0.6942357315273634,0.1330766099256616,0.6885813148788927,"[[0.7967962614228588, 0.47841684563982206, 0.7582528573669455]]",0.6656639574134157,0.1494818098253301,0.655363321799308,"[[0.09835470614745963, 0.1235495418899198, 0.08250013727580169]]",0.101468128437727,0.0169023362006863,0.1130736916680389,"[[0.09835470614745963, 0.1235495418899198, 0.08250013727580169]]",0.101468128437727,0.0169023362006863,0.1262282476198966,"[[0.09805900548721852, 0.12220624222277486, 0.0829238212930499]]",0.1010630230010144,0.0161770462784448,0.1135774483908432,"[[0.10037047247738876, 0.1211386458197516, 0.08417622560285432]]",0.1018951146333315,0.0151283074036805,0.1180365259258954,"[[0.817131380664006, 0.47514237208453414, 0.7630766983924516]]",0.6851168170469973,0.150105358158507,0.6819198502757394,"[[0.6519001259462902, 0.4316409889215955, 0.7562294532031155]]",0.6132568560236671,0.1353006393650659,0.6819198502757394,"[[0.8081543670505916, 0.47514237208453414, 0.7630766983924516]]",0.682124479175859,0.1475108889650451,0.6837064339680128,"[[0.7816271243470484, 0.39184785460646654, 0.7885105460688268]]",0.6539951750074472,0.1853874475590886,0.6500751140741384,"[[0.8260191094106728, 0.5260039238218822, 0.7816966995002953]]",0.7112399109109501,0.1322255577657912,0.7166343526025252,"[[0.68916262879435, 0.4922899787956464, 0.7598226357049537]]",0.6470917477649833,0.1131986451661521,0.7166343526025252,"[[0.8108795526957198, 0.5260039238218822, 0.7816966995002953]]",0.7061933920059658,0.1279689885962052,0.6994072601359959,0.6778219881432088,0.1418760178034594,0.677636841852932
4,0.2,[0.0034439381449764763],[3524.977528884799],[0.009853740130807987],15,2,100,"[[0.6015523932729625, 0.8776371308016878, 0.7663877266387726]]",0.7485257502378077,0.1134165867492868,0.6152402402402403,"[[0.591849935316947, 0.7327707454289732, 0.6311018131101813]]",0.6519074979520338,0.0593819617502448,0.6216216216216216,"[[0.6015523932729625, 0.8776371308016878, 0.7663877266387726]]",0.7485257502378077,0.1134165867492868,0.6152402402402403,"[[0.5596865229376777, 0.8716442563811222, 0.7797631475335296]]",0.7374134309514565,0.1278042523726269,0.5784534534534534,"[[0.11255563985759214, 0.07929267321513557, 0.09678939792662056]]",0.096212570333116,0.0135856734594146,0.1113915330150095,"[[0.11255563985759214, 0.07929267321513557, 0.09678939792662056]]",0.096212570333116,0.0135856734594146,0.1189207029291355,"[[0.10935086267941192, 0.08094878300426774, 0.09697659855255766]]",0.0957587480787457,0.0116270346549391,0.1114260637662545,"[[0.11498365532829906, 0.08141800030070383, 0.09419025516936212]]",0.0968639702661216,0.0138329284359666,0.1161707495452567,"[[0.6791770307483326, 0.893034842079351, 0.8265730077378157]]",0.7995949601884998,0.0893668549817855,0.5682469044431218,"[[0.6697092520862239, 0.7561435830391535, 0.6633792510045144]]",0.6964106953766306,0.0423165108029265,0.5806317242752314,"[[0.6791770307483326, 0.893034842079351, 0.8265730077378157]]",0.7995949601884998,0.0893668549817855,0.5682469044431218,"[[0.6311741040513414, 0.8772931297928972, 0.8659492952267428]]",0.7914721763569937,0.1134424219133424,0.5391365730652558,"[[0.5997524496937665, 0.8847355795880109, 0.764968062666325]]",0.7498186973160341,0.1168359919829712,0.6732494630521675,"[[0.5890900108809312, 0.7331035517069554, 0.6328565970100262]]",0.6516833865326376,0.0602816223410793,0.6775812655781117,"[[0.5997524496937665, 0.8847355795880109, 0.764968062666325]]",0.7498186973160341,0.1168359919829712,0.6732494630521675,0.7370313089507765,0.1308915948034597,0.6354464764447268
5,0.2,[0.022105772903460556],[3687.4651655485036],[0.12130529235908905],15,2,100,"[[0.6290106951871658, 0.6544566544566545, 0.7826347305389222]]",0.6887006933942476,0.0672288465442673,0.6835973904939422,"[[0.6290106951871658, 0.6544566544566545, 0.6988023952095809]]",0.6607565816178004,0.0288384830817145,0.6835973904939422,"[[0.6290106951871658, 0.6544566544566545, 0.7826347305389222]]",0.6887006933942476,0.0672288465442673,0.6835973904939422,"[[0.7224641074881737, 0.6143722268223, 0.6538469408036631]]",0.6301044903721903,0.0130184537114268,0.678937558247903,"[[0.09218600428028727, 0.12257232588879224, 0.12188911030719826]]",0.1122158134920926,0.0141659601081542,0.0837491398389403,"[[0.09218600428028727, 0.12257232588879224, 0.12188911030719826]]",0.1122158134920926,0.0141659601081542,0.0920930315849367,"[[0.09517065960414373, 0.12158295756827067, 0.1250817850932705]]",0.1139451340885616,0.0133521812858915,0.089772879512279,"[[0.0922748570134461, 0.13498322070426821, 0.11713129426932607]]",0.1147964573290134,0.0175136076607166,0.079625559777279,"[[0.6908984572921376, 0.6745484085001687, 0.7692832581603248]]",0.7115767079842104,0.0413470311211196,0.7021549926312153,"[[0.6908984572921376, 0.6745484085001687, 0.717615505458893]]",0.6943541237503997,0.0177510550506368,0.7021549926312153,"[[0.6908984572921376, 0.6745484085001687, 0.7692832581603248]]",0.7115767079842104,0.0413470311211196,0.7021549926312153,"[[0.6789300204305243, 0.6419116192762219, 0.692078723612264]]",0.67097345443967,0.0212393470731556,0.6811056554583694,"[[0.7272123063609112, 0.6318202511807951, 0.789197371245513]]",0.7160766429290731,0.0647296517834835,0.6924918005790732,"[[0.7272123063609112, 0.6318202511807951, 0.7053424304595748]]",0.6881249960004269,0.0408022963805377,0.6924918005790732,"[[0.7272123063609112, 0.6318202511807951, 0.789197371245513]]",0.7160766429290731,0.0647296517834835,0.6924918005790732,0.6635610917047122,0.0446597299011658,0.6911616353436258
6,0.2,[0.0017473623934707637],[2983.363808583022],[0.004772288896446872],5,2,500,"[[0.6130177514792899, 0.7241602067183462, 0.6180637544273908]]",0.6517472375416756,0.0512451240943899,0.8300921187308086,"[[0.5899408284023668, 0.6692506459948321, 0.6080283353010626]]",0.6224066032327538,0.0339368308594478,0.7072671443193449,"[[0.6130177514792899, 0.7164082687338501, 0.6180637544273908]]",0.6491632582135103,0.0475940060396161,0.8300921187308086,"[[0.5034068474056803, 0.6845219945591076, 0.6917417153552223]]",0.6191257057332842,0.0796436790413798,0.8229273285568065,"[[0.11194093171708934, 0.10944893279124122, 0.1293832991209774]]",0.116924387876436,0.0088683281668015,0.0777043536620257,"[[0.11194093171708934, 0.10944893279124122, 0.1293832991209774]]",0.116924387876436,0.0088683281668015,0.0945491582394171,"[[0.11139147355839178, 0.1095693845821559, 0.12823035401811253]]",0.1163970707195534,0.0084003947239519,0.0784692339930036,"[[0.11407687879690027, 0.10850525176703969, 0.12560491388199993]]",0.1160623481486466,0.0071206824355298,0.0766128250014707,"[[0.6802568823614676, 0.6944248273276235, 0.5266637350417542]]",0.6337818149102817,0.0759644431831155,0.8729700237144302,"[[0.6574673996947601, 0.642347612922632, 0.5459564073474221]]",0.6152571399882715,0.0493902530629104,0.7343686091768716,"[[0.6802568823614676, 0.6864902103435127, 0.5266637350417542]]",0.6311369425822448,0.0739175302382403,0.8729700237144302,"[[0.549423244335346, 0.7139733065601142, 0.5934745560154238]]",0.6189570356369613,0.0695518910372695,0.8521324098996864,"[[0.6127143756383202, 0.7478486312052134, 0.6396467260977199]]",0.6667365776470845,0.0583992682581414,0.8567065717814358,"[[0.5898190377840518, 0.681112126848182, 0.6187174808464915]]",0.6298828818262417,0.0380973022841667,0.7293159498312707,"[[0.6127143756383202, 0.7409372285369975, 0.6396467260977199]]",0.6644327767576792,0.0552028757213336,0.8567065717814358,0.6265568524400035,0.0871300709554736,0.8246983844303197
7,0.3,[0.005848599722128092],[3938.535166569007],[0.01544971753034662],5,2,100,"[[0.5653553299492385, 0.7959057071960298, 0.64002828854314]]",0.6670964418961361,0.096048192093398,0.7572493786246893,"[[0.5653553299492385, 0.5, 0.6117397454031117]]",0.5590316917841167,0.0458361863991075,0.6342170671085335,"[[0.5653553299492385, 0.7959057071960298, 0.64002828854314]]",0.6670964418961361,0.096048192093398,0.7572493786246893,"[[0.5655908639910492, 0.5576850845388255, 0.5917513090426858]]",0.585788422095403,0.0383616584964373,0.7410936205468103,"[[0.1077776513252721, 0.10019417871026154, 0.11159584445361126]]",0.1065225581630483,0.0047385609324044,0.0982394826759281,"[[0.1077776513252721, 0.10019417871026154, 0.11159584445361126]]",0.1065225581630483,0.0047385609324044,0.1105520420903395,"[[0.10643034938715637, 0.10095104951761366, 0.11130383290179219]]",0.1062284106021874,0.0042289175450767,0.0997018314170533,"[[0.11384001697715214, 0.10365383244355723, 0.1183541433930243]]",0.1119493309379112,0.0061484852214178,0.0952704077702082,"[[0.5270414046433992, 0.7901409139986457, nan]]",,,0.8068781854403749,"[[0.5270414046433992, 0.5, nan]]",,,0.6630914425200216,"[[0.5270414046433992, 0.7901409139986457, nan]]",,,0.8068781854403749,"[[0.5435045262166518, 0.5906481656276306, nan]]",,,0.7883973348062682,"[[0.5775517516627845, 0.8008905148005073, 0.6364366532441386]]",0.6716263065691436,0.0945120258867356,0.8303870896753742,"[[0.5775517516627845, 0.5, 0.641629620597277]]",0.5730604574200205,0.0579072024916502,0.6690814080847475,"[[0.5775517516627845, 0.8008905148005073, 0.6364366532441386]]",0.6716263065691436,0.0945120258867356,0.8303870896753742,0.5716757525241868,0.0145578458647421,0.8105943419795962
8,0.7,[0.0033935609217347605],[3473.4148780997707],[0.004417266174990951],15,2,500,"[[0.7800802139037433, 0.6863143631436315, 0.6185770750988142]]",0.6949905507153963,0.0662181905221739,0.6978756884343037,"[[0.5, 0.6673441734417345, 0.6245059288537549]]",0.5972833674318297,0.070978019996814,0.6986624704956726,"[[0.7800802139037433, 0.6863143631436315, 0.6185770750988142]]",0.6949905507153963,0.0662181905221739,0.6978756884343037,"[[0.7320280344287237, 0.7866994887279855, 0.6321135994587463]]",0.6667923963398357,0.0326901928983008,0.7332808811959087,"[[0.092472660175138, 0.1017226711428984, 0.10263791874970071]]",0.0989444166892457,0.0045914517550814,0.0967342131196288,"[[0.092472660175138, 0.1017226711428984, 0.10263791874970071]]",0.0989444166892457,0.0045914517550814,0.1071530453950365,"[[0.09273467518597739, 0.10197614924711268, 0.10214409666782706]]",0.0989516403669723,0.0043965928952852,0.096797434120019,"[[0.09686023930060726, 0.1040195712059514, 0.10169149246474368]]",0.1008571009904341,0.0029817405634986,0.0980737946094244,"[[0.8050056356123676, 0.7323860232016621, 0.5692672932705513]]",0.7022196506948603,0.0985753486262537,0.6843068598714005,"[[0.5, 0.7137901680879156, 0.5820200812851692]]",0.5986034164576949,0.088063667297579,0.6960651189625309,"[[0.8050056356123676, 0.7323860232016621, 0.5692672932705513]]",0.7022196506948603,0.0985753486262537,0.6843068598714005,"[[0.7107686993478372, 0.7172754948773641, 0.57416944390164]]",0.6674045460422805,0.0659806678777832,0.7316447839727289,"[[0.7949089088565939, 0.8002669804940239, 0.6225323887610318]]",0.7392360927038832,0.0825509665536125,0.708792263569096,"[[0.5, 0.7881291148957498, 0.629110750870941]]",0.6390799552555636,0.1178392563047895,0.7065949749091909,"[[0.7949089088565939, 0.8002669804940239, 0.6225323887610318]]",0.7392360927038832,0.0825509665536125,0.708792263569096,0.7169470408718185,0.0640040444830789,0.7324956880225723
9,0.9,[0.027265988322721344],[4764.808894823339],[0.031738087646957694],15,2,1000,"[[0.7740147783251231, 0.6902313624678663, 0.7239101717305152]]",0.7293854375078349,0.0344228518543203,0.6427335640138409,"[[0.6927339901477833, 0.6902313624678663, 0.6704095112285336]]",0.6844582879480611,0.0099863867944458,0.5627162629757786,"[[0.7740147783251231, 0.6902313624678663, 0.7239101717305152]]",0.7293854375078349,0.0344228518543203,0.6427335640138409,"[[0.6710748015095173, 0.6089823314854615, 0.7045164767353157]]",0.6523868114186476,0.0400632478220465,0.657439446366782,"[[0.11333683575531406, 0.10176505957916492, 0.10185907009247439]]",0.1056536551423178,0.0054329646752084,0.1091645804776606,"[[0.11333683575531406, 0.10176505957916492, 0.10185907009247439]]",0.1056536551423178,0.0054329646752084,0.1104189881995052,"[[0.11418278342939137, 0.10245281701729252, 0.10309328469905772]]",0.1065762950485805,0.0053849511807384,0.1092041331570609,"[[0.1087415881008089, 0.10283071018694533, 0.09679966699183701]]",0.102790655093197,0.0048753511498235,0.1105828441532811,"[[0.7792256564749428, 0.7028782278977161, 0.6699921300303512]]",0.7173653381343367,0.0457558600774175,0.6617026511729689,"[[0.6912365604610979, 0.7028782278977161, 0.6261386942263305]]",0.6734178275283815,0.0337675331200551,0.537554826742158,"[[0.7792256564749428, 0.7028782278977161, 0.6699921300303512]]",0.7173653381343367,0.0457558600774175,0.6617026511729689,"[[0.6622966716229021, 0.6306263613052802, 0.6705244545376742]]",0.6544824958219522,0.0172000090790928,0.7025458512372805,"[[0.7900746008938281, 0.7102438460124701, 0.7289333153051891]]",0.7430839207371625,0.0340921993208652,0.7268357745708323,"[[0.7016122983096397, 0.7102438460124701, 0.6763547098115725]]",0.6960702847112273,0.0143794720383952,0.5901265465024373,"[[0.7900746008938281, 0.7102438460124701, 0.7289333153051891]]",0.7430839207371625,0.0340921993208652,0.7268357745708323,0.6615245365767648,0.0395819731474601,0.748066524863951
10,0.2,[0.0031654008520312095],[3902.4541194538047],[0.01254263020834826],5,2,100,"[[0.7549148099606815, 0.7977272727272727, 0.6159763313609468]]",0.7228728046829671,0.0775816505304754,0.6838383838383838,"[[0.7129750982961992, 0.6806818181818182, 0.6100591715976331]]",0.6679053626918835,0.0429755771977594,0.704040404040404,"[[0.7549148099606815, 0.7977272727272727, 0.6159763313609468]]",0.7228728046829671,0.0775816505304754,0.6838383838383838,"[[0.7367031624141342, 0.8165596591719411, 0.5915223540237161]]",0.6576792532332406,0.1007061922948251,0.6565656565656566,"[[0.09618104027065566, 0.11155449512538365, 0.1038183833850119]]",0.1038513062603504,0.0062762298385458,0.0922233922950097,"[[0.09618104027065566, 0.11155449512538365, 0.1038183833850119]]",0.1038513062603504,0.0062762298385458,0.0950438289450667,"[[0.09734830767315285, 0.113986040911767, 0.10428783207852496]]",0.1052073935544816,0.00682337828405,0.0901724609910945,"[[0.10524135643293567, 0.11851204952845985, 0.10376954649227592]]",0.1091743174845571,0.0066300571097666,0.0984066211902549,"[[0.8167747926361533, 0.7655203881232978, 0.5886669338678207]]",0.7236540382090907,0.0977169117035617,0.6816308426873807,"[[0.788273480367336, 0.6545888652468488, 0.5817378137292457]]",0.6748667197811434,0.0855283147532465,0.711601094965327,"[[0.8167747926361533, 0.7655203881232978, 0.5886669338678207]]",0.7236540382090907,0.0977169117035617,0.6816308426873807,"[[0.6420053485849352, 0.7885362097975469, 0.5632380126764712]]",0.6645931903529845,0.093354083478998,0.686890293514438,"[[0.8387966798341879, 0.8173450629878338, 0.6179777658090728]]",0.7580398362103647,0.0994252839746277,0.6746391758674483,"[[0.8070278622196119, 0.697223323661263, 0.6123484314170798]]",0.705533205765985,0.0796944615384082,0.7046344700472035,"[[0.8387966798341879, 0.8173450629878338, 0.6179777658090728]]",0.7580398362103647,0.0994252839746277,0.6746391758674483,0.7149283918699304,0.0931523936041845,0.6013541363177224
