Promoter_id,log2foldChange,pValues,FDR
26373,-1.203157171,3.49E-26,4.04E-25
26380,-2.433347405,2.01E-38,1.37E-36
26388,-1.678998135,7.61E-36,3.06E-34
26661,-1.529604554,1.24E-27,1.63E-26
26768,-1.418807432,1.79E-26,2.11E-25
27017,-1.376191142,4.21E-36,1.86E-34
27025,-1.478381786,1.89E-21,1.45E-20
27087,-1.82039506,4.31E-36,1.88E-34
27181,-1.584002615,1.40E-33,3.86E-32
27418,-1.430886113,8.17E-38,4.79E-36
27461,-1.457874923,1.20E-20,8.67E-20
27469,-1.967668705,1.20E-36,6.02E-35
27999,-1.330851397,1.14E-41,2.13E-39
28095,-1.415130246,1.69E-33,4.53E-32
28274,-1.61822524,1.78E-21,1.38E-20
28637,-1.399809842,1.94E-41,3.16E-39
33038,-1.585746608,2.23E-25,2.40E-24
33308,-1.648294746,2.81E-28,3.87E-27
33979,-1.219266775,2.14E-17,1.18E-16
34103,-1.67666411,6.36E-34,1.82E-32
34290,-2.054378343,6.62E-36,2.70E-34
35279,-1.366027793,2.04E-38,1.37E-36
35303,-1.247898006,5.54E-31,1.10E-29
41406,-1.221744148,8.39E-32,1.79E-30
41923,-1.814418777,3.37E-34,1.00E-32
42074,-1.574284716,6.85E-23,5.90E-22
48399,-1.994924507,3.32E-43,1.44E-40
50466,-1.678913661,2.51E-29,3.82E-28
50546,-1.31857963,8.18E-27,9.95E-26
50708,-1.448704744,1.43E-18,8.70E-18
51217,-1.570939925,1.33E-31,2.79E-30
60621,-1.433235753,3.15E-22,2.59E-21
63107,-2.001119934,7.84E-46,1.37E-42
67892,-1.408839061,8.84E-20,5.91E-19
68297,-1.337811467,4.83E-30,8.26E-29
75110,-1.222775773,4.24E-21,3.16E-20
