random_state,best_l1_ratio,alpha_lasso,alpha_ridge,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_ridge,mean_c_index_ridge,std_c_index_ridge,c_index_ridge_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_ridge,mean_ibs_ridge,std_ibs_ridge,ibs_test_ridge,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_ridge,mean_auc_ridge,std_auc_ridge,auc_test_ridge,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf,c_uno_lasso,mean_c_uno_lasso,std_c_uno_lasso,c_uno_lasso_test,c_uno_ridge,mean_c_uno_ridge,std_c_uno_ridge,c_uno_ridge_test,c_uno_elastic_net,mean_c_uno_elastic,std_c_uno_elastic,c_uno_elastic_test,mean_c_uno_rf,std_c_uno_rf,c_uno_rf_test
1,0.4,[0.0016921873719395956],[3170.8501802847313],[0.0013223242222784716],10,2,100,"[[0.8073770491803278, 0.5349162011173184, 0.6761786600496278]]",0.672823970115758,0.1112569664941417,0.6110229976209358,"[[0.5, 0.5125698324022346, 0.5583126550868487]]",0.5236274958296945,0.0250572062312844,0.5,"[[0.7841530054644809, 0.5349162011173184, 0.6823821339950372]]",0.6671504468589454,0.1023189437659037,0.6110229976209358,"[[0.7205656382845381, 0.5487922627493436, 0.6673111971969682]]",0.6524109641053619,0.144781295991446,0.598334655035686,"[[0.09406299624778261, 0.10522526343225275, 0.10486655836980707]]",0.1013849393499474,0.0051794662159956,0.0977658687190254,"[[0.09406299624778261, 0.10522526343225275, 0.10486655836980707]]",0.1013849393499474,0.0051794662159956,0.1031540246963882,"[[0.0937377635828911, 0.10535660755721588, 0.10459010978568078]]",0.1012281603085959,0.0053057460700501,0.0979184023032892,"[[0.09874500063740851, 0.10935178668750063, 0.10805080865030184]]",0.105382531991737,0.0047233993989561,0.101470965824179,"[[0.7543170717049232, 0.5642330242624628, 0.7047809151638273]]",0.6744436703770712,0.0805118938996616,0.5817461737332215,"[[0.5, 0.49860198970487285, 0.5659938953193087]]",0.5215319616747272,0.0314445147920131,0.5,"[[0.745638637990271, 0.5642330242624628, 0.7102799914221137]]",0.6733838845582825,0.0785195992487274,0.5817461737332215,"[[0.7628782593132357, 0.485186607002581, 0.6948693723779895]]",0.6476447462312688,0.1181828736232638,0.5593902901725841,"[[0.7105141172011348, 0.6119140435239468, 0.6772057130473821]]",0.6665446245908212,0.0409531255428746,0.6091011637118185,"[[0.5, 0.5687773291544275, 0.5607201708784744]]",0.5431658333443007,0.0306995800850966,0.5,"[[0.6944672815442678, 0.6119140435239468, 0.6834026372941057]]",0.66326132078744,0.0365879192254875,0.6091011637118185,0.64555636607695,0.0717935820877424,0.6056114614066737
2,0.2,[0.012892719639131463],[2052.885564075979],[0.01524234954346595],10,2,100,"[[0.7062893081761006, 0.6148730350665055, 0.6592639593908629]]",0.660142100877823,0.0373257024641676,0.6415804327375353,"[[0.6075471698113207, 0.5580411124546554, 0.6307106598984772]]",0.5987663140548177,0.0303099912271498,0.6053621825023519,"[[0.6748427672955974, 0.6360338573155986, 0.6719543147208121]]",0.6609436464440027,0.0176533091399387,0.6190028222013171,"[[0.6720691019691754, 0.6063014436066345, 0.759075767015291]]",0.6531230889864976,0.0403017445080112,0.5870178739416745,"[[0.10533215229868068, 0.11363812951531363, 0.1127666681576631]]",0.1105789833238858,0.0037270889516047,0.0855799309467263,"[[0.10533215229868068, 0.11363812951531363, 0.1127666681576631]]",0.1105789833238858,0.0037270889516047,0.0906616114162945,"[[0.10027726317064298, 0.11282337191766409, 0.11123118186908425]]",0.1081106056524637,0.0055770188043328,0.0839609817032342,"[[0.10211139610262869, 0.11371678631453656, 0.11352431418174967]]",0.1097841655329716,0.0054260362714648,0.0861166560857207,"[[0.7129574863590731, 0.6404281984833311, 0.771853743700996]]",0.7084131428478001,0.0537503908661847,0.5665405848793377,"[[0.585778456663454, 0.5782623968166116, 0.6705213988839888]]",0.6115207507880182,0.0418324447107246,0.5416014274943042,"[[0.6930767212851238, 0.6608745761797434, 0.7830578798633537]]",0.7123363924427403,0.0517068088655319,0.5604144643318634,"[[0.6886778688440321, 0.6257521825589478, 0.7936009252305735]]",0.7026769922111845,0.0692352592994733,0.537781081607264,"[[0.6931643996174961, 0.624020908691168, 0.7426009870019806]]",0.6865954317702149,0.0486324462814938,0.696905254786817,"[[0.5942413618435817, 0.5712893824241795, 0.5074921676784481]]",0.5576743039820697,0.036700439986587,0.6580117451391697,"[[0.6675001806674404, 0.6443797733881272, 0.7517132423462962]]",0.6878643988006212,0.0461240676493331,0.676344996080114,0.6791487708637002,0.0625704390106876,0.6473781840384352
3,0.2,[0.0007666012010233829],[2510.2733210721694],[0.007701402164510904],15,2,100,"[[0.630586592178771, 0.8123209169054442, 0.5446685878962536]]",0.6625253656601563,0.1115780929652185,0.6197231833910034,"[[0.6284916201117319, 0.5, 0.4596541786743516]]",0.5293819329286945,0.0719907118766021,0.5404844290657439,"[[0.6710893854748603, 0.8166189111747851, 0.5273775216138329]]",0.6716952727544928,0.1180830800279598,0.6238754325259516,"[[0.7642100464335785, 0.81342623626287, 0.4238855443589353]]",0.6403617368756894,0.1564264881369612,0.6058823529411764,"[[0.10981997529701273, 0.08096601919080192, 0.10101904076743701]]",0.0972683450850838,0.0120744491750418,0.1233107489964255,"[[0.10981997529701273, 0.08096601919080192, 0.10101904076743701]]",0.0972683450850838,0.0120744491750418,0.1262282812697643,"[[0.10700482323677458, 0.08819520453916156, 0.10288943155699061]]",0.0993631531109755,0.0080736781641133,0.1229420174185578,"[[0.10698876729077396, 0.09740085178004085, 0.10458419892720187]]",0.1029912726660055,0.0040730898603268,0.1248295455895929,"[[0.6524368666618784, 0.7718191142006497, 0.5452465030546593]]",0.6565008279723958,0.0925425086704414,0.6110399841729551,"[[0.6445252762947611, 0.5, 0.4284586765259696]]",0.5243279842735769,0.089870581015233,0.5226137758398245,"[[0.684181170604221, 0.7790808172051101, 0.52539301212371]]",0.6628849999776804,0.1046566474215268,0.5977762602958913,"[[0.7188974598117713, 0.764640405927594, 0.4836684339244225]]",0.6557354332212625,0.1230945259143092,0.5801003280643375,"[[0.7013929105113152, 0.8194750103777373, 0.5479711715666663]]",0.689613030818573,0.1111535208513241,0.61122933319333,"[[0.7141980452100999, 0.5, 0.4606627020184202]]",0.55828691574284,0.1114093532038203,0.5445581656995073,"[[0.7242950705062534, 0.8236243605537189, 0.5302078673570322]]",0.6927090994723349,0.1218511791615137,0.6261377594082429,0.6671739423517945,0.1732002536252515,0.6101992478788194
4,0.4,[0.004265079723868271],[2276.1447683401375],[0.008852360290597275],15,2,100,"[[0.6565329883570504, 0.48945147679324896, 0.5732217573221757]]",0.5730687408241585,0.0682108272790944,0.6591591591591591,"[[0.5, 0.4578059071729958, 0.5244072524407253]]",0.4940710532045737,0.027511198997803,0.5,"[[0.6565329883570504, 0.48945147679324896, 0.5732217573221757]]",0.5730687408241585,0.0682108272790944,0.6621621621621622,"[[0.4316236109699967, 0.4779089145598877, 0.5647126784330652]]",0.4979418604098486,0.0459048000294361,0.6103603603603603,"[[0.10195647567606356, 0.11261228739343243, 0.12060080345332509]]",0.1117231888409403,0.0076374346366444,0.1077704882233498,"[[0.10195647567606356, 0.11261228739343243, 0.12060080345332509]]",0.1117231888409403,0.0076374346366444,0.1189207284210167,"[[0.10242973211232653, 0.10788064878239022, 0.1154824581465471]]",0.1085976130137546,0.005352814992313,0.1091741108640719,"[[0.10597000709178574, 0.09850707327975027, 0.1108847683165955]]",0.1051206162293771,0.0050887413135367,0.1120734618594615,"[[0.702444096932211, 0.505425771748989, 0.5737721730298426]]",0.5938806805703475,0.081679533018296,0.6975706408289768,"[[0.5, 0.45792728962997564, 0.5376939148725043]]",0.4985404015008266,0.032580939688511,0.5,"[[0.702444096932211, 0.505425771748989, 0.5737721730298426]]",0.5938806805703475,0.081679533018296,0.6980884059297556,"[[0.5385222717210142, 0.5421840705418354, 0.5593882341416323]]",0.5466981921348273,0.0090968883783375,0.6544952122927171,"[[0.6524739861511316, 0.47803450889113863, 0.5811025390136959]]",0.5705370113519886,0.0716054261806213,0.757353996360055,"[[0.5, 0.4493274740168211, 0.5258113494037501]]",0.4917129411401904,0.0317695064169011,0.5,"[[0.6524739861511316, 0.47803450889113863, 0.5811025390136959]]",0.5705370113519886,0.0716054261806213,0.7608008432745756,0.4914150679876498,0.0551663369870792,0.7248393975902077
5,0.4,[0.0017757799921442358],[4608.192073733504],[0.0015954555999197083],15,2,500,"[[0.6758021390374331, 0.6306471306471306, 0.8317365269461078]]",0.7127285988768906,0.0861468084267705,0.5232991612301957,"[[0.5929144385026738, 0.5854700854700855, 0.5]]",0.5594615079909198,0.0421553302081252,0.5,"[[0.6758021390374331, 0.6306471306471306, 0.8317365269461078]]",0.7127285988768906,0.0861468084267705,0.5232991612301957,"[[0.7239141442450635, 0.7009548449113958, 0.8240198310160629]]",0.702552134570451,0.0795868549957783,0.5121155638397018,"[[0.09020955204431888, 0.12326862627799645, 0.09875729021773462]]",0.1040784895133499,0.0140109949386114,0.0966439422706928,"[[0.09020955204431888, 0.12326862627799645, 0.09875729021773462]]",0.1040784895133499,0.0140109949386114,0.0920930616007229,"[[0.08982406466483026, 0.1229894842073293, 0.09803114363773566]]",0.1036148975032984,0.0141036636795995,0.0962459390737796,"[[0.09203977323951189, 0.12890988204324438, 0.11345160998785563]]",0.1114670884235373,0.0151174286874278,0.0970581814966651,"[[0.7778921489158941, 0.6008321119209965, 0.896824225805521]]",0.7585161622141371,0.1216125117355867,0.5598799185909202,"[[0.6695724235653566, 0.5696157583920427, 0.5]]",0.5797293939857998,0.06959605317904,0.5,"[[0.7778921489158941, 0.6008321119209965, 0.896824225805521]]",0.7585161622141371,0.1216125117355867,0.5598799185909202,"[[0.7679560015247916, 0.6100185821843764, 0.808934419880179]]",0.7289696678631157,0.0857586857829975,0.5445722982387726,"[[0.7386753780965505, 0.6980886879365457, 0.813036379170225]]",0.7499334817344403,0.0475976302150252,0.5179862254132138,"[[0.6753476302674536, 0.6351179342316472, 0.5]]",0.6034885214997002,0.0749978340684084,0.5,"[[0.7386753780965505, 0.6980886879365457, 0.813036379170225]]",0.7499334817344403,0.0475976302150252,0.5179862254132138,0.7496296067241741,0.0534303999555894,0.5076072705196262
6,0.2,[0.003456792805202812],[2222.0516903146004],[0.0030914954115375754],15,2,1000,"[[0.6260355029585799, 0.6253229974160207, 0.6770956316410862]]",0.6428180440052289,0.0242396600173826,0.6791197543500512,"[[0.6201183431952663, 0.6078811369509044, 0.5501770956316411]]",0.5927255252592706,0.0304982398617774,0.5624360286591606,"[[0.6260355029585799, 0.6343669250645995, 0.6770956316410862]]",0.6458326865547552,0.022366372827385,0.6688843398157626,"[[0.6970103952838441, 0.6254579503446824, 0.6231718503732598]]",0.6434776865497308,0.0336337618107931,0.6402251791197543,"[[0.10529197615247834, 0.10848803543671694, 0.11481668132648519]]",0.1095322309718935,0.0039579254161492,0.0875908218923134,"[[0.10529197615247834, 0.10848803543671694, 0.11481668132648519]]",0.1095322309718935,0.0039579254161492,0.0945491832131833,"[[0.10513091163144006, 0.1077871861302574, 0.11370191624049396]]",0.1088733380007304,0.0035823943963411,0.0853860233995454,"[[0.10825554215855347, 0.11319425451869779, 0.11963627031567989]]",0.1136953556643103,0.0046596545018705,0.0918908559042085,"[[0.5873069391385229, 0.6030284453653438, 0.6633067131840397]]",0.6178806992293021,0.0327560019678022,0.7025537131193483,"[[0.5543404039542319, 0.617253980989372, 0.5253596424953114]]",0.5656513424796384,0.0383587917741542,0.5327457703279183,"[[0.5873069391385229, 0.6120351407706424, 0.6633067131840397]]",0.6208829310310683,0.0316512659895489,0.7088242901839361,"[[0.670748702622976, 0.6081775694535727, 0.6068399832512077]]",0.6285887517759188,0.0298165879534854,0.6814437512096363,"[[0.6353689732576265, 0.6203526933471517, 0.6791159156919809]]",0.6449458607655864,0.0249274501415881,0.7425000138514813,"[[0.6290268668822504, 0.5980354915040824, 0.5677527727519333]]",0.598271710379422,0.0250156018301984,0.6530525080893077,"[[0.6353689732576265, 0.630561769499235, 0.6791159156919809]]",0.6483488861496142,0.0218439142118092,0.7589535053844971,0.6485467320005954,0.0342816914926311,0.7166212948099788
7,0.2,[0.0014301956082620668],[2224.9211889274216],[0.0023416229158929806],10,2,500,"[[0.7125634517766497, 0.6035980148883374, 0.7715700141442716]]",0.6959104936030863,0.0695779605692144,0.6035625517812759,"[[0.6288071065989848, 0.5465260545905707, 0.5]]",0.5584443870631851,0.0532563152079725,0.4797017398508699,"[[0.7125634517766497, 0.6023573200992556, 0.7715700141442716]]",0.6954969286733923,0.0701269497155863,0.6068765534382767,"[[0.6140265196923975, 0.5989953667091054, 0.7950400314932513]]",0.6595749934507035,0.0710882352203786,0.596106048053024,"[[0.09941451537949648, 0.1044743993475189, 0.0949267025617313]]",0.0996052057629155,0.003900162440641,0.1116895200789852,"[[0.09941451537949648, 0.1044743993475189, 0.0949267025617313]]",0.0996052057629155,0.003900162440641,0.1105520467121809,"[[0.09916368221215958, 0.10419958774200326, 0.09565628317385654]]",0.0996731843760064,0.0035063473470505,0.1099530298194732,"[[0.10247547066858836, 0.10466427668527352, 0.11005142401997942]]",0.105730390457947,0.003183417055914,0.1057992671019923,"[[0.7009912405348984, 0.5871690361996909, nan]]",,,0.6160593573238539,"[[0.6511894419568157, 0.5923273513896737, nan]]",,,0.547922975928028,"[[0.7009912405348984, 0.5845690567569366, nan]]",,,0.6435215776484066,"[[0.6501533398389407, 0.578649657251657, nan]]",,,0.6503020047814468,"[[0.7071748109019321, 0.607618609311239, 0.8056327978689488]]",0.7068087393607067,0.0808393683952814,0.5116912361696841,"[[0.622174463994915, 0.5446522592810559, 0.5]]",0.555608907758657,0.0504756444403799,0.6622050888191029,"[[0.7071748109019321, 0.6064779364331461, 0.8056327978689488]]",0.706428515068009,0.0813063442644842,0.6785266173120619,0.6693539726315847,0.0890850639712236,0.7190474288182233
8,0.5,[0.0003129935728230239],[2059.288706645444],[0.0007197330997356046],10,2,500,"[[0.7279411764705882, 0.6246612466124661, 0.6014492753623188]]",0.6513505661484578,0.0549805425853349,0.6852871754523997,"[[0.5755347593582888, 0.5047425474254743, 0.541501976284585]]",0.540593094356116,0.0289079443216457,0.5,"[[0.7279411764705882, 0.6246612466124661, 0.5988142292490118]]",0.6504722174440221,0.0557858810461423,0.6852871754523997,"[[0.6876830550789649, 0.7097810559930128, 0.5672720212746939]]",0.6251364149888884,0.0613547867958024,0.6821400472069237,"[[0.09606523553506384, 0.10578675756108602, 0.10976313983652888]]",0.1038717109775595,0.0057537638768508,0.094540048546158,"[[0.09606523553506384, 0.10578675756108602, 0.10976313983652888]]",0.1038717109775595,0.0057537638768508,0.1071530716005719,"[[0.09633377323442799, 0.10598391749380455, 0.10922308350105568]]",0.103846924743096,0.0054747074990227,0.0946227315514388,"[[0.10377159908096695, 0.11536923255282777, 0.1004940810511325]]",0.1065449708949757,0.0063815476943894,0.0983752451646789,"[[0.8092371089899412, 0.6562495375394306, 0.6346448781627752]]",0.700043841564049,0.0777134375555567,0.7230063361759907,"[[0.6670014731321622, 0.5479407580508145, 0.5788058458765838]]",0.5979160256865201,0.050449728761719,0.5,"[[0.8092371089899412, 0.6562495375394306, 0.6320215509855441]]",0.6991693991716387,0.0784556111934146,0.7230063361759907,"[[0.7926033745087877, 0.6038611246785572, 0.607684119847962]]",0.6680495396784356,0.0880866889347317,0.707889993874884,"[[0.7055502572653368, 0.7512184321159513, 0.6037680558449018]]",0.6868455817420633,0.0616322536255259,0.6967223324307545,"[[0.5522976838270133, 0.6427967907745976, 0.5437603417335715]]",0.5796182721117275,0.0448097122495491,0.5,"[[0.7055502572653368, 0.7512184321159513, 0.6011940711926268]]",0.6859875868579716,0.0627898652794296,0.6967223324307545,0.6549120441155573,0.0626240667994852,0.7063668862222748
9,0.8,[0.0017418093846197989],[3419.2426266302837],[0.002280933687105718],15,2,500,"[[0.6717980295566502, 0.6163239074550129, 0.6796565389696169]]",0.6559261586604267,0.0281861995540482,0.6513840830449827,"[[0.5, 0.5475578406169666, 0.5541611624834875]]",0.533906334366818,0.0241264805772145,0.5,"[[0.6693349753694581, 0.6163239074550129, 0.6796565389696169]]",0.6551051405980294,0.0277443291726168,0.6513840830449827,"[[0.6815927575838876, 0.585334444567634, 0.5823977056464518]]",0.5987284034119632,0.065133309801206,0.6098615916955017,"[[0.10316203193841912, 0.10339429620731916, 0.11591116814267488]]",0.107489165429471,0.0059560100709877,0.1126100890712939,"[[0.10316203193841912, 0.10339429620731916, 0.11591116814267488]]",0.107489165429471,0.0059560100709877,0.1104189893186325,"[[0.10334711801191385, 0.10331477312713329, 0.1158847531018952]]",0.1075155480803141,0.0059179363558499,0.1126199854111115,"[[0.11578212443070915, 0.10554025045670014, 0.11349752533303294]]",0.111606633406814,0.0043898063611318,0.1098177039185185,"[[0.6146874870803342, 0.6651456067037104, 0.6707404193371802]]",0.6501911710404082,0.0252085853517344,0.653065760416001,"[[0.5, 0.5569704066154029, 0.5591818137816074]]",0.5387174067990034,0.0273922224039759,0.5,"[[0.609408639426543, 0.6651456067037104, 0.6707404193371802]]",0.6484315551558112,0.0276877403208361,0.653065760416001,"[[0.6363370225898441, 0.5568740755200604, 0.5651840887025428]]",0.5861317289374824,0.0356622369163158,0.6156936954712373,"[[0.6748030065708773, 0.6635403685499602, 0.6795103591077812]]",0.6726179114095396,0.0067003049807352,0.7313475888747585,"[[0.5, 0.6040934379523409, 0.5503087092314963]]",0.5514673823946125,0.0425038653050806,0.5,"[[0.6725946983382877, 0.6635403685499602, 0.6795103591077812]]",0.6718818086653431,0.0065391797838651,0.7313475888747585,0.6164416359326578,0.0460843979251315,0.7034770008156044
10,0.9,[0.0009161456027947278],[2377.4200204197145],[0.0011171874089767836],15,2,100,"[[0.809305373525557, 0.6352272727272728, 0.5579881656804734]]",0.667506937311101,0.1051080945154259,0.6767676767676768,"[[0.5, 0.6346590909090909, 0.49940828402366866]]",0.5446891249775866,0.0636188316419816,0.6065656565656565,"[[0.809305373525557, 0.6352272727272728, 0.5579881656804734]]",0.667506937311101,0.1051080945154259,0.6767676767676768,"[[0.8675195046668472, 0.6648133359293511, 0.5172487404866271]]",0.6623403678184906,0.1171490100949233,0.592929292929293,"[[0.09362161001266037, 0.1417181300788455, 0.1086696546168849]]",0.1146697982361302,0.0200884727013265,0.0837305273189061,"[[0.09362161001266037, 0.1417181300788455, 0.1086696546168849]]",0.1146697982361302,0.0200884727013265,0.0950438416376424,"[[0.09376024816899252, 0.14141258987635075, 0.10861453273145952]]",0.1145957902589342,0.0199084236569379,0.0837539545985482,"[[0.10560072625061155, 0.12508566176480854, 0.11364253594019356]]",0.1147763079852045,0.0079949883170913,0.0891033433651108,"[[0.8551636669111806, 0.6753537097381532, 0.5976363161217683]]",0.709384564257034,0.1078537849609899,0.6531610017545261,"[[0.5, 0.64757149389099, 0.5057012732285228]]",0.5510909223731709,0.0682617591306207,0.602189462714804,"[[0.8551636669111806, 0.6753537097381532, 0.5976363161217683]]",0.709384564257034,0.1078537849609899,0.6531610017545261,"[[0.8442216701268821, 0.6698801370030179, 0.5379380708197506]]",0.6840132926498835,0.1254384852362218,0.5855238419928585,"[[0.8426296155592384, 0.6092869371935186, 0.5598465404423972]]",0.6705876977317181,0.1233150553799914,0.7446910964392186,"[[0.5, 0.6286811578299943, 0.5001396888224532]]",0.5429402822174825,0.0606279813911142,0.6684130747743777,"[[0.8426296155592384, 0.6092869371935186, 0.5598465404423972]]",0.6705876977317181,0.1233150553799914,0.7446910964392186,0.6831938603609418,0.1435868722379918,0.6785269555445673
