sample	ENST00000524023.1
GTEX-11UD1-0226-SM-5EQKL	-4.293
GTEX-ZDYS-2126-SM-5S2OD	-9.966
GTEX-RU72-1026-SM-46MUG	-9.966
GTEX-P4QS-0226-SM-3NB1U	-9.966
GTEX-13N1W-0226-SM-5K7W6	-9.966
GTEX-13FTY-0626-SM-5L3F8	-9.966
GTEX-145LT-1826-SM-5QGP4	-3.458
GTEX-XPVG-2726-SM-4B66W	-9.966
GTEX-X4EO-0426-SM-4QASA	-9.966
GTEX-11OF3-2426-SM-5Q5AS	-9.966
GTEX-WFON-2226-SM-3TW8W	-3.458
GTEX-S4Q7-1626-SM-3K2AE	-9.966
GTEX-ZEX8-2326-SM-5S2MN	-3.816
GTEX-OXRK-0326-SM-3NB3R	-3.626
GTEX-13PLJ-0126-SM-5L3HU	-2.053
GTEX-14BMU-2126-SM-5S2TS	-5.012
GTEX-ZC5H-0126-SM-4WAYL	-3.626
GTEX-VUSG-2426-SM-4KKZG	-5.012
GTEX-145MN-2626-SM-5NQAH	-4.608
GTEX-R53T-1626-SM-3GAEW	-9.966
GTEX-ZYW4-0226-SM-5E44M	-2.932
GTEX-Z93S-0226-SM-5HL7R	-4.293
GTEX-P4PQ-0226-SM-2S1NK	-4.035
GTEX-ZYY3-0226-SM-5E45M	-9.966
GTEX-12WSC-0226-SM-5EQ52	-1.318
GTEX-14753-0326-SM-5QGQB	-9.966
GTEX-11UD2-0126-SM-5EQL2	-3.047
GTEX-XUYS-0226-SM-47JX1	-3.308
GTEX-13U4I-0226-SM-5SIB1	-3.171
GTEX-Z93T-0226-SM-5HL5Z	-9.966
GTEX-PX3G-0226-SM-2S1OU	-2.388
GTEX-1497J-2326-SM-5NQBK	-3.816
GTEX-13FHO-0326-SM-5IJBH	-3.308
GTEX-P78B-0226-SM-3NB1Z	-9.966
GTEX-YJ8A-0526-SM-5IFHT	-1.994
GTEX-11GSO-2326-SM-5A5LX	-2.826
GTEX-SN8G-0226-SM-4DM6B	-9.966
GTEX-Y114-2326-SM-4TT7X	-9.966
GTEX-ZYWO-2526-SM-5GIDM	-4.293
GTEX-XBED-2326-SM-47JYR	-5.012
GTEX-13NZA-0126-SM-5K7UH	-3.047
GTEX-11P7K-2026-SM-5GU74	-9.966
GTEX-XAJ8-0926-SM-47JXZ	-4.608
GTEX-T5JC-0526-SM-32PM7	-9.966
GTEX-13QBU-2526-SM-5LU4X	-5.012
GTEX-REY6-0326-SM-2TF5A	-9.966
GTEX-147GR-0426-SM-5S2OL	-9.966
GTEX-YFC4-0226-SM-57WD2	-4.293
GTEX-13PVQ-0226-SM-5SIBG	-4.035
GTEX-11ZVC-2626-SM-5FQTA	-2.826
GTEX-13W3W-2526-SM-5SI9P	-4.293
GTEX-R55C-1626-SM-48FEG	-4.035
GTEX-ZTX8-1526-SM-5N9GI	-3.308
GTEX-12584-0226-SM-5EQL5	-3.458
GTEX-XGQ4-2226-SM-4AT4Y	-9.966
GTEX-11DXW-0326-SM-5H11W	-2.548
GTEX-11P81-2426-SM-5GU65	-2.932
GTEX-13NZ8-0926-SM-5MR3U	-9.966
GTEX-ZPCL-2126-SM-57WFZ	-9.966
GTEX-NFK9-0326-SM-3MJGV	-3.308
GTEX-OXRP-0226-SM-3NB14	-2.548
GTEX-13QJ3-0426-SM-5RQHP	-2.727
GTEX-147F3-0626-SM-5NQ9I	-9.966
GTEX-PLZ4-0226-SM-2S1NW	-9.966
GTEX-ZE7O-0226-SM-5S2N1	-3.816
GTEX-1128S-2126-SM-5H12U	-9.966
GTEX-ZVE2-0326-SM-57WFC	-2.635
GTEX-X261-0226-SM-3NMD2	-3.458
GTEX-Y3I4-2226-SM-4TT7O	-3.308
GTEX-ZZ64-1626-SM-5E43W	-4.035
GTEX-R55D-0326-SM-48FES	-9.966
GTEX-YEC3-1226-SM-5IFI8	-3.626
GTEX-1399R-2626-SM-5KLZ7	-2.727
GTEX-11ILO-0226-SM-5N9D3	-4.608
GTEX-QDVN-2126-SM-33HBS	-9.966
GTEX-13RTJ-2526-SM-5S2Q3	-9.966
GTEX-1399U-2426-SM-5K7XB	-5.012
GTEX-PX3G-0226-SM-3NB2C	-9.966
GTEX-11H98-0226-SM-5NQ89	-9.966
GTEX-12WSA-0326-SM-5BC6I	-2.548
GTEX-P4PP-0226-SM-5S2VR	-3.458
GTEX-13IVO-0226-SM-5LZXU	-3.458
GTEX-S95S-1326-SM-2XCDK	-9.966
GTEX-13JVG-0226-SM-5J1MW	-4.608
GTEX-PWCY-1926-SM-3NB25	-6.506
GTEX-146FR-1826-SM-5QGPF	-4.293
GTEX-Y5V5-2426-SM-5IFJA	-5.012
GTEX-11DXX-2326-SM-5Q5A2	-9.966
GTEX-ZDXO-2426-SM-5S2NJ	-9.966
GTEX-13113-1826-SM-5LZW4	-4.608
GTEX-ZLWG-2226-SM-5DUWO	-3.626
GTEX-QEL4-0326-SM-3GAE5	-9.966
GTEX-QDVN-2126-SM-5SI7X	-3.626
GTEX-XBEW-0726-SM-4QARX	-3.458
GTEX-XLM4-0226-SM-4AT4N	-9.966
GTEX-XYKS-2726-SM-4E3IC	-9.966
GTEX-XBEC-0326-SM-4AT4M	-3.626
GTEX-13N2G-2726-SM-5J1MG	-9.966
GTEX-12WS9-0226-SM-5EQ4X	-9.966
GTEX-13O3P-0226-SM-5KM3Z	-3.816
GTEX-ZT9X-1926-SM-57WE7	-5.574
GTEX-S341-1626-SM-3K2B8	-9.966
GTEX-14C39-2526-SM-5S2UH	-2.826
GTEX-ZQG8-1526-SM-5HL65	-5.012
GTEX-11XUK-2126-SM-5EQLR	-9.966
GTEX-11I78-2626-SM-5Q5AI	-5.012
GTEX-WVLH-0226-SM-3MJG6	-9.966
GTEX-146FQ-0226-SM-5NQAL	-9.966
GTEX-13D11-2326-SM-5IJCY	-3.816
GTEX-Q734-1826-SM-2I3EL	-4.608
GTEX-YB5K-2226-SM-4WWG1	-3.458
GTEX-13O1R-0226-SM-5K7U5	-3.171
GTEX-ZVT4-0226-SM-51MSD	-5.574
GTEX-XUZC-1826-SM-4BRVO	-4.608
GTEX-O5YV-0226-SM-48TBY	-9.966
GTEX-NPJ8-0226-SM-48TBN	-9.966
GTEX-T6MO-1726-SM-33HB8	-1.994
GTEX-S4P3-1526-SM-3K2AV	-4.035
GTEX-X4LF-1726-SM-3NMBZ	-9.966
GTEX-ZP4G-2326-SM-57WEM	-3.047
GTEX-X8HC-0226-SM-4E3K1	-3.047
GTEX-YEC4-2426-SM-57WFO	-9.966
GTEX-144GM-1926-SM-5LUAN	-2.245
GTEX-WH7G-2226-SM-3NMBN	-9.966
GTEX-OHPN-0226-SM-48TBV	-9.966
GTEX-ZVZO-0226-SM-5A5LA	-9.966
GTEX-13O21-1526-SM-5K7W4	-9.966
GTEX-ZF28-0226-SM-5S2OE	-2.114
GTEX-13OVJ-0326-SM-5L3GL	-2.466
GTEX-YB5E-2126-SM-5IFI7	-9.966
GTEX-14DAR-1926-SM-5S2NQ	-3.458
GTEX-111CU-1826-SM-5GZYN	-9.966
GTEX-QV31-1326-SM-2S1QE	-9.966
GTEX-ZVT2-2226-SM-5NQ6P	-5.012
GTEX-XMK1-2226-SM-4B673	-9.966
GTEX-13OVL-0326-SM-5IJCS	-2.114
GTEX-UJHI-1626-SM-3DB9A	-9.966
GTEX-OHPK-0226-SM-3MJH6	-2.315
GTEX-ZVP2-1826-SM-5GU62	-9.966
GTEX-1212Z-2426-SM-5EQ5D	-2.932
GTEX-Y5V6-2526-SM-5IFJV	-4.035
GTEX-X15G-2326-SM-4PQZS	-4.608
GTEX-WY7C-2426-SM-3NB2V	-5.012
GTEX-P44G-2326-SM-2XCCZ	-4.608
GTEX-13FHP-0226-SM-5K7WD	-9.966
GTEX-X638-0226-SM-47JZ9	-4.035
GTEX-11EMC-2826-SM-5PNY6	-9.966
GTEX-PWN1-0226-SM-5SI7O	-9.966
GTEX-ZPIC-1826-SM-57WFE	-9.966
GTEX-PLZ5-1826-SM-3NB22	-9.966
GTEX-QESD-1526-SM-2S1QT	-9.966
GTEX-OXRL-0226-SM-3NB18	-9.966
GTEX-U412-0526-SM-3DB9I	-9.966
GTEX-X4XY-0326-SM-46MVZ	-4.035
GTEX-QEG5-0326-SM-2S1PB	-9.966
GTEX-RTLS-0226-SM-2TF5E	-2.178
GTEX-OIZI-0226-SM-2XCEE	-9.966
GTEX-11TUW-2626-SM-5EQKZ	-9.966
GTEX-113IC-0226-SM-5HL5C	-4.293
GTEX-1117F-0226-SM-5GZZ7	-2.548
GTEX-XXEK-2426-SM-4BRUS	-9.966
GTEX-R55F-1426-SM-2TF53	-9.966
GTEX-12WSL-2426-SM-5GCN7	-9.966
GTEX-Y8E5-0226-SM-57WCM	-3.308
GTEX-QDT8-0226-SM-32PL4	-2.727
GTEX-146FH-0226-SM-5QGPQ	-4.035
GTEX-13FH7-2226-SM-5IJD4	-4.293
GTEX-13OVI-1326-SM-5IJBO	-5.012
GTEX-ZTPG-0226-SM-5O99I	-9.966
GTEX-U8XE-0426-SM-3DB91	-9.966
GTEX-Q2AH-1726-SM-3NB2B	-5.574
GTEX-13NYS-0226-SM-5MR49	-2.727
GTEX-Y8LW-1926-SM-4WWFZ	-9.966
GTEX-PLZ6-1326-SM-3NB24	-9.966
GTEX-S7SF-1826-SM-3K2AD	-9.966
GTEX-T2IS-0226-SM-32QPH	-1.595
GTEX-QLQ7-1526-SM-2S1QA	-9.966
GTEX-ZYFD-0226-SM-5NQ86	-9.966
GTEX-W5WG-2526-SM-4SOJ2	-9.966
GTEX-O5YT-0226-SM-32PK5	-9.966
GTEX-ZYVF-0226-SM-5GIEG	-4.293
GTEX-13YAN-0426-SM-5O9DR	-4.608
GTEX-WFG8-2326-SM-5S2UE	-4.035
GTEX-14E6C-0226-SM-5S2N3	-3.047
GTEX-T5JW-1726-SM-3GADN	-5.012
GTEX-R55G-2426-SM-2TC5I	-3.816
GTEX-WHPG-2126-SM-4M1ZM	-2.932
GTEX-PWN1-0226-SM-2S1OZ	-9.966
GTEX-Q2AG-0226-SM-2S1P4	-9.966
GTEX-QMRM-1726-SM-2S1QG	-9.966
GTEX-P44H-0326-SM-2XCES	-9.966
GTEX-132AR-0226-SM-5IJBE	-9.966
GTEX-RVPU-2326-SM-2TF6R	-2.315
GTEX-145ME-1926-SM-5SI9S	-5.574
GTEX-WVJS-0226-SM-4MVOU	-3.816
GTEX-Q2AH-1726-SM-2S1OT	-2.932
GTEX-ZVZQ-0426-SM-59HLT	-5.574
GTEX-13CF3-2326-SM-5IFGL	-9.966
GTEX-11TT1-2426-SM-5EQMK	-9.966
GTEX-P4PP-0226-SM-2S1NN	-9.966
GTEX-O5YV-2026-SM-26GN2	-9.966
GTEX-XGQ4-2326-SM-4AT53	-9.966
GTEX-YBZK-0326-SM-59HLN	-0.7588
GTEX-R55F-1526-SM-2TF4X	-5.574
GTEX-ZAKK-0326-SM-5EGHA	-9.966
GTEX-S33H-2226-SM-5S2UF	-2.388
GTEX-14ASI-0526-SM-5QGQP	-3.047
GTEX-WRHU-0826-SM-3MJFN	-4.035
GTEX-POMQ-1926-SM-3NB1Y	-2.826
GTEX-QESD-1626-SM-2S1RB	-9.966
GTEX-QEG4-0626-SM-2S1OY	-2.932
GTEX-WHSE-0526-SM-5HL79	-9.966
GTEX-13OW8-1426-SM-5IJDT	-9.966
GTEX-131XW-0326-SM-5KM1J	-9.966
GTEX-ZTTD-0326-SM-57WFW	-4.035
GTEX-NFK9-0626-SM-2HMIV	-9.966
GTEX-13RTK-1626-SM-5QGQS	-5.012
GTEX-Y5V6-2626-SM-5IFIX	-9.966
GTEX-XOTO-0526-SM-4B662	-3.458
GTEX-13PL6-0326-SM-5IJCP	-3.626
GTEX-12WSJ-1726-SM-5LZVV	-9.966
GTEX-ZF2S-2126-SM-4WWAY	-3.816
GTEX-VUSG-2626-SM-4KKZI	-4.035
GTEX-139T4-0326-SM-5K7XN	-5.012
GTEX-13OVL-1426-SM-5IJC1	-1.355
GTEX-13FTY-0226-SM-5IJBW	-9.966
GTEX-Q734-2026-SM-3GADA	-9.966
GTEX-13FTZ-2226-SM-5LZXI	-9.966
GTEX-1314G-1726-SM-5LZUX	-1.938
GTEX-131XH-2726-SM-5GCO2	-9.966
GTEX-145LS-0526-SM-5LU8Y	-9.966
GTEX-XBEC-0626-SM-4QARY	-9.966
GTEX-12KS4-0826-SM-5BC5R	-9.966
GTEX-YFC4-1026-SM-5RQJM	-2.727
GTEX-WL46-0626-SM-3LK7R	-9.966
GTEX-POYW-0526-SM-5KM2H	-9.966
GTEX-111CU-2026-SM-5GZZC	-9.966
GTEX-QDT8-0526-SM-32PL5	-9.966
GTEX-XQ8I-0626-SM-4BOPT	-9.966
GTEX-11H98-0326-SM-5HL4S	-9.966
GTEX-11EM3-2126-SM-5H11M	-9.966
GTEX-11NV4-0326-SM-5HL58	-4.608
GTEX-WHPG-2226-SM-3NMBO	-9.966
GTEX-139T8-0526-SM-5KLZL	-3.626
GTEX-ZDXO-0326-SM-4WKHJ	-2.548
GTEX-13X6K-0326-SM-5Q5D6	-9.966
GTEX-XYKS-2426-SM-4AT43	-9.966
