random_state,best_l1_ratio,alpha_lasso,alpha_elastic,min_samples_leaf,min_samples_split,n_estimators,c_indices_lasso,mean_c_index_lasso,std_c_index_lasso,c_index_lasso_test,c_indices_elastic_net,mean_c_index_elastic,std_c_index_elastic,c_index_elastic_test,c_indices_rf,mean_c_index_rf,std_c_index_rf,c_index_rf_test,ibs_scores_lasso,mean_ibs_lasso,std_ibs_lasso,ibs_test_lasso,ibs_scores_elastic_net,mean_ibs_elastic,std_ibs_elastic,ibs_test_elastic,ibs_scores_rf,mean_ibs_rf,std_ibs_rf,ibs_test_rf,time_dependent_aucs_lasso,mean_auc_lasso,std_auc_lasso,auc_test_lasso,time_dependent_aucs_elastic_net,mean_auc_elastic,std_auc_elastic,auc_test_elastic,time_dependent_aucs_rf,mean_auc_rf,std_auc_rf,auc_test_rf
25,0.2,[0.008603991272791054],[0.04301995636395528],15,2,100,"[[0.5683491062039958, 0.6762545899632803, 0.6425501432664756]]",0.62905127981125,0.0450744779394312,0.585403726708075,"[[0.5683491062039958, 0.6762545899632803, 0.6425501432664756]]",0.62905127981125,0.0450744779394312,0.585403726708075,"[[0.5675530713414444, 0.6757506121715634, 0.7393997729251625]]",0.598965319925864,0.0550434918690488,0.585403726708075,"[[0.12493048470089085, 0.10699466968029599, 0.10556978518450057]]",0.112498313188562,0.0088100980070428,0.0802265659342699,"[[0.12571190066857907, 0.10864412658949875, 0.10814672912434031]]",0.114167585460806,0.0081655888243245,0.0798746603037527,"[[0.1255042024576341, 0.10585755417053398, 0.10597364820530616]]",0.112445134944491,0.0092342768239078,0.0789817030841594,"[[0.5788475988144555, 0.6027482389207613, nan]]",,,0.625154837526844,"[[0.5788475988144555, 0.6027482389207613, nan]]",,,0.625154837526844,"[[0.5788475988144555, 0.6027482389207613, nan]]",,,0.625154837526844
26,0.2,[0.010767037837705393],[0.05138829675400629],5,2,500,"[[0.5946601941747572, 0.5773195876288659, 0.6129707112970711]]",0.594983497700231,0.0145563055884979,0.63943950786056,"[[0.5946601941747572, 0.5773195876288659, 0.6129707112970711]]",0.594983497700231,0.0145563055884979,0.63943950786056,"[[0.7109088705723018, 0.560621637017081, 0.6533501876618537]]",0.611254999327382,0.0364248200188852,0.65311004784689,"[[0.10389297955722422, 0.10420361969456135, 0.11763965055029221]]",0.108578749934026,0.006408279244182,0.113967092250664,"[[0.10528955156919131, 0.10504448274524157, 0.11559244349301598]]",0.10864215926915,0.0049156113744214,0.116824708640399,"[[0.09942104824818553, 0.10734129184271053, 0.11923152717649471]]",0.108664622422464,0.0081415466061319,0.108472866743713,"[[nan, 0.5821545214243796, 0.6821177709576771]]",,,0.594101808748858,"[[nan, 0.5821545214243796, 0.6821177709576771]]",,,0.594101808748858,"[[nan, 0.5821545214243796, 0.722708537331946]]",,,0.611568642410831
27,0.2,[0.005885795765704786],[0.010576226622576651],5,2,100,"[[0.6154292343387471, 0.4953764861294584, 0.6571428571428571]]",0.589316192537021,0.0685735999337702,0.718835304822566,"[[0.6154292343387471, 0.4953764861294584, 0.6571428571428571]]",0.589316192537021,0.0685735999337702,0.718835304822566,"[[0.6180088960772152, 0.54859577615284, 0.6981362076191553]]",0.599705802926631,0.0795462874968745,0.717925386715196,"[[0.11262535755095696, 0.10666217566876993, 0.10686176621144924]]",0.108716433143725,0.0027652277317031,0.0898820319923106,"[[0.11270000192321741, 0.10635911099511368, 0.10597760626209671]]",0.108345573060143,0.0030829828097707,0.0901428075686049,"[[0.11089171575672731, 0.1069439691000965, 0.10685770081950599]]",0.108231128558776,0.001881648874876,0.0873088303183318,"[[0.6316603989753902, 0.5023811027614576, 0.5972353573408289]]",0.577092286359226,0.054666208873001,0.694895598606062,"[[0.6316603989753902, 0.5023811027614576, 0.5972353573408289]]",0.577092286359226,0.054666208873001,0.694895598606062,"[[0.6316603989753902, 0.5023811027614576, 0.6380121771523597]]",0.590684559629736,0.0624937951195597,0.677599968485791
28,0.2,[0.005930918035862078],[0.006693099481236608],10,2,1000,"[[0.6432258064516129, 0.5993333333333334, 0.6983372921615202]]",0.646965477315489,0.0405046073061729,0.546690843155032,"[[0.6432258064516129, 0.5993333333333334, 0.6983372921615202]]",0.646965477315489,0.0405046073061729,0.546690843155032,"[[0.6553267741871367, 0.7211976676118316, 0.6996940377358987]]",0.646965477315489,0.0405046073061729,0.546690843155032,"[[0.10537244154167469, 0.12480221892404658, 0.09464969026900913]]",0.108274783578243,0.0124796217369528,0.0932393316361334,"[[0.1053014570189734, 0.12432290365662574, 0.0946867224691536]]",0.108103694381584,0.0122601035754591,0.0929572948628795,"[[0.10769327531081353, 0.12671065407934226, 0.0966833337285944]]",0.110362421039583,0.0124030438751318,0.0951104720634087,"[[nan, 0.6208385634631722, 0.6759100567125579]]",,,0.555050869803242,"[[nan, 0.6208385634631722, 0.6759100567125579]]",,,0.555050869803242,"[[nan, 0.6208385634631722, 0.6759100567125579]]",,,0.555050869803242
29,0.2,[0.008421325588198806],[0.040192816716309906],10,2,100,"[[0.6010701545778835, 0.5440180586907449, 0.6136107986501688]]",0.586233003972932,0.0302863351180087,0.74583866837388,"[[0.6010701545778835, 0.5440180586907449, 0.6136107986501688]]",0.586233003972932,0.0302863351180087,0.731754161331626,"[[0.6619854417934247, 0.5395604024322526, 0.6639324570732216]]",0.603105894861571,0.0490972104450068,0.74583866837388,"[[0.12617942649209354, 0.11238355960681443, 0.12563596656489728]]",0.121399650887935,0.0063791986782689,0.0695648205114491,"[[0.13007929272111377, 0.11271578203457651, 0.12518657200079342]]",0.122660548918828,0.0073101970013737,0.0716618829156201,"[[0.12489874493519759, 0.11105251575969119, 0.12021367765166914]]",0.118721646115519,0.0057503121175469,0.0686044605125078,"[[0.5592407044539152, 0.5406451796490681, 0.6269910245579907]]",0.575625636220325,0.0371057113753067,0.661120118496032,"[[0.5592407044539152, 0.5406451796490681, 0.6269910245579907]]",0.575625636220325,0.0371057113753067,0.738990492744639,"[[0.5592407044539152, 0.5406451796490681, 0.6781928020276863]]",0.59269289537689,0.0609323335822238,0.661120118496032
30,0.2,[0.010140014364351883],[0.030393894547183938],5,2,100,"[[0.6248407643312102, 0.5445344129554656, 0.7552447552447552]]",0.641539977510477,0.0868287965962228,0.581585081585082,"[[0.6248407643312102, 0.5445344129554656, 0.7552447552447552]]",0.641539977510477,0.0868287965962228,0.581585081585082,"[[0.6479692806265926, 0.5626668636267521, 0.7909663699885517]]",0.650457174962706,0.086025882016516,0.604118104118104,"[[0.10517003822901293, 0.10454879857345517, 0.1118646260269573]]",0.107194487609808,0.0033120114033525,0.112589758594163,"[[0.10671364642826651, 0.10318961296628566, 0.11192697651197869]]",0.107276745302177,0.0035891680269714,0.112550869729724,"[[0.10035880318621955, 0.10785942366666174, 0.1050542984170855]]",0.104424175089989,0.0030943624495115,0.114458872572359,"[[0.6913974252949187, 0.5199421248293512, 0.7599895693069506]]",0.657109706477073,0.100953552509245,0.537454437185894,"[[0.6913974252949187, 0.5199421248293512, 0.7599895693069506]]",0.657109706477073,0.100953552509245,0.537454437185894,"[[0.7128381545678335, 0.5199421248293512, 0.7599895693069506]]",0.664256616234712,0.103845456649664,0.555293533707102
31,0.2,[0.013514507984403701],[0.05609990976655896],10,2,100,"[[0.6535626535626535, 0.6301955990220048, 0.55470737913486]]",0.612821877239839,0.0421859058373106,0.610414657666345,"[[0.6535626535626535, 0.6301955990220048, 0.55470737913486]]",0.612821877239839,0.0421859058373106,0.610414657666345,"[[0.6363438057741679, 0.7077849686836074, 0.5954139290015955]]",0.612821877239839,0.0421859058373106,0.610414657666345,"[[0.09453424886979477, 0.12518262265112404, 0.129009754948172]]",0.11624220882303,0.015429158097646,0.0873660136609468,"[[0.09765281394264962, 0.1278144712333509, 0.12160571806362203]]",0.115691001079874,0.013004340310804,0.0876776033622787,"[[0.09119588095717837, 0.11987200234211565, 0.13900924463131958]]",0.116692375976871,0.019648782054296,0.0876421402112572,"[[0.6411475624342982, 0.6152826810319295, 0.4992161897913687]]",0.585215477752532,0.0617206403610114,0.656864672464141,"[[0.6411475624342982, 0.6152826810319295, 0.4992161897913687]]",0.585215477752532,0.0617206403610114,0.656864672464141,"[[0.6411475624342982, 0.6152826810319295, 0.4992161897913687]]",0.585215477752532,0.0617206403610114,0.656864672464141
32,0.2,[0.01144517072243543],[0.024771705939331975],5,2,100,"[[0.5768261964735516, 0.6471861471861472, 0.5926470588235294]]",0.605553134161076,0.0301391854737708,0.637718023255814,"[[0.5768261964735516, 0.6471861471861472, 0.5926470588235294]]",0.605553134161076,0.0301391854737708,0.637718023255814,"[[0.5922435566751654, 0.45771019768594573, 0.5961712488577257]]",0.541099069707012,0.062049895571629,0.65515988372093,"[[0.11637387021963434, 0.10338710437762584, 0.09195354071445773]]",0.103904838437239,0.0099762771848257,0.119831102020815,"[[0.11342313647771651, 0.10267881923199368, 0.09251915691593078]]",0.102873704208547,0.0085351264585614,0.120097469477911,"[[0.1145892940135838, 0.09817431086520809, 0.08990618738948292]]",0.100889930756092,0.0102581636335166,0.115895057463401,"[[0.5207028461726464, 0.7266273267965727, 0.5632635855779304]]",0.60353125284905,0.0887593627010756,0.611414315126039,"[[0.5207028461726464, 0.7266273267965727, 0.5632635855779304]]",0.60353125284905,0.0887593627010756,0.611414315126039,"[[0.5207028461726464, 0.45081119159832034, 0.5632635855779304]]",0.511592541116299,0.0463582676668081,0.609474674412343
33,0.2,[0.006732052544554786],[0.02927597993098518],5,2,100,"[[0.9276629570747218, 0.6816143497757847, 0.3935045317220544]]",0.667593946190854,0.218294502345377,0.537507562008469,"[[0.9276629570747218, 0.6816143497757847, 0.3935045317220544]]",0.667593946190854,0.218294502345377,0.537507562008469,"[[0.5943263177259178, 0.7321352864790988, 0.40304259892015654]]",0.665474179365204,0.215775126587158,0.547186932849365,"[[0.09107997272941457, 0.09873963054733746, 0.13009850908045922]]",0.106639370785737,0.0168802836986446,0.137148918604943,"[[0.09175770427859778, 0.10186925236051775, 0.1109060454889684]]",0.101511000709361,0.0078213809932075,0.135022070311885,"[[0.07905045610661937, 0.09587393644179848, 0.13385585257849106]]",0.102926748375636,0.0229232703853576,0.139972889336118,"[[0.8597380447506999, 0.7006147997613728, 0.348042309618272]]",0.636131718043448,0.213817183919752,0.549794152715915,"[[0.8597380447506999, 0.7006147997613728, 0.348042309618272]]",0.636131718043448,0.213817183919752,0.549794152715915,"[[0.8056795394419369, 0.7006147997613728, 0.348042309618272]]",0.618112216273861,0.195725940610427,0.559373000102096
34,0.2,[0.0014525072436574963],[0.0054938423141717594],5,2,100,"[[0.6033925686591276, 0.6222044728434505, 0.5499219968798752]]",0.591839679460818,0.0306190683450419,0.636023054755043,"[[0.6033925686591276, 0.6222044728434505, 0.5499219968798752]]",0.591839679460818,0.0306190683450419,0.636023054755043,"[[0.5878942207155515, 0.5776322236597052, 0.5565940874492263]]",0.556803957397293,0.0342981615921613,0.656772334293948,"[[0.1180901211196581, 0.0792106807795504, 0.09672322853623079]]",0.0980080101451464,0.01589844265176,0.139057033019518,"[[0.11562372504820453, 0.07973397830559449, 0.09679675224426446]]",0.0973848185326878,0.014657827187362,0.140842600712884,"[[0.11634135118144563, 0.07967538486745121, 0.09768668688027647]]",0.0979011409763911,0.0149695861522454,0.138778496980237,"[[0.5930808325439946, 0.5355536590527787, 0.5899354395019848]]",0.572856643699586,0.0264084313811219,0.635848800024733,"[[0.5930808325439946, 0.5355536590527787, 0.5899354395019848]]",0.572856643699586,0.0264084313811219,0.635848800024733,"[[0.5055984481448449, 0.5497342937617031, 0.6004595323863665]]",0.551930758097638,0.0387580070656678,0.662343897767686
35,0.2,[0.009351584753881695],[0.04675792376940845],5,2,100,"[[0.5321316614420063, 0.6577086280056577, 0.6092857142857143]]",0.599708667911126,0.0517119167167353,0.675274370561653,"[[0.5321316614420063, 0.6577086280056577, 0.6092857142857143]]",0.599708667911126,0.0517119167167353,0.675274370561653,"[[0.5974077502181571, 0.6665102120114462, 0.617809514134228]]",0.601137239339697,0.0520150646718171,0.668173014848289,"[[0.09897154833691223, 0.09692958561518233, 0.1030529498161385]]",0.0996513612560777,0.0025456507338577,0.129021046443333,"[[0.09961529983424569, 0.09777513732815207, 0.10482333469772366]]",0.100737923953374,0.0029849048253665,0.131706051314897,"[[0.09972424919551698, 0.08979562325620127, 0.10019160188906612]]",0.0965704914469281,0.0047943531983875,0.122483863961525,"[[0.503710751418295, 0.6481708439760724, 0.6441805432674044]]",0.598687379553924,0.0671783722336614,0.665973756867343,"[[0.503710751418295, 0.6481708439760724, 0.6441805432674044]]",0.598687379553924,0.0671783722336614,0.665973756867343,"[[0.503710751418295, 0.6481708439760724, 0.6467768203606219]]",0.599552805251663,0.0677729557060866,0.63615516687849
36,0.2,[0.0139817597397651],[0.05540152741328581],10,2,100,"[[0.5980662983425414, 0.6861012956419317, 0.702013422818792]]",0.662060338934422,0.0457145262929232,0.480168776371308,"[[0.5980662983425414, 0.6861012956419317, 0.702013422818792]]",0.662060338934422,0.0457145262929232,0.480168776371308,"[[0.706050877677291, 0.6986032257405536, 0.6992089287389317]]",0.662060338934422,0.0457145262929232,0.480168776371308,"[[0.12407604654753383, 0.1076501644362962, 0.1027662997197249]]",0.111497503567852,0.0091151098461556,0.104202579821893,"[[0.12525934416368112, 0.11045955155188768, 0.10274222117833323]]",0.112820372297967,0.0093429229127598,0.102826022727066,"[[0.1272850360781082, 0.10192243868338327, 0.09831296795227028]]",0.109173480904587,0.0128912992063719,0.105776498764221,"[[0.6231139008145032, 0.6306556917922109, 0.7146464745702117]]",0.656138689058975,0.0414856632011549,0.483021924547008,"[[0.6231139008145032, 0.6306556917922109, 0.7146464745702117]]",0.656138689058975,0.0414856632011549,0.483021924547008,"[[0.6231139008145032, 0.6306556917922109, 0.7146464745702117]]",0.656138689058975,0.0414856632011549,0.483021924547008
37,0.2,[0.006004015367699047],[0.005125485766747853],15,2,500,"[[0.5983796296296297, 0.5994962216624685, 0.6879432624113475]]",0.628606371234482,0.0419599943227144,0.606427818756586,"[[0.5983796296296297, 0.5994962216624685, 0.6879432624113475]]",0.628606371234482,0.0419599943227144,0.606427818756586,"[[0.6678485559793799, 0.7207143623238429, 0.6856131149730799]]",0.621469511452786,0.0477286158409054,0.606427818756586,"[[0.13426001432098925, 0.11087150114138017, 0.10434674824813935]]",0.11649275457017,0.0128426305552843,0.0855573190851447,"[[0.13146444308577415, 0.11085773236848628, 0.10303470739884858]]",0.115118960951036,0.011991136159171,0.0856697208607799,"[[0.14336496032079923, 0.11234314294351565, 0.10453269905101634]]",0.120080267438444,0.0167706777922794,0.0885901145311946,"[[0.5739281425761747, 0.5573073607336396, 0.6852961483115401]]",0.605510550540452,0.0568235209869512,0.580342321060483,"[[0.5739281425761747, 0.5573073607336396, 0.6852961483115401]]",0.605510550540452,0.0568235209869512,0.580342321060483,"[[0.5739281425761747, 0.5747594877216755, 0.6852961483115401]]",0.61132792620313,0.052304532595796,0.580342321060483
