"","promoterId","geneId"
"169",25540,"ENSG00000185022.12"
"170",26240,"ENSG00000186866.17"
"171",26523,"ENSG00000187778.14"
"172",26524,"ENSG00000187778.14"
"173",26658,"ENSG00000188186.11"
"174",26660,"ENSG00000188186.11"
"175",27657,"ENSG00000197043.15"
"176",28232,"ENSG00000198242.14"
"177",28279,"ENSG00000198373.13"
"178",28518,"ENSG00000198815.9"
"179",30507,"ENSG00000204138.13"
"180",30580,"ENSG00000204310.13"
"181",30581,"ENSG00000204310.13"
"182",30582,"ENSG00000204310.13"
"183",30584,"ENSG00000204310.13"
"184",30654,"ENSG00000204435.15"
"185",30655,"ENSG00000204435.15"
"186",30656,"ENSG00000204435.15"
"187",30802,"ENSG00000204673.11"
"188",33709,"ENSG00000214063.12"
"189",48995,"ENSG00000242086.8"
