"","Run","batch","Tumor_Normal1","tnbctype_4","bl1_vs_rest"
"SRR8613755","SRR8613755","batch3","Tumor","LAR","REST"
"SRR8613756","SRR8613756","batch3","Tumor","M","REST"
"SRR8613757","SRR8613757","batch3","Tumor","BL1","BL1"
"SRR8613758","SRR8613758","batch3","Tumor","M","REST"
"SRR8613759","SRR8613759","batch3","Tumor","BL1","BL1"
"SRR8613760","SRR8613760","batch3","Tumor","M","REST"
"SRR8613761","SRR8613761","batch3","Tumor","BL1","BL1"
"SRR8613763","SRR8613763","batch3","Tumor","LAR","REST"
"SRR8613764","SRR8613764","batch3","Tumor","BL2","REST"
"SRR8613765","SRR8613765","batch3","Tumor","BL1","BL1"
"SRR8613766","SRR8613766","batch3","Tumor","BL1","BL1"
"SRR8613767","SRR8613767","batch3","Tumor","BL1","BL1"
"SRR8613768","SRR8613768","batch3","Tumor","M","REST"
"SRR8613769","SRR8613769","batch3","Tumor","LAR","REST"
"SRR8613770","SRR8613770","batch3","Tumor","M","REST"
"SRR8613771","SRR8613771","batch3","Tumor","M","REST"
"SRR8613772","SRR8613772","batch3","Tumor","BL1","BL1"
"SRR8613775","SRR8613775","batch3","Tumor","M","REST"
"SRR8613776","SRR8613776","batch3","Tumor","BL1","BL1"
"SRR8613777","SRR8613777","batch3","Tumor","M","REST"
"SRR8613778","SRR8613778","batch3","Tumor","BL1","BL1"
"SRR8613779","SRR8613779","batch3","Tumor","M","REST"
"SRR8613780","SRR8613780","batch3","Tumor","M","REST"
"SRR8613781","SRR8613781","batch3","Tumor","M","REST"
"SRR8613782","SRR8613782","batch3","Tumor","BL1","BL1"
"SRR8613783","SRR8613783","batch3","Tumor","M","REST"
"SRR8613784","SRR8613784","batch3","Tumor","BL1","BL1"
"SRR8613785","SRR8613785","batch3","Tumor","BL1","BL1"
"SRR8613786","SRR8613786","batch3","Tumor","BL2","REST"
"SRR8613787","SRR8613787","batch3","Tumor","BL1","BL1"
