sample	ENST00000456174.6
GTEX-UTHO-0426-SM-3GAED	-9.966
GTEX-14C5O-0226-SM-5SI6O	-9.966
GTEX-UTHO-0426-SM-5SI7N	-9.966
GTEX-ZF3C-0226-SM-4WWB3	-4.035
GTEX-13OW8-1226-SM-5K7XD	-2.315
GTEX-11WQC-2426-SM-5EQKQ	-1.831
GTEX-111FC-0226-SM-5N9B8	-1.938
GTEX-12WSB-0226-SM-5GCOR	-9.966
GTEX-1314G-1626-SM-5EQ67	-0.7346
GTEX-12696-2526-SM-5EQLN	-1.431
GTEX-ZF29-2226-SM-4WWB9	-9.966
GTEX-12WSD-0226-SM-59HKO	-9.966
GTEX-OOBJ-0226-SM-2YUMM	-9.966
GTEX-QVJO-0226-SM-2S1R2	-9.966
GTEX-131XW-0526-SM-5PNXZ	-9.966
GTEX-POMQ-2326-SM-2S1O8	-9.966
GTEX-SSA3-0226-SM-32QPN	-9.966
GTEX-ZXG5-0226-SM-59HJI	-9.966
GTEX-11ZUS-0726-SM-59886	-2.635
GTEX-11GS4-2626-SM-5A5LD	-9.966
GTEX-148VI-1726-SM-5S2W9	-9.966
GTEX-145LS-0226-SM-5O9A5	-4.035
GTEX-1211K-2226-SM-5FQU6	-9.966
GTEX-PLZ4-0226-SM-5SI7M	-9.966
GTEX-RWSA-0226-SM-2XCBA	-3.308
GTEX-WL46-0326-SM-3LK6Y	-9.966
GTEX-OXRO-0226-SM-3LK6F	-3.816
GTEX-11EI6-0226-SM-5EQ64	-3.047
GTEX-XK95-0426-SM-4AT4R	-9.966
GTEX-13JUV-2826-SM-5LZWU	-3.458
GTEX-OIZH-0226-SM-2YUMH	-9.966
GTEX-P4QR-0426-SM-2S1NV	-1.732
GTEX-XV7Q-2626-SM-4BRVA	-3.626
GTEX-1399T-2726-SM-5K7XK	-9.966
GTEX-13PDP-0226-SM-5K7W9	-9.966
GTEX-11PRG-0626-SM-5BC56	-9.966
GTEX-139TT-0226-SM-5K7YH	-9.966
GTEX-ZV68-0226-SM-59HJF	-2.932
GTEX-YJ8O-2426-SM-5HL7S	-9.966
GTEX-111VG-2326-SM-5N9BK	-9.966
GTEX-OOBK-0226-SM-2YUMF	-9.966
GTEX-1313W-0226-SM-5LZV7	-9.966
GTEX-OHPM-0226-SM-3LK61	-5.012
GTEX-YF7O-2426-SM-5IFJL	-4.035
GTEX-139T4-0126-SM-5HL5G	-9.966
GTEX-QCQG-1826-SM-2S1P2	-9.966
GTEX-13VXT-0226-SM-5LU9Q	-9.966
GTEX-13NZB-2426-SM-5K7UF	-3.626
GTEX-SIU8-0226-SM-2XCDS	-9.966
GTEX-XQ8I-0526-SM-4BOPS	-9.966
GTEX-ZZPU-2726-SM-5NQ8O	-4.293
GTEX-OXRK-0326-SM-2YUMQ	-3.816
GTEX-P4QT-0226-SM-3LK68	-3.816
GTEX-QEG4-0326-SM-5S2UQ	-1.510
GTEX-11O72-0226-SM-59869	-4.035
GTEX-ZVTK-0526-SM-5GZWT	-4.293
GTEX-Y8E4-0726-SM-4WWFN	-2.548
GTEX-ZDTS-0226-SM-5HL7Q	-2.245
GTEX-Q2AI-1426-SM-2S1P5	-9.966
GTEX-13G51-2626-SM-5LZYW	-9.966
GTEX-XQ3S-1626-SM-4WAYN	-3.816
GTEX-ZUA1-0226-SM-5NQ9Q	-9.966
GTEX-139TU-0226-SM-5J1NM	-9.966
GTEX-11LCK-1126-SM-5A5KC	-4.608
GTEX-13S7M-0226-SM-5S2UG	-4.293
GTEX-12KS4-0426-SM-5EQMC	-4.293
GTEX-RM2N-1726-SM-2TF55	-9.966
GTEX-11P82-1726-SM-5Q5AT	-9.966
GTEX-111YS-2426-SM-5GZZQ	-9.966
GTEX-YECK-0226-SM-4W215	-4.608
GTEX-Y111-0226-SM-4SOIW	-1.248
GTEX-13OW6-0526-SM-5L3HY	-9.966
GTEX-12WSM-0226-SM-5LZV6	-9.966
GTEX-ZTSS-2026-SM-5987K	-9.966
GTEX-11TTK-0226-SM-5N9EC	-3.458
GTEX-WI4N-1126-SM-3LK7Q	-3.047
GTEX-139YR-2426-SM-5J1OB	-5.012
GTEX-S33H-1126-SM-2XCB6	-5.012
GTEX-14BIL-0226-SM-5SI9E	-9.966
GTEX-117YX-2226-SM-5EGJJ	-9.966
GTEX-XOTO-0226-SM-4B66H	-9.966
GTEX-QLQW-1226-SM-2S1Q9	-9.966
GTEX-ZXES-2026-SM-5NQ6R	-9.966
GTEX-144FL-0226-SM-5Q5D4	-9.966
GTEX-YFCO-2026-SM-4W21Q	-9.966
GTEX-13OW7-0226-SM-5MR3N	-2.245
GTEX-13X6K-0226-SM-5QGPB	-4.293
GTEX-13O61-2426-SM-5J1NV	-5.012
GTEX-OXRP-0226-SM-48TDH	-9.966
GTEX-ZLV1-1826-SM-5FQU5	-9.966
GTEX-POMQ-2326-SM-5S2VS	-2.932
GTEX-XMD2-0226-SM-4WWEE	-3.458
GTEX-NL3G-0226-SM-4RGLU	-1.685
GTEX-131XE-2426-SM-5EQ5V	-9.966
GTEX-ZPU1-2426-SM-4WWFM	-9.966
GTEX-Y3IK-2526-SM-4WWDM	-2.635
GTEX-X5EB-2426-SM-4E3HX	-9.966
GTEX-11DXZ-2226-SM-5EGH2	-9.966
GTEX-1269C-2726-SM-5EGJ4	-9.966
GTEX-13NZ9-0526-SM-5J1OX	-4.035
GTEX-ZE9C-2826-SM-5S2MO	-9.966
GTEX-145MO-0426-SM-5QGP6	-2.053
GTEX-139T8-0226-SM-5L3EA	-5.574
GTEX-12ZZY-0326-SM-5LZVQ	-9.966
GTEX-11EQ9-2526-SM-5HL66	-9.966
