sample	ENST00000417496.6
GTEX-UTHO-0426-SM-3GAED	0.1903
GTEX-14C5O-0226-SM-5SI6O	-0.1187
GTEX-UTHO-0426-SM-5SI7N	-0.5543
GTEX-ZF3C-0226-SM-4WWB3	-0.6873
GTEX-13OW8-1226-SM-5K7XD	-0.8084
GTEX-11WQC-2426-SM-5EQKQ	-0.8863
GTEX-111FC-0226-SM-5N9B8	-0.9132
GTEX-12WSB-0226-SM-5GCOR	-0.9406
GTEX-1314G-1626-SM-5EQ67	-0.9971
GTEX-12696-2526-SM-5EQLN	-1.117
GTEX-ZF29-2226-SM-4WWB9	-1.149
GTEX-12WSD-0226-SM-59HKO	-1.149
GTEX-OOBJ-0226-SM-2YUMM	-1.181
GTEX-QVJO-0226-SM-2S1R2	-1.181
GTEX-131XW-0526-SM-5PNXZ	-1.214
GTEX-POMQ-2326-SM-2S1O8	-1.214
GTEX-SSA3-0226-SM-32QPN	-1.248
GTEX-ZXG5-0226-SM-59HJI	-1.283
GTEX-11ZUS-0726-SM-59886	-1.283
GTEX-11GS4-2626-SM-5A5LD	-1.355
GTEX-148VI-1726-SM-5S2W9	-1.355
GTEX-145LS-0226-SM-5O9A5	-1.392
GTEX-1211K-2226-SM-5FQU6	-1.392
GTEX-PLZ4-0226-SM-5SI7M	-1.431
GTEX-RWSA-0226-SM-2XCBA	-1.431
GTEX-WL46-0326-SM-3LK6Y	-1.470
GTEX-OXRO-0226-SM-3LK6F	-1.470
GTEX-11EI6-0226-SM-5EQ64	-1.510
GTEX-XK95-0426-SM-4AT4R	-1.510
GTEX-13JUV-2826-SM-5LZWU	-1.510
GTEX-OIZH-0226-SM-2YUMH	-1.510
GTEX-P4QR-0426-SM-2S1NV	-1.510
GTEX-XV7Q-2626-SM-4BRVA	-1.552
GTEX-1399T-2726-SM-5K7XK	-1.552
GTEX-13PDP-0226-SM-5K7W9	-1.552
GTEX-11PRG-0626-SM-5BC56	-1.552
GTEX-139TT-0226-SM-5K7YH	-1.595
GTEX-ZV68-0226-SM-59HJF	-1.639
GTEX-YJ8O-2426-SM-5HL7S	-1.639
GTEX-111VG-2326-SM-5N9BK	-1.639
GTEX-OOBK-0226-SM-2YUMF	-1.639
GTEX-1313W-0226-SM-5LZV7	-1.685
GTEX-OHPM-0226-SM-3LK61	-1.685
GTEX-YF7O-2426-SM-5IFJL	-1.732
GTEX-139T4-0126-SM-5HL5G	-1.732
GTEX-QCQG-1826-SM-2S1P2	-1.781
GTEX-13VXT-0226-SM-5LU9Q	-1.781
GTEX-13NZB-2426-SM-5K7UF	-1.781
GTEX-SIU8-0226-SM-2XCDS	-1.831
GTEX-XQ8I-0526-SM-4BOPS	-1.831
GTEX-ZZPU-2726-SM-5NQ8O	-1.884
GTEX-OXRK-0326-SM-2YUMQ	-1.884
GTEX-P4QT-0226-SM-3LK68	-1.884
GTEX-QEG4-0326-SM-5S2UQ	-1.884
GTEX-11O72-0226-SM-59869	-1.884
GTEX-ZVTK-0526-SM-5GZWT	-1.938
GTEX-Y8E4-0726-SM-4WWFN	-1.938
GTEX-ZDTS-0226-SM-5HL7Q	-1.938
GTEX-Q2AI-1426-SM-2S1P5	-1.938
GTEX-13G51-2626-SM-5LZYW	-1.994
GTEX-XQ3S-1626-SM-4WAYN	-1.994
GTEX-ZUA1-0226-SM-5NQ9Q	-1.994
GTEX-139TU-0226-SM-5J1NM	-1.994
GTEX-11LCK-1126-SM-5A5KC	-1.994
GTEX-13S7M-0226-SM-5S2UG	-1.994
GTEX-12KS4-0426-SM-5EQMC	-1.994
GTEX-RM2N-1726-SM-2TF55	-1.994
GTEX-11P82-1726-SM-5Q5AT	-1.994
GTEX-111YS-2426-SM-5GZZQ	-2.053
GTEX-YECK-0226-SM-4W215	-2.053
GTEX-Y111-0226-SM-4SOIW	-2.053
GTEX-13OW6-0526-SM-5L3HY	-2.053
GTEX-12WSM-0226-SM-5LZV6	-2.053
GTEX-ZTSS-2026-SM-5987K	-2.053
GTEX-11TTK-0226-SM-5N9EC	-2.053
GTEX-WI4N-1126-SM-3LK7Q	-2.053
GTEX-139YR-2426-SM-5J1OB	-2.053
GTEX-S33H-1126-SM-2XCB6	-2.114
GTEX-14BIL-0226-SM-5SI9E	-2.114
GTEX-117YX-2226-SM-5EGJJ	-2.114
GTEX-XOTO-0226-SM-4B66H	-2.114
GTEX-QLQW-1226-SM-2S1Q9	-2.114
GTEX-ZXES-2026-SM-5NQ6R	-2.114
GTEX-144FL-0226-SM-5Q5D4	-2.178
GTEX-YFCO-2026-SM-4W21Q	-2.178
GTEX-13OW7-0226-SM-5MR3N	-2.178
GTEX-13X6K-0226-SM-5QGPB	-2.178
GTEX-13O61-2426-SM-5J1NV	-2.178
GTEX-OXRP-0226-SM-48TDH	-2.178
GTEX-ZLV1-1826-SM-5FQU5	-2.178
GTEX-POMQ-2326-SM-5S2VS	-2.178
GTEX-XMD2-0226-SM-4WWEE	-2.178
GTEX-NL3G-0226-SM-4RGLU	-2.245
GTEX-131XE-2426-SM-5EQ5V	-2.245
GTEX-ZPU1-2426-SM-4WWFM	-2.245
GTEX-Y3IK-2526-SM-4WWDM	-2.245
GTEX-X5EB-2426-SM-4E3HX	-2.245
GTEX-11DXZ-2226-SM-5EGH2	-2.245
GTEX-1269C-2726-SM-5EGJ4	-2.245
GTEX-13NZ9-0526-SM-5J1OX	-2.245
GTEX-ZE9C-2826-SM-5S2MO	-2.245
GTEX-145MO-0426-SM-5QGP6	-2.245
GTEX-139T8-0226-SM-5L3EA	-2.245
GTEX-12ZZY-0326-SM-5LZVQ	-2.315
GTEX-11EQ9-2526-SM-5HL66	-2.315
GTEX-13CF2-2626-SM-5LZZA	-2.315
GTEX-13112-2726-SM-5DUW5	-2.388
GTEX-131XF-2226-SM-5EQKG	-2.388
GTEX-12ZZX-0226-SM-5DUXU	-2.388
GTEX-111FC-1426-SM-5N9C7	-2.388
GTEX-TSE9-0226-SM-3DB84	-2.388
GTEX-ZAK1-0226-SM-5CVMX	-2.466
GTEX-11DZ1-0226-SM-5A5KF	-2.466
GTEX-144GL-0226-SM-5QGOX	-2.466
GTEX-ZAJG-0226-SM-5HL81	-2.466
GTEX-QV44-1825-SM-447CF	-2.466
GTEX-W5X1-2626-SM-4LMI8	-2.466
GTEX-13SLW-0226-SM-5S2NA	-2.466
GTEX-11UD1-0226-SM-5EQKL	-2.466
GTEX-ZDYS-2126-SM-5S2OD	-2.466
GTEX-RU72-1026-SM-46MUG	-2.466
GTEX-P4QS-0226-SM-3NB1U	-2.466
GTEX-13N1W-0226-SM-5K7W6	-2.548
GTEX-13FTY-0626-SM-5L3F8	-2.548
GTEX-145LT-1826-SM-5QGP4	-2.548
GTEX-XPVG-2726-SM-4B66W	-2.548
GTEX-X4EO-0426-SM-4QASA	-2.548
GTEX-11OF3-2426-SM-5Q5AS	-2.548
GTEX-WFON-2226-SM-3TW8W	-2.548
GTEX-S4Q7-1626-SM-3K2AE	-2.635
GTEX-ZEX8-2326-SM-5S2MN	-2.635
GTEX-OXRK-0326-SM-3NB3R	-2.635
GTEX-13PLJ-0126-SM-5L3HU	-2.635
GTEX-14BMU-2126-SM-5S2TS	-2.635
GTEX-ZC5H-0126-SM-4WAYL	-2.727
GTEX-VUSG-2426-SM-4KKZG	-2.727
GTEX-145MN-2626-SM-5NQAH	-2.727
GTEX-R53T-1626-SM-3GAEW	-2.727
GTEX-ZYW4-0226-SM-5E44M	-2.727
GTEX-Z93S-0226-SM-5HL7R	-2.727
GTEX-P4PQ-0226-SM-2S1NK	-2.826
GTEX-ZYY3-0226-SM-5E45M	-2.826
GTEX-12WSC-0226-SM-5EQ52	-2.826
GTEX-14753-0326-SM-5QGQB	-2.826
GTEX-11UD2-0126-SM-5EQL2	-2.826
GTEX-XUYS-0226-SM-47JX1	-2.826
GTEX-13U4I-0226-SM-5SIB1	-2.826
GTEX-Z93T-0226-SM-5HL5Z	-2.826
GTEX-PX3G-0226-SM-2S1OU	-2.826
GTEX-1497J-2326-SM-5NQBK	-2.826
GTEX-13FHO-0326-SM-5IJBH	-2.826
GTEX-P78B-0226-SM-3NB1Z	-2.826
GTEX-YJ8A-0526-SM-5IFHT	-2.826
GTEX-11GSO-2326-SM-5A5LX	-2.932
GTEX-SN8G-0226-SM-4DM6B	-2.932
GTEX-Y114-2326-SM-4TT7X	-2.932
GTEX-ZYWO-2526-SM-5GIDM	-2.932
GTEX-XBED-2326-SM-47JYR	-2.932
GTEX-13NZA-0126-SM-5K7UH	-2.932
GTEX-11P7K-2026-SM-5GU74	-2.932
GTEX-XAJ8-0926-SM-47JXZ	-2.932
GTEX-T5JC-0526-SM-32PM7	-2.932
GTEX-13QBU-2526-SM-5LU4X	-2.932
GTEX-REY6-0326-SM-2TF5A	-2.932
GTEX-147GR-0426-SM-5S2OL	-3.047
GTEX-YFC4-0226-SM-57WD2	-3.047
GTEX-13PVQ-0226-SM-5SIBG	-3.047
GTEX-11ZVC-2626-SM-5FQTA	-3.047
GTEX-13W3W-2526-SM-5SI9P	-3.047
GTEX-R55C-1626-SM-48FEG	-3.047
GTEX-ZTX8-1526-SM-5N9GI	-3.047
GTEX-12584-0226-SM-5EQL5	-3.047
GTEX-XGQ4-2226-SM-4AT4Y	-3.047
GTEX-11DXW-0326-SM-5H11W	-3.047
GTEX-11P81-2426-SM-5GU65	-3.047
GTEX-13NZ8-0926-SM-5MR3U	-3.047
GTEX-ZPCL-2126-SM-57WFZ	-3.047
GTEX-NFK9-0326-SM-3MJGV	-3.047
GTEX-OXRP-0226-SM-3NB14	-3.171
GTEX-13QJ3-0426-SM-5RQHP	-3.171
GTEX-147F3-0626-SM-5NQ9I	-3.171
GTEX-PLZ4-0226-SM-2S1NW	-3.171
GTEX-ZE7O-0226-SM-5S2N1	-3.171
GTEX-1128S-2126-SM-5H12U	-3.171
GTEX-ZVE2-0326-SM-57WFC	-3.171
GTEX-X261-0226-SM-3NMD2	-3.171
GTEX-Y3I4-2226-SM-4TT7O	-3.171
GTEX-ZZ64-1626-SM-5E43W	-3.171
GTEX-R55D-0326-SM-48FES	-3.171
GTEX-YEC3-1226-SM-5IFI8	-3.171
GTEX-1399R-2626-SM-5KLZ7	-3.171
GTEX-11ILO-0226-SM-5N9D3	-3.171
GTEX-QDVN-2126-SM-33HBS	-3.171
GTEX-13RTJ-2526-SM-5S2Q3	-3.308
GTEX-1399U-2426-SM-5K7XB	-3.308
GTEX-PX3G-0226-SM-3NB2C	-3.308
GTEX-11H98-0226-SM-5NQ89	-3.308
GTEX-12WSA-0326-SM-5BC6I	-3.308
GTEX-P4PP-0226-SM-5S2VR	-3.308
GTEX-13IVO-0226-SM-5LZXU	-3.308
GTEX-S95S-1326-SM-2XCDK	-3.308
GTEX-13JVG-0226-SM-5J1MW	-3.308
GTEX-PWCY-1926-SM-3NB25	-3.308
