Genes,log2foldChange,pValues,FDR
ENSG00000105889.16,-2.556754551,2.96E-06,5.97E-06
ENSG00000105997.23,-2.551582836,8.20E-23,8.09E-22
ENSG00000106004.5,-1.977295231,1.63E-28,3.63E-27
ENSG00000106511.6,-1.722881126,6.21E-33,3.62E-31
ENSG00000106686.18,-1.05137142,1.55E-28,3.47E-27
ENSG00000106714.18,-1.658798887,2.83E-17,1.54E-16
ENSG00000106809.11,-2.208491999,7.89E-32,3.46E-30
ENSG00000107518.18,-1.89195226,2.58E-16,1.28E-15
ENSG00000107593.17,-1.941212254,3.46E-19,2.30E-18
ENSG00000107807.13,-1.408406043,8.31E-12,2.75E-11
ENSG00000108176.15,-1.068130665,2.96E-11,9.33E-11
ENSG00000108255.8,-4.465434307,0.04887233,0.06313285
ENSG00000108381.11,-6.608244863,2.30E-31,9.19E-30
ENSG00000108688.11,-1.370736813,5.91E-15,2.57E-14
ENSG00000108785.7,-1.870574606,2.33E-13,8.80E-13
ENSG00000108852.16,-1.054181394,5.27E-28,1.07E-26
ENSG00000108924.14,-1.094020223,8.85E-36,1.39E-33
ENSG00000108947.5,-2.290628083,4.32E-16,2.10E-15
ENSG00000109182.12,-1.157922988,0.002339059,0.003556478
ENSG00000109255.11,-1.779035583,5.34E-20,3.87E-19
ENSG00000109511.12,-1.054735709,7.92E-07,1.69E-06
ENSG00000109705.8,-1.498936023,3.96E-15,1.75E-14
ENSG00000110076.21,-1.069531553,1.52E-25,2.12E-24
ENSG00000110484.7,-2.38564188,8.81E-19,5.60E-18
ENSG00000111087.10,-1.308066011,4.19E-17,2.24E-16
ENSG00000111249.14,-4.511929067,0.000362415,0.000600812
ENSG00000111339.12,-1.666985855,3.22E-14,1.31E-13
ENSG00000111452.13,-1.097411619,1.72E-24,2.08E-23
ENSG00000112164.6,-1.997327986,4.43E-06,8.80E-06
ENSG00000112195.9,-1.019665131,0.000136209,0.000235588
ENSG00000112214.11,-1.272606615,5.12E-30,1.51E-28
ENSG00000112619.8,-1.214924956,9.75E-20,6.86E-19
ENSG00000112936.21,-1.237889603,2.50E-22,2.33E-21
ENSG00000113302.6,-1.469906508,1.47E-18,9.13E-18
ENSG00000113396.13,-2.161486991,1.85E-13,7.01E-13
ENSG00000114279.15,-1.174742359,3.07E-14,1.25E-13
ENSG00000114654.8,-1.643890084,2.13E-19,1.44E-18
ENSG00000115155.19,-2.227624876,0.005532033,0.008060474
ENSG00000115361.8,-5.264452157,6.91E-16,3.28E-15
ENSG00000115556.14,-5.510811993,8.82E-25,1.10E-23
ENSG00000115602.17,-1.055441015,1.67E-11,5.39E-11
ENSG00000115705.22,-3.272364456,9.48E-31,3.30E-29
ENSG00000116329.12,-1.534217235,0.008041901,0.011486129
ENSG00000116690.13,-1.19342883,7.21E-09,1.84E-08
ENSG00000117148.8,-2.004784336,1.08E-15,5.05E-15
ENSG00000117245.13,-1.922362675,9.50E-12,3.13E-11
ENSG00000118307.20,-3.993932152,1.37E-21,1.17E-20
ENSG00000118432.13,-1.192803615,2.56E-16,1.27E-15
ENSG00000118777.12,-1.044289355,1.53E-31,6.26E-30
ENSG00000118804.9,-2.025344987,1.73E-06,3.57E-06
ENSG00000119283.16,-1.190746672,7.67E-10,2.14E-09
ENSG00000119782.14,-1.463038558,6.71E-10,1.88E-09
ENSG00000119946.12,-1.368429945,0.000857105,0.001366974
ENSG00000120149.9,-1.423301431,7.59E-07,1.62E-06
ENSG00000120329.7,-2.12209455,1.01E-12,3.59E-12
ENSG00000120332.17,-1.044923744,7.56E-26,1.11E-24
ENSG00000120498.14,-1.029148731,2.03E-18,1.24E-17
ENSG00000120729.10,-1.055692929,0.000558039,0.000907364
ENSG00000121380.12,-3.406432944,1.19E-12,4.22E-12
ENSG00000121742.19,-1.064114871,1.67E-12,5.85E-12
ENSG00000121764.12,-3.517019233,1.23E-24,1.51E-23
ENSG00000122035.7,-1.249440068,1.97E-26,3.13E-25
ENSG00000122367.21,-1.991189372,2.50E-19,1.68E-18
ENSG00000122733.12,-2.970443908,1.46E-09,3.97E-09
ENSG00000122756.15,-4.411378793,7.62E-23,7.55E-22
ENSG00000122824.11,-1.776619137,8.77E-05,0.000154307
ENSG00000123119.12,-3.757979807,5.16E-32,2.39E-30
ENSG00000123407.4,-2.519730309,1.51E-11,4.89E-11
ENSG00000123560.14,-4.321376293,1.29E-23,1.40E-22
ENSG00000123612.16,-1.324955583,1.67E-23,1.79E-22
ENSG00000124143.11,-2.341066846,1.04E-18,6.55E-18
ENSG00000124194.17,-1.259580465,2.20E-19,1.49E-18
ENSG00000124440.16,-9.740047473,1.93E-30,6.21E-29
ENSG00000124493.14,-1.055564205,5.53E-08,1.31E-07
ENSG00000124657.1,-1.560077087,1.03E-18,6.50E-18
ENSG00000124835.2,-1.319046206,3.34E-12,1.14E-11
ENSG00000125046.16,-1.719575285,0.000425421,0.000700417
ENSG00000125378.16,-1.600641892,9.41E-27,1.56E-25
ENSG00000125414.19,-1.294601602,1.34E-19,9.30E-19
ENSG00000125657.5,-1.57442147,1.14E-08,2.87E-08
ENSG00000125726.11,-1.334770754,2.78E-11,8.78E-11
ENSG00000126218.12,-3.248645471,3.99E-35,4.80E-33
ENSG00000126233.2,-1.346324008,1.78E-10,5.24E-10
ENSG00000126246.10,-1.03240186,9.79E-13,3.50E-12
ENSG00000126895.16,-2.973637506,3.95E-19,2.61E-18
ENSG00000127083.8,-10.28675383,8.40E-16,3.96E-15
ENSG00000127530.4,-6.022058857,5.50E-08,1.30E-07
ENSG00000127903.14,-3.253708277,1.39E-14,5.82E-14
ENSG00000128218.8,-1.564548185,3.36E-12,1.15E-11
ENSG00000128383.14,-1.542406572,7.08E-08,1.65E-07
ENSG00000128536.16,-1.168862369,5.99E-21,4.79E-20
ENSG00000128564.8,-1.282846039,2.70E-14,1.10E-13
ENSG00000128617.3,-5.070195356,5.21E-06,1.03E-05
ENSG00000128652.12,-2.19278527,5.64E-29,1.36E-27
ENSG00000128655.19,-2.857112345,5.56E-31,2.05E-29
ENSG00000128692.8,-1.385406281,3.88E-12,1.32E-11
ENSG00000128709.13,-1.083187048,8.90E-23,8.75E-22
ENSG00000128918.15,-2.633207953,2.12E-33,1.42E-31
ENSG00000129451.12,-2.937897176,0.002578041,0.00390301
ENSG00000129596.5,-1.928442656,5.04E-29,1.23E-27
ENSG00000129673.10,-4.798544573,5.91E-06,1.16E-05
ENSG00000129757.15,-1.108737677,5.99E-30,1.74E-28
ENSG00000130234.13,-2.752506924,0.000199674,0.000339742
ENSG00000130307.12,-1.464929819,1.55E-30,5.09E-29
ENSG00000130518.18,-1.037725669,2.33E-32,1.17E-30
ENSG00000130649.10,-2.138402447,1.31E-10,3.90E-10
ENSG00000130812.11,-2.195327105,5.73E-08,1.35E-07
ENSG00000130829.18,-1.130558401,0.000164489,0.00028235
ENSG00000130988.13,-1.79700274,1.59E-18,9.85E-18
ENSG00000130997.16,-3.341933766,0.000193239,0.000329213
ENSG00000131044.19,-3.077893142,2.05E-06,4.20E-06
ENSG00000131831.18,-1.265333122,1.19E-35,1.77E-33
ENSG00000132437.18,-1.119127762,0.000153363,0.00026408
ENSG00000132554.21,-4.275763954,9.48E-31,3.30E-29
ENSG00000132563.17,-2.965204662,1.34E-08,3.34E-08
ENSG00000132639.15,-2.08438584,0.004636672,0.006815785
ENSG00000132837.15,-1.904960896,7.94E-26,1.16E-24
ENSG00000132915.12,-1.486836284,0.005485351,0.007995495
ENSG00000133116.8,-2.40837497,3.10E-35,3.98E-33
ENSG00000133640.20,-7.18584147,3.17E-12,1.09E-11
ENSG00000133800.9,-1.118508525,1.53E-30,5.04E-29
ENSG00000134594.5,-1.727745286,3.71E-14,1.50E-13
ENSG00000134760.6,-1.611052679,4.55E-11,1.41E-10
ENSG00000134827.8,-5.074732394,4.26E-10,1.21E-09
ENSG00000134917.10,-5.561276145,2.71E-22,2.52E-21
ENSG00000134940.14,-3.928855752,1.04E-25,1.50E-24
ENSG00000135063.20,-1.055307453,8.75E-30,2.46E-28
ENSG00000135314.14,-1.750750456,6.20E-06,1.21E-05
ENSG00000135324.6,-2.430856356,5.66E-07,1.22E-06
ENSG00000135333.15,-1.262289362,2.37E-05,4.42E-05
ENSG00000135437.10,-3.339373578,2.60E-26,4.04E-25
ENSG00000135447.17,-1.463752051,1.50E-18,9.34E-18
ENSG00000135917.16,-1.804203009,3.97E-21,3.23E-20
ENSG00000136011.15,-1.150991635,2.31E-29,6.00E-28
ENSG00000136014.12,-2.785376859,1.43E-29,3.83E-28
ENSG00000136155.17,-2.339027465,2.69E-06,5.45E-06
ENSG00000136274.9,-2.077409536,5.67E-27,9.76E-26
ENSG00000136546.17,-2.61102722,4.78E-32,2.23E-30
ENSG00000136573.16,-2.924700935,2.16E-05,4.04E-05
ENSG00000136634.7,-3.578026618,3.83E-12,1.30E-11
ENSG00000136842.14,-1.543475162,2.75E-28,5.88E-27
ENSG00000136928.7,-4.305822451,1.46E-09,3.97E-09
ENSG00000137077.8,-1.024745572,7.22E-18,4.18E-17
ENSG00000137098.14,-1.608560397,6.18E-23,6.17E-22
ENSG00000137142.5,-3.776468346,2.98E-18,1.79E-17
ENSG00000137261.15,-4.177670193,7.67E-10,2.14E-09
ENSG00000137273.6,-1.1313057,8.75E-06,1.69E-05
ENSG00000137392.10,-4.331432481,5.91E-15,2.57E-14
ENSG00000137691.13,-4.693457927,2.35E-18,1.43E-17
ENSG00000137727.13,-1.013855706,2.85E-36,5.52E-34
ENSG00000137757.11,-1.925043602,1.85E-13,7.01E-13
ENSG00000137869.16,-1.687085306,0.000158542,0.000272538
ENSG00000137878.17,-1.134227556,2.53E-13,9.52E-13
ENSG00000137960.6,-1.937701902,8.80E-31,3.09E-29
ENSG00000138079.14,-1.754611331,4.61E-18,2.72E-17
ENSG00000138135.7,-2.863317368,1.70E-06,3.50E-06
ENSG00000138207.15,-4.059360199,4.24E-23,4.34E-22
ENSG00000138315.13,-1.093435425,1.06E-13,4.08E-13
ENSG00000138395.17,-1.162515347,2.54E-12,8.78E-12
ENSG00000138400.13,-2.270674916,1.61E-14,6.72E-14
ENSG00000138435.16,-2.668478987,2.57E-18,1.56E-17
ENSG00000138684.9,-1.028772631,6.41E-15,2.77E-14
ENSG00000138722.10,-1.368606008,2.83E-28,6.06E-27
ENSG00000139725.8,-4.797640667,1.17E-15,5.44E-15
ENSG00000139865.17,-1.097138765,9.12E-16,4.29E-15
ENSG00000139910.20,-1.882372081,2.87E-38,2.87E-35
ENSG00000139915.22,-1.732979706,2.43E-06,4.93E-06
ENSG00000139985.8,-1.346002622,1.03E-16,5.28E-16
ENSG00000140287.11,-2.926140618,5.38E-15,2.35E-14
ENSG00000140527.15,-1.412354272,2.36E-19,1.59E-18
ENSG00000140873.16,-2.016291763,5.88E-19,3.81E-18
ENSG00000141338.15,-1.173499274,6.05E-36,1.01E-33
ENSG00000141576.16,-1.143181023,6.83E-18,3.97E-17
ENSG00000142530.11,-1.267600871,0.010709821,0.015073464
ENSG00000142661.19,-2.046574434,3.58E-19,2.37E-18
ENSG00000142973.16,-2.159982286,1.67E-22,1.59E-21
ENSG00000143184.5,-1.451098228,2.16E-06,4.41E-06
ENSG00000143185.4,-1.482558994,6.37E-10,1.79E-09
ENSG00000143630.10,-3.014153207,1.68E-05,3.18E-05
ENSG00000143867.7,-1.122180465,2.88E-23,3.00E-22
ENSG00000144031.12,-1.460623653,2.90E-25,3.89E-24
ENSG00000144130.12,-9.780080639,3.03E-35,3.90E-33
ENSG00000144229.13,-1.527255905,3.66E-23,3.77E-22
ENSG00000144230.17,-1.642999783,1.10E-32,5.96E-31
ENSG00000144331.20,-2.467687614,7.42E-23,7.35E-22
ENSG00000144481.17,-1.154581411,7.59E-07,1.62E-06
ENSG00000144891.19,-3.204057787,1.59E-35,2.27E-33
ENSG00000144908.14,-5.189005527,1.52E-23,1.64E-22
ENSG00000145198.15,-1.30588501,0.016169436,0.022270096
ENSG00000145283.8,-1.553479806,4.08E-18,2.42E-17
ENSG00000145358.6,-1.749386119,5.63E-09,1.45E-08
ENSG00000145681.11,-5.119409193,1.64E-14,6.81E-14
ENSG00000145700.10,-1.178283375,1.71E-12,6.00E-12
ENSG00000145721.12,-1.159258325,9.83E-10,2.72E-09
ENSG00000145850.9,-2.59267215,1.82E-10,5.36E-10
ENSG00000145861.9,-4.079441928,6.15E-11,1.89E-10
ENSG00000145934.17,-1.047005198,8.72E-24,9.70E-23
ENSG00000146038.12,-4.632530404,2.31E-22,2.16E-21
ENSG00000146054.18,-3.913600953,1.48E-10,4.38E-10
ENSG00000146477.6,-1.507057876,2.46E-23,2.58E-22
ENSG00000146707.15,-1.580959756,0.000110876,0.000193352
ENSG00000147257.16,-1.451141688,2.93E-35,3.80E-33
ENSG00000147434.9,-2.292388102,5.60E-28,1.13E-26
ENSG00000147576.17,-1.369526042,6.18E-23,6.17E-22
ENSG00000147614.4,-1.883507214,1.41E-14,5.90E-14
ENSG00000148204.12,-1.477236981,3.69E-13,1.37E-12
ENSG00000148357.18,-1.033677399,1.31E-20,1.01E-19
ENSG00000148408.14,-7.098146342,2.92E-08,7.07E-08
ENSG00000148483.9,-2.930214127,1.99E-05,3.74E-05
ENSG00000148513.20,-1.391584179,2.89E-22,2.67E-21
ENSG00000148677.7,-1.73894025,7.52E-05,0.000133295
ENSG00000148935.12,-2.458679357,5.77E-17,3.04E-16
ENSG00000148948.8,-1.219128695,1.01E-14,4.29E-14
ENSG00000149043.17,-1.291362492,3.76E-05,6.87E-05
ENSG00000149090.13,-1.237080714,9.38E-36,1.44E-33
ENSG00000149451.19,-1.288140347,1.15E-38,2.24E-35
ENSG00000149534.9,-1.578558205,7.73E-07,1.65E-06
ENSG00000149927.18,-1.484619256,2.65E-05,4.91E-05
ENSG00000150281.7,-3.157707339,2.47E-15,1.12E-14
ENSG00000150471.17,-1.222323414,4.34E-31,1.64E-29
ENSG00000150556.17,-1.596850981,3.53E-14,1.43E-13
ENSG00000150627.16,-1.11551855,2.36E-19,1.59E-18
ENSG00000150667.8,-2.018912467,8.12E-13,2.93E-12
ENSG00000150773.12,-1.715652677,3.41E-12,1.16E-11
ENSG00000151023.17,-3.446896964,1.24E-07,2.83E-07
ENSG00000151062.15,-3.345400219,5.87E-10,1.65E-09
ENSG00000151365.2,-1.719374218,2.05E-17,1.13E-16
ENSG00000151650.8,-1.263637078,7.25E-11,2.21E-10
ENSG00000151655.19,-3.714318878,4.13E-15,1.83E-14
ENSG00000151892.16,-1.191179621,1.87E-33,1.27E-31
ENSG00000152192.8,-1.038175305,1.19E-11,3.88E-11
ENSG00000152430.19,-1.312242466,3.44E-11,1.08E-10
ENSG00000152578.15,-3.204181542,5.64E-29,1.36E-27
ENSG00000152591.15,-1.385943662,6.18E-09,1.59E-08
ENSG00000152592.15,-1.648272749,2.43E-16,1.20E-15
ENSG00000152672.8,-1.278272814,2.50E-10,7.27E-10
ENSG00000152784.16,-1.029009796,9.75E-23,9.52E-22
ENSG00000152932.8,-2.542347358,2.10E-15,9.53E-15
ENSG00000152953.13,-1.012322969,6.32E-31,2.30E-29
ENSG00000153157.14,-1.031104835,0.004415241,0.006504629
ENSG00000153237.19,-1.068542939,1.04E-19,7.31E-19
ENSG00000153292.16,-1.78518352,0.006821911,0.009832001
ENSG00000153294.12,-1.146306949,9.67E-09,2.44E-08
ENSG00000153446.16,-2.526158622,8.93E-28,1.76E-26
ENSG00000153902.14,-1.176925761,1.32E-33,9.47E-32
ENSG00000154025.16,-1.542576468,1.43E-07,3.25E-07
ENSG00000154027.19,-1.001757623,2.76E-29,7.07E-28
ENSG00000154065.17,-1.410964131,7.24E-34,5.47E-32
ENSG00000154080.14,-1.319991459,1.80E-11,5.79E-11
ENSG00000154102.11,-1.354392033,1.41E-06,2.94E-06
ENSG00000154330.13,-1.134807689,4.32E-35,5.04E-33
ENSG00000154479.13,-1.698210874,4.78E-23,4.84E-22
ENSG00000154529.15,-1.273891949,2.86E-28,6.11E-27
ENSG00000155918.8,-1.368072933,9.03E-12,2.98E-11
ENSG00000155980.13,-2.115887538,8.38E-15,3.59E-14
ENSG00000156222.12,-1.16353707,0.035395596,0.046631087
ENSG00000156298.13,-1.588597552,2.06E-28,4.51E-27
ENSG00000156475.19,-1.011496142,1.59E-17,8.88E-17
ENSG00000156574.10,-2.974817497,3.16E-08,7.62E-08
ENSG00000156968.9,-1.525639962,1.46E-05,2.77E-05
ENSG00000157064.11,-1.382413374,6.25E-30,1.81E-28
ENSG00000157111.13,-1.076103777,8.44E-15,3.61E-14
ENSG00000157150.5,-5.662526732,4.80E-30,1.42E-28
ENSG00000157152.17,-3.23702277,1.18E-25,1.69E-24
ENSG00000157322.18,-1.830623977,0.006294135,0.009109018
ENSG00000157445.16,-1.886386122,1.44E-18,8.99E-18
ENSG00000157502.13,-2.403357792,1.24E-09,3.40E-09
ENSG00000157927.17,-1.360274627,9.59E-28,1.88E-26
ENSG00000158445.10,-1.437806752,1.68E-24,2.04E-23
ENSG00000158458.21,-1.260838451,1.19E-16,6.07E-16
ENSG00000158477.7,-1.280585205,5.72E-12,1.92E-11
ENSG00000158571.11,-1.533708874,8.59E-16,4.04E-15
ENSG00000158748.4,-1.887744795,7.10E-07,1.52E-06
ENSG00000158813.18,-1.333767567,1.15E-25,1.64E-24
ENSG00000159184.8,-1.301524096,8.54E-07,1.81E-06
ENSG00000159217.10,-1.870011924,9.94E-22,8.65E-21
ENSG00000159307.20,-2.313773943,1.71E-16,8.59E-16
ENSG00000159387.8,-1.889554228,5.28E-05,9.50E-05
ENSG00000159450.13,-1.267510997,1.44E-07,3.27E-07
ENSG00000159723.5,-1.228958513,3.93E-06,7.84E-06
ENSG00000159763.4,-1.169158372,1.03E-12,3.66E-12
ENSG00000159784.18,-2.485368771,7.95E-18,4.58E-17
ENSG00000160282.15,-1.049090909,0.030431835,0.040421585
ENSG00000160460.17,-2.052424397,2.03E-26,3.22E-25
ENSG00000160539.6,-1.20318304,1.98E-18,1.22E-17
ENSG00000160801.14,-1.877194411,6.13E-29,1.47E-27
ENSG00000161911.12,-1.24044109,0.01831715,0.025041467
ENSG00000162373.13,-1.594360167,6.71E-22,5.97E-21
ENSG00000162543.6,-1.056562359,2.05E-23,2.17E-22
ENSG00000162595.8,-3.208457999,2.01E-20,1.53E-19
ENSG00000162669.16,-1.988179763,5.15E-18,3.03E-17
ENSG00000162687.19,-1.029030609,4.26E-19,2.80E-18
ENSG00000162746.15,-4.300547575,3.02E-10,8.73E-10
ENSG00000162843.18,-1.797237746,3.24E-05,5.96E-05
ENSG00000162892.16,-1.596929282,1.62E-08,4.01E-08
ENSG00000162896.6,-1.113733379,1.73E-22,1.64E-21
ENSG00000163106.11,-1.415626567,7.63E-15,3.28E-14
ENSG00000163116.10,-7.352941141,4.29E-15,1.89E-14
ENSG00000163132.8,-1.221240713,2.29E-14,9.42E-14
ENSG00000163145.13,-1.327002742,3.27E-28,6.90E-27
ENSG00000163157.15,-1.477260792,0.002755074,0.004154214
ENSG00000163218.15,-1.018140752,3.80E-12,1.30E-11
ENSG00000163239.12,-2.808160475,6.25E-31,2.27E-29
ENSG00000163380.16,-1.450452142,0.001494845,0.002322379
ENSG00000163632.15,-1.058519807,7.78E-26,1.14E-24
ENSG00000163710.9,-1.211593187,1.51E-12,5.31E-12
ENSG00000163735.7,-1.425684313,0.004179136,0.006171021
ENSG00000163746.13,-3.892034206,8.34E-07,1.77E-06
