Genes,log2foldChange,pValues,FDR
ENSG00000165695.10,-1.030781723,0.005836103,0.008476541
ENSG00000165810.17,-1.043380846,1.73E-33,1.19E-31
ENSG00000165899.12,-1.592421975,8.75E-15,3.74E-14
ENSG00000165935.10,-1.373481542,3.56E-17,1.91E-16
ENSG00000166206.16,-1.980489675,0.000823762,0.001316396
ENSG00000166257.10,-3.851920232,2.74E-31,1.08E-29
ENSG00000166292.12,-3.88374548,1.45E-20,1.12E-19
ENSG00000166333.14,-1.380959223,2.29E-15,1.04E-14
ENSG00000166342.19,-2.812950754,1.07E-10,3.22E-10
ENSG00000166396.13,-1.541793514,3.47E-15,1.54E-14
ENSG00000166473.19,-6.22461921,2.90E-26,4.48E-25
ENSG00000166510.14,-2.576796428,7.13E-20,5.08E-19
ENSG00000166527.8,-1.312539858,2.94E-11,9.27E-11
ENSG00000166546.15,-1.010945778,1.47E-16,7.46E-16
ENSG00000166592.13,-2.903433945,5.11E-18,3.01E-17
ENSG00000166670.10,-1.81426351,8.65E-17,4.48E-16
ENSG00000166780.11,-1.465977888,1.57E-24,1.92E-23
ENSG00000166800.11,-1.456994176,4.13E-17,2.20E-16
ENSG00000166819.12,-1.472996892,8.39E-30,2.37E-28
ENSG00000167037.19,-1.214689732,5.61E-27,9.67E-26
ENSG00000167080.9,-1.325063641,0.03881476,0.050847286
ENSG00000167371.21,-1.086190683,4.31E-14,1.73E-13
ENSG00000167588.13,-1.727146061,3.62E-29,9.09E-28
ENSG00000167641.11,-2.48000533,1.29E-27,2.46E-26
ENSG00000167711.14,-2.844749834,1.24E-11,4.05E-11
ENSG00000167779.9,-1.006135737,2.43E-37,9.21E-35
ENSG00000167850.4,-1.390048376,1.65E-09,4.48E-09
ENSG00000167874.7,-6.935421726,2.44E-25,3.31E-24
ENSG00000167992.14,-2.244224257,1.24E-19,8.57E-19
ENSG00000168004.10,-3.303397648,1.25E-19,8.64E-19
ENSG00000168079.17,-2.170764798,1.19E-36,2.76E-34
ENSG00000168126.3,-1.935061833,3.94E-21,3.20E-20
ENSG00000168131.4,-2.211504491,1.02E-19,7.14E-19
ENSG00000168269.10,-1.338122207,1.36E-06,2.83E-06
ENSG00000168356.13,-2.396534061,1.83E-24,2.21E-23
ENSG00000168477.21,-1.087203967,7.49E-39,2.09E-35
ENSG00000168497.5,-1.239017861,7.18E-37,1.88E-34
ENSG00000168546.11,-7.737927558,3.64E-20,2.69E-19
ENSG00000168702.18,-1.248595555,2.92E-22,2.69E-21
ENSG00000168811.8,-1.194845182,0.000125483,0.00021781
ENSG00000168874.13,-2.265167939,1.67E-35,2.34E-33
ENSG00000168907.13,-2.096097218,0.008285659,0.011817226
ENSG00000168952.16,-2.763090834,1.03E-17,5.85E-17
ENSG00000168993.15,-1.271103642,1.72E-17,9.58E-17
ENSG00000169035.12,-1.15253495,1.35E-05,2.58E-05
ENSG00000169174.12,-1.273794878,0.009228736,0.013085598
ENSG00000169302.16,-2.224372956,1.29E-24,1.59E-23
ENSG00000169313.10,-1.234321551,1.33E-13,5.09E-13
ENSG00000169385.3,-1.60528372,7.16E-10,2.00E-09
ENSG00000169507.10,-3.16810794,2.13E-19,1.44E-18
ENSG00000169594.14,-5.856269086,6.08E-13,2.22E-12
ENSG00000169760.18,-7.578689964,3.50E-31,1.35E-29
ENSG00000169862.21,-1.296296178,3.49E-08,8.39E-08
ENSG00000169989.3,-2.059671168,0.020409663,0.027716838
ENSG00000169994.20,-1.044389768,1.10E-19,7.66E-19
ENSG00000170044.9,-1.299127007,2.70E-08,6.55E-08
ENSG00000170160.19,-1.288716781,2.81E-09,7.46E-09
ENSG00000170166.6,-1.303265843,2.22E-30,7.04E-29
ENSG00000170323.9,-1.395325925,3.26E-26,5.02E-25
ENSG00000170396.9,-2.190081847,8.09E-16,3.82E-15
ENSG00000170412.18,-1.059838388,1.48E-06,3.07E-06
ENSG00000170454.6,-1.234809566,1.86E-11,5.97E-11
ENSG00000170549.4,-1.365423801,2.67E-12,9.23E-12
ENSG00000170615.16,-1.930166125,9.79E-28,1.91E-26
ENSG00000170627.11,-1.551291916,6.26E-10,1.76E-09
ENSG00000170819.5,-1.27911028,2.27E-08,5.54E-08
ENSG00000170909.14,-2.048454491,3.47E-18,2.07E-17
ENSG00000170927.15,-1.294438472,2.36E-05,4.41E-05
ENSG00000170959.15,-3.45904483,6.25E-22,5.57E-21
ENSG00000171017.11,-9.092138227,1.17E-09,3.22E-09
ENSG00000171044.11,-4.190038385,0.000753091,0.001208879
ENSG00000171119.3,-1.413018813,0.026263796,0.035162464
ENSG00000171124.14,-1.256130269,3.21E-12,1.10E-11
ENSG00000171126.8,-2.964636347,3.22E-07,7.12E-07
ENSG00000171243.8,-1.433401475,3.67E-08,8.83E-08
ENSG00000171722.13,-1.777350677,3.52E-15,1.57E-14
ENSG00000171798.19,-1.947779897,8.96E-09,2.27E-08
ENSG00000171864.5,-3.09119889,0.017343166,0.023788393
ENSG00000172156.4,-1.888900443,6.35E-23,6.33E-22
ENSG00000172236.18,-1.156082901,2.68E-08,6.52E-08
ENSG00000172250.18,-2.22306045,1.55E-05,2.93E-05
ENSG00000172346.15,-1.528518189,4.13E-06,8.22E-06
ENSG00000172752.16,-2.385221961,6.55E-20,4.70E-19
ENSG00000172927.9,-1.713951006,7.92E-07,1.69E-06
ENSG00000172935.10,-1.724620307,1.36E-32,7.25E-31
ENSG00000172955.17,-1.335293485,2.29E-20,1.73E-19
ENSG00000172974.11,-1.20163421,1.52E-11,4.92E-11
ENSG00000173124.15,-1.383052618,1.05E-25,1.52E-24
ENSG00000173175.16,-1.147925944,6.35E-32,2.87E-30
ENSG00000173267.14,-1.151686152,9.96E-29,2.30E-27
ENSG00000173376.14,-2.652890607,1.94E-19,1.32E-18
ENSG00000173641.18,-2.269754228,4.88E-24,5.62E-23
ENSG00000173947.14,-4.443376284,4.53E-16,2.19E-15
ENSG00000174137.14,-1.124976053,0.00720872,0.010358335
ENSG00000174255.8,-1.540300995,1.62E-11,5.22E-11
ENSG00000174417.3,-2.609349876,4.31E-06,8.58E-06
ENSG00000174469.23,-3.939516715,0.000636864,0.00102953
ENSG00000174502.19,-1.468054152,7.37E-10,2.06E-09
ENSG00000174527.11,-1.385454753,4.82E-20,3.51E-19
ENSG00000174611.12,-2.812047432,1.34E-26,2.17E-25
ENSG00000174740.8,-2.360832114,1.61E-26,2.57E-25
ENSG00000174776.12,-1.568626221,1.24E-08,3.10E-08
ENSG00000174899.13,-4.471136348,1.23E-11,4.00E-11
ENSG00000174912.7,-2.237897108,3.01E-15,1.35E-14
ENSG00000174963.18,-2.818679585,3.33E-07,7.36E-07
ENSG00000175170.16,-2.007746161,7.07E-17,3.69E-16
ENSG00000175262.15,-1.040085721,5.96E-05,0.000106813
ENSG00000175287.19,-1.105255867,1.42E-24,1.74E-23
ENSG00000175518.8,-3.740957592,6.99E-12,2.33E-11
ENSG00000175544.14,-1.508618417,1.24E-18,7.80E-18
ENSG00000175920.18,-1.127419291,1.73E-06,3.57E-06
ENSG00000175946.9,-3.515521328,1.55E-09,4.22E-09
ENSG00000176401.6,-1.439483335,8.24E-08,1.92E-07
ENSG00000176402.6,-2.155411589,5.03E-12,1.69E-11
ENSG00000176532.4,-1.809482001,9.13E-06,1.76E-05
ENSG00000176697.20,-1.710231845,1.43E-17,8.04E-17
ENSG00000176723.10,-1.589681093,1.79E-11,5.76E-11
ENSG00000177025.3,-2.030506425,2.24E-14,9.23E-14
ENSG00000177098.9,-1.405659168,1.88E-37,7.67E-35
ENSG00000177112.9,-2.886039252,1.15E-17,6.51E-17
ENSG00000177234.7,-1.890135015,3.87E-25,5.11E-24
ENSG00000177398.19,-4.081965436,4.79E-18,2.83E-17
ENSG00000177452.7,-1.758836114,1.05E-08,2.64E-08
ENSG00000177679.16,-4.769697286,3.39E-18,2.03E-17
ENSG00000177699.4,-1.657353155,2.45E-18,1.49E-17
ENSG00000177855.8,-1.444484626,2.92E-17,1.59E-16
ENSG00000177993.3,-1.501128166,5.09E-08,1.21E-07
ENSG00000178035.13,-1.734253903,1.86E-06,3.82E-06
ENSG00000178222.14,-1.7977216,1.21E-12,4.30E-12
ENSG00000178568.16,-1.351481968,1.06E-27,2.06E-26
ENSG00000178762.5,-1.10586031,6.04E-14,2.39E-13
ENSG00000178821.13,-1.128276484,1.35E-05,2.58E-05
ENSG00000178947.9,-1.324151479,4.05E-24,4.70E-23
ENSG00000179057.14,-1.700020165,2.60E-06,5.27E-06
ENSG00000179066.8,-2.232020166,7.45E-12,2.48E-11
ENSG00000179071.5,-1.182238796,3.14E-17,1.70E-16
ENSG00000179082.4,-1.098781091,5.03E-06,9.94E-06
ENSG00000179097.7,-2.082401335,7.78E-26,1.14E-24
ENSG00000179314.16,-3.055422888,1.56E-28,3.50E-27
ENSG00000179603.19,-2.75534009,1.01E-18,6.41E-18
ENSG00000179915.25,-5.097971083,8.98E-29,2.09E-27
ENSG00000179921.15,-6.671612188,1.81E-12,6.36E-12
ENSG00000180071.21,-1.196987955,1.14E-09,3.12E-09
ENSG00000180219.2,-1.677780256,0.0001352,0.000233987
ENSG00000180347.15,-1.84164253,5.80E-10,1.64E-09
ENSG00000180432.6,-1.703822124,0.000505423,0.000825619
ENSG00000180549.8,-1.664493532,1.11E-19,7.73E-19
ENSG00000180596.9,-2.071099745,1.80E-16,9.04E-16
ENSG00000180660.9,-2.764013297,1.94E-33,1.31E-31
ENSG00000180712.5,-2.025456983,0.049083367,0.063389446
ENSG00000180769.10,-1.10852385,4.81E-33,2.91E-31
ENSG00000180828.3,-1.201901097,1.72E-07,3.88E-07
ENSG00000180914.11,-1.113227202,1.82E-29,4.79E-28
ENSG00000181031.16,-1.329482378,3.26E-17,1.76E-16
ENSG00000181215.16,-5.460718046,2.26E-16,1.13E-15
ENSG00000181355.21,-1.564765513,1.95E-05,3.67E-05
ENSG00000181790.13,-1.23058285,2.27E-09,6.08E-09
ENSG00000182132.15,-1.63045898,0.00056761,0.000922194
ENSG00000182183.15,-2.657209486,2.50E-13,9.39E-13
ENSG00000182575.8,-1.198588656,2.13E-27,3.93E-26
ENSG00000182732.18,-1.559500095,4.70E-24,5.42E-23
ENSG00000182771.19,-1.032277724,8.18E-35,8.53E-33
ENSG00000182782.8,-1.196947225,8.15E-12,2.70E-11
ENSG00000182902.14,-1.300379797,3.22E-13,1.20E-12
ENSG00000183117.20,-2.291294462,1.97E-18,1.21E-17
ENSG00000183145.9,-1.069325643,8.58E-09,2.18E-08
ENSG00000183242.13,-1.779364802,2.48E-20,1.86E-19
ENSG00000183281.15,-1.052359473,2.34E-07,5.24E-07
ENSG00000183287.15,-1.911214317,1.60E-23,1.71E-22
ENSG00000183324.11,-2.561773019,2.97E-17,1.61E-16
ENSG00000183378.13,-2.666824912,6.44E-25,8.23E-24
ENSG00000183454.18,-1.596538205,4.00E-17,2.14E-16
ENSG00000183549.10,-1.810249392,1.75E-17,9.71E-17
ENSG00000183798.5,-1.744296262,2.06E-13,7.80E-13
ENSG00000183960.9,-1.053417258,5.93E-07,1.28E-06
ENSG00000184113.10,-1.00838791,5.81E-33,3.41E-31
ENSG00000184564.11,-1.265062219,7.37E-08,1.72E-07
ENSG00000184937.16,-7.365817955,9.69E-27,1.61E-25
ENSG00000185008.19,-5.772555264,1.26E-08,3.15E-08
ENSG00000185031.6,-1.302779497,1.04E-32,5.68E-31
ENSG00000185269.12,-1.1072986,1.69E-11,5.45E-11
ENSG00000185274.13,-1.613575799,2.78E-11,8.78E-11
ENSG00000185332.8,-1.246026307,4.10E-05,7.47E-05
ENSG00000185527.12,-2.097573724,1.42E-18,8.85E-18
ENSG00000185666.16,-2.988595674,1.05E-12,3.73E-12
ENSG00000185674.10,-1.197628178,1.50E-06,3.11E-06
ENSG00000185818.8,-1.008496618,1.33E-11,4.33E-11
ENSG00000185942.13,-3.563575327,1.47E-18,9.13E-18
ENSG00000186007.10,-3.114622633,5.79E-07,1.25E-06
ENSG00000186301.8,-1.11550425,3.43E-06,6.87E-06
ENSG00000186326.4,-1.530656752,2.05E-10,6.02E-10
ENSG00000186399.11,-2.441897866,9.71E-18,5.55E-17
ENSG00000186417.15,-1.335782421,7.41E-17,3.86E-16
ENSG00000186462.9,-2.983016294,9.21E-28,1.81E-26
ENSG00000186628.12,-1.229914359,4.87E-22,4.39E-21
ENSG00000186642.16,-1.02748866,4.38E-37,1.36E-34
ENSG00000186704.9,-1.831396528,0.006189642,0.008963291
ENSG00000186714.13,-1.575754691,2.90E-13,1.09E-12
ENSG00000186743.2,-2.927743479,4.29E-07,9.36E-07
ENSG00000186868.18,-2.401808755,9.27E-17,4.79E-16
ENSG00000186940.6,-1.148222334,5.76E-13,2.11E-12
ENSG00000186952.15,-2.75559954,1.54E-26,2.47E-25
ENSG00000187116.14,-2.472002045,3.06E-15,1.37E-14
ENSG00000187123.15,-1.704429439,1.00E-20,7.84E-20
ENSG00000187187.14,-1.621679314,1.86E-14,7.72E-14
ENSG00000187475.6,-1.672630236,8.81E-19,5.60E-18
ENSG00000187689.10,-1.507769103,5.00E-12,1.68E-11
ENSG00000187730.9,-3.108162067,4.72E-18,2.78E-17
ENSG00000187912.12,-1.930611946,7.46E-05,0.000132289
ENSG00000187942.12,-2.492151405,9.59E-22,8.36E-21
ENSG00000188050.3,-1.142729668,1.10E-09,3.03E-09
ENSG00000188305.6,-1.343620815,6.10E-12,2.04E-11
ENSG00000188368.11,-1.501475764,1.14E-14,4.83E-14
ENSG00000188385.13,-1.346653516,1.94E-15,8.83E-15
ENSG00000188389.11,-1.429870488,5.38E-15,2.35E-14
ENSG00000188452.15,-2.721126918,6.29E-13,2.29E-12
ENSG00000188488.14,-1.840628887,2.95E-19,1.97E-18
ENSG00000188517.17,-1.650177406,2.76E-29,7.07E-28
ENSG00000188659.10,-1.159903233,6.75E-14,2.66E-13
ENSG00000188676.15,-1.318318199,1.64E-15,7.54E-15
ENSG00000188710.3,-3.804599343,2.85E-29,7.28E-28
ENSG00000188763.5,-2.328252695,4.71E-05,8.53E-05
ENSG00000188771.5,-1.331350289,1.19E-16,6.07E-16
ENSG00000188803.15,-4.622653801,1.07E-30,3.65E-29
ENSG00000188848.17,-1.441129071,5.31E-08,1.26E-07
ENSG00000188993.4,-1.377438176,7.10E-07,1.52E-06
ENSG00000189001.11,-3.422642709,8.58E-17,4.45E-16
ENSG00000189045.15,-1.209763062,1.77E-21,1.50E-20
ENSG00000189056.15,-1.106414297,1.89E-32,9.72E-31
ENSG00000189129.14,-1.009416863,1.61E-31,6.58E-30
ENSG00000189157.14,-1.370760059,3.43E-30,1.04E-28
ENSG00000189238.6,-1.023668053,2.23E-05,4.17E-05
ENSG00000189269.13,-3.539032586,4.91E-09,1.27E-08
ENSG00000196090.14,-1.162340054,2.18E-20,1.65E-19
ENSG00000196167.10,-1.015019299,9.19E-20,6.48E-19
ENSG00000196169.15,-1.474682692,0.025771571,0.034532104
ENSG00000196335.13,-1.502052054,0.000123159,0.000213896
ENSG00000196366.3,-3.591701297,1.98E-10,5.81E-10
ENSG00000196421.9,-2.664164599,0.000692715,0.001115934
ENSG00000196553.15,-1.713280149,1.17E-10,3.50E-10
ENSG00000196581.11,-1.206825413,4.55E-11,1.41E-10
ENSG00000196616.15,-1.639567628,1.70E-30,5.55E-29
ENSG00000196668.4,-3.480758508,2.28E-18,1.39E-17
ENSG00000196972.9,-1.257033846,9.51E-14,3.70E-13
ENSG00000197181.12,-2.12557644,1.94E-27,3.61E-26
ENSG00000197245.6,-2.000578917,1.82E-30,5.89E-29
ENSG00000197253.13,-1.172039327,2.22E-06,4.52E-06
ENSG00000197291.9,-2.801608852,8.99E-32,3.90E-30
ENSG00000197565.17,-1.634181956,7.96E-30,2.26E-28
ENSG00000197766.9,-1.01532933,1.66E-32,8.61E-31
ENSG00000197977.4,-1.223920656,6.96E-17,3.64E-16
ENSG00000198099.10,-2.155455883,1.04E-27,2.02E-26
ENSG00000198153.8,-1.328425337,1.08E-08,2.72E-08
ENSG00000198178.11,-1.671135607,3.46E-14,1.40E-13
ENSG00000198237.8,-3.015422758,3.27E-05,6.01E-05
ENSG00000198400.14,-4.418795938,8.98E-06,1.73E-05
ENSG00000198406.7,-1.77329185,5.73E-08,1.35E-07
ENSG00000198673.11,-1.025686333,3.59E-10,1.03E-09
ENSG00000198835.4,-2.23315301,8.33E-16,3.93E-15
ENSG00000198848.13,-1.332244923,1.29E-24,1.59E-23
ENSG00000198963.11,-2.248446974,2.32E-17,1.28E-16
ENSG00000199377.1,-2.526756978,5.91E-17,3.11E-16
ENSG00000199574.1,-1.170986106,9.64E-07,2.04E-06
ENSG00000199785.1,-2.740602493,1.19E-07,2.74E-07
ENSG00000199872.1,-2.486459861,0.000619896,0.00100321
ENSG00000199879.1,-2.317895328,2.23E-14,9.17E-14
ENSG00000200075.1,-6.442155923,5.13E-22,4.61E-21
ENSG00000200091.1,-1.053533939,7.90E-11,2.40E-10
ENSG00000200355.1,-1.775992239,5.63E-25,7.25E-24
ENSG00000200418.1,-3.757586731,1.09E-09,3.00E-09
ENSG00000200656.1,-1.121243045,3.74E-13,1.39E-12
ENSG00000200665.1,-1.966520712,1.20E-13,4.61E-13
ENSG00000200742.1,-1.394165251,4.45E-06,8.83E-06
ENSG00000200792.1,-1.012326697,2.96E-09,7.83E-09
ENSG00000200879.1,-4.919874267,8.53E-06,1.65E-05
ENSG00000200913.1,-1.446123701,4.89E-11,1.51E-10
ENSG00000200953.1,-1.327561728,2.67E-10,7.75E-10
ENSG00000201176.1,-1.890164408,1.46E-14,6.11E-14
ENSG00000201435.1,-2.095996629,0.000626209,0.001012999
ENSG00000201882.1,-2.58971872,1.89E-08,4.66E-08
ENSG00000202071.1,-3.086310647,1.14E-11,3.72E-11
ENSG00000202093.1,-1.033287613,1.66E-06,3.42E-06
ENSG00000202260.1,-7.206798987,3.21E-19,2.14E-18
ENSG00000202290.1,-1.222310147,8.91E-13,3.20E-12
ENSG00000202347.1,-1.396197299,0.004351964,0.006416955
ENSG00000203392.3,-1.150691854,1.37E-13,5.27E-13
ENSG00000203397.2,-3.415789651,5.51E-19,3.57E-18
ENSG00000203414.2,-4.055142462,0.015142653,0.020924504
ENSG00000203506.5,-1.906384698,2.51E-34,2.25E-32
ENSG00000203585.4,-2.408906282,6.53E-23,6.50E-22
ENSG00000203635.2,-2.517663775,3.94E-05,7.20E-05
ENSG00000203685.11,-1.325589782,2.24E-28,4.87E-27
ENSG00000203688.6,-4.186508357,0.001320424,0.002063734
ENSG00000203697.12,-1.513056425,8.39E-22,7.35E-21
ENSG00000203711.16,-1.085241555,4.18E-09,1.09E-08
ENSG00000203724.11,-2.400862185,2.62E-14,1.07E-13
ENSG00000203801.8,-3.15298853,1.12E-18,7.04E-18
ENSG00000203852.4,-1.640649671,9.64E-26,1.39E-24
ENSG00000203943.9,-4.021772583,0.019196519,0.026167841
ENSG00000204019.5,-3.0449898,3.69E-08,8.87E-08
ENSG00000204176.14,-1.149765018,2.00E-11,6.38E-11
ENSG00000204186.10,-1.117117473,6.29E-13,2.29E-12
ENSG00000204267.19,-2.377029224,4.91E-08,1.17E-07
ENSG00000204315.4,-1.038775958,4.58E-13,1.69E-12
ENSG00000204334.8,-1.17907703,0.009378172,0.013287657
ENSG00000204385.13,-1.450539602,3.62E-07,7.95E-07
ENSG00000204815.10,-1.989763074,3.87E-25,5.11E-24
ENSG00000204851.7,-2.404890937,1.37E-21,1.17E-20
ENSG00000204866.9,-1.502408431,3.02E-11,9.49E-11
ENSG00000205038.12,-1.097525236,1.27E-25,1.79E-24
ENSG00000205129.9,-1.12556724,1.20E-09,3.27E-09
ENSG00000205221.13,-1.601167192,8.25E-26,1.21E-24
ENSG00000205325.4,-1.092349543,1.26E-10,3.77E-10
ENSG00000205364.4,-3.147733427,1.58E-20,1.22E-19
ENSG00000205424.2,-1.026419178,0.000753091,0.001208879
ENSG00000205488.9,-1.291316795,7.04E-05,0.000125207
ENSG00000205560.13,-1.372158472,0.001684987,0.002603408
ENSG00000205704.8,-1.105293,1.30E-21,1.11E-20
ENSG00000205837.7,-1.293171168,3.09E-09,8.17E-09
ENSG00000205838.15,-1.673008268,3.02E-11,9.49E-11
ENSG00000205846.4,-1.504306286,2.65E-21,2.20E-20
ENSG00000205959.4,-2.35442428,5.70E-26,8.52E-25
ENSG00000206077.14,-1.356262306,1.83E-18,1.13E-17
ENSG00000206147.5,-2.45118327,5.24E-07,1.14E-06
ENSG00000206228.4,-1.121368035,0.001270659,0.001989808
ENSG00000206605.1,-1.405620171,3.58E-05,6.56E-05
ENSG00000206647.1,-1.983070048,4.56E-25,5.96E-24
ENSG00000206650.1,-1.028091574,6.01E-05,0.000107616
ENSG00000206688.1,-5.453673575,4.69E-08,1.12E-07
ENSG00000206846.1,-1.076263605,5.12E-21,4.12E-20
ENSG00000207088.1,-4.008157309,0.001457424,0.002266767
ENSG00000207118.1,-1.423456758,0.000760655,0.00122
ENSG00000207199.1,-1.147311455,2.97E-05,5.47E-05
ENSG00000207286.1,-4.316401372,0.00049854,0.000814896
ENSG00000207475.1,-1.128065227,1.96E-09,5.27E-09
ENSG00000207523.1,-2.680702848,2.65E-05,4.91E-05
ENSG00000207561.1,-1.547855383,0.007268409,0.010438235
ENSG00000207606.1,-1.055178873,1.73E-08,4.27E-08
ENSG00000207612.1,-1.107926142,0.003032448,0.004551417
ENSG00000207741.1,-1.28195234,6.23E-08,1.46E-07
ENSG00000210135.1,-1.796029821,0.043360493,0.056373603
ENSG00000211678.2,-1.150974936,0.000268316,0.000451056
ENSG00000211698.2,-2.48003578,5.89E-06,1.16E-05
ENSG00000211701.2,-1.735310083,7.85E-05,0.000138775
ENSG00000211753.4,-1.000278802,5.10E-13,1.87E-12
ENSG00000211776.2,-1.009791018,5.60E-19,3.63E-18
ENSG00000211778.2,-1.202367359,5.26E-15,2.30E-14
ENSG00000211787.1,-1.190217212,9.56E-12,3.15E-11
ENSG00000211788.2,-1.276650662,2.90E-13,1.09E-12
ENSG00000211793.2,-1.257840864,1.29E-18,8.05E-18
ENSG00000211794.3,-1.166724579,6.26E-16,2.99E-15
ENSG00000211797.2,-1.067874298,6.38E-11,1.95E-10
ENSG00000211799.3,-1.298981544,1.29E-12,4.58E-12
ENSG00000211849.1,-1.087598239,1.20E-10,3.60E-10
ENSG00000211851.1,-1.042239213,1.80E-11,5.79E-11
ENSG00000211863.1,-1.379397165,4.30E-11,1.34E-10
ENSG00000211865.1,-1.020503231,3.69E-08,8.87E-08
ENSG00000211866.1,-1.899485592,6.32E-09,1.62E-08
ENSG00000211867.1,-1.331673182,1.68E-11,5.42E-11
ENSG00000211868.1,-1.164759905,4.22E-11,1.31E-10
ENSG00000211869.1,-1.027105124,1.07E-12,3.83E-12
ENSG00000211870.1,-2.563818393,2.72E-16,1.34E-15
ENSG00000211871.1,-1.198458761,4.14E-12,1.41E-11
ENSG00000211875.1,-1.430136104,2.75E-12,9.47E-12
ENSG00000211876.1,-1.490713371,3.74E-14,1.51E-13
ENSG00000211877.1,-1.967616782,4.90E-12,1.65E-11
ENSG00000211878.1,-1.10829936,4.04E-11,1.26E-10
ENSG00000211879.1,-1.502216061,2.04E-12,7.12E-12
ENSG00000211882.1,-1.185108622,1.85E-11,5.94E-11
ENSG00000211883.1,-1.231355345,4.17E-12,1.42E-11
ENSG00000211951.2,-2.392459196,0.005706283,0.00829781
ENSG00000211973.2,-2.051404714,3.92E-10,1.12E-09
ENSG00000212607.1,-1.864094637,7.91E-05,0.000139795
ENSG00000213088.13,-1.331139753,2.13E-27,3.93E-26
ENSG00000213123.11,-2.45599109,1.34E-06,2.79E-06
ENSG00000213130.3,-2.797411287,1.31E-14,5.51E-14
ENSG00000213150.2,-1.507044692,3.10E-07,6.86E-07
ENSG00000213170.3,-1.192454616,0.009303186,0.013185067
ENSG00000213172.3,-1.046181734,5.68E-11,1.75E-10
ENSG00000213176.4,-1.056389608,7.94E-12,2.63E-11
ENSG00000213188.3,-4.704116019,0.00015393,0.000264997
ENSG00000213236.3,-2.280926867,3.66E-16,1.79E-15
ENSG00000213361.2,-1.778092359,7.58E-10,2.11E-09
ENSG00000213411.2,-1.97570441,2.73E-11,8.63E-11
ENSG00000213514.2,-3.727392818,9.50E-10,2.63E-09
ENSG00000213659.4,-1.285390025,2.62E-17,1.43E-16
ENSG00000213740.2,-1.646408684,5.81E-16,2.78E-15
ENSG00000213970.4,-4.403909868,0.000706781,0.001137577
ENSG00000214222.2,-1.559378948,1.12E-17,6.37E-17
ENSG00000214290.9,-3.165830318,1.29E-13,4.96E-13
ENSG00000214671.4,-3.096352418,5.56E-06,1.09E-05
ENSG00000214760.3,-1.288328777,1.05E-10,3.15E-10
ENSG00000214770.3,-1.542633074,0.00013825,0.000238956
ENSG00000214796.10,-1.216979036,3.87E-14,1.56E-13
ENSG00000214870.11,-1.286110205,8.45E-17,4.38E-16
ENSG00000214919.3,-2.55832619,2.90E-17,1.57E-16
ENSG00000215187.13,-6.067064657,5.77E-17,3.04E-16
ENSG00000215208.3,-3.896295456,3.34E-27,5.96E-26
ENSG00000215277.9,-3.864271054,7.91E-05,0.000139795
ENSG00000215367.11,-3.047658302,1.02E-12,3.64E-12
ENSG00000215515.2,-1.463768625,1.37E-19,9.45E-19
ENSG00000215548.2,-2.020537231,0.000716304,0.001152301
ENSG00000215835.2,-2.731865269,6.99E-12,2.33E-11
ENSG00000216331.2,-3.626023698,3.65E-24,4.25E-23
ENSG00000217041.1,-2.14124392,1.54E-05,2.92E-05
ENSG00000217159.2,-1.121239238,2.96E-14,1.20E-13
ENSG00000217241.1,-2.157516619,3.56E-14,1.44E-13
ENSG00000217275.2,-1.84549749,9.57E-17,4.94E-16
ENSG00000217330.1,-1.302577702,3.61E-05,6.62E-05
ENSG00000217648.1,-2.523975302,0.001627776,0.002519582
ENSG00000217783.2,-2.43938122,6.86E-05,0.000122037
ENSG00000218281.1,-1.460184908,5.30E-17,2.80E-16
ENSG00000219547.1,-1.172226149,1.78E-09,4.80E-09
ENSG00000219565.2,-1.910254727,4.29E-16,2.08E-15
ENSG00000219902.1,-4.011345957,0.000116865,0.000203311
ENSG00000219951.4,-2.428441687,1.39E-09,3.78E-09
ENSG00000220739.2,-2.084775934,9.67E-09,2.44E-08
ENSG00000220884.2,-4.73700383,5.94E-24,6.76E-23
ENSG00000220920.1,-1.166280449,1.59E-12,5.59E-12
ENSG00000220988.1,-1.512865898,7.01E-20,5.00E-19
ENSG00000221116.1,-3.503409284,1.90E-11,6.08E-11
ENSG00000221381.1,-1.260941322,4.52E-11,1.40E-10
ENSG00000221406.1,-1.008147033,1.96E-06,4.02E-06
ENSG00000221539.1,-9.763378626,1.49E-18,9.27E-18
ENSG00000221676.1,-1.043723212,9.60E-08,2.22E-07
ENSG00000221771.1,-1.643419388,2.77E-06,5.59E-06
ENSG00000221818.9,-1.023942679,2.54E-31,1.01E-29
ENSG00000221947.8,-1.859448543,0.004910021,0.00719725
ENSG00000222005.9,-1.863301386,7.66E-19,4.90E-18
ENSG00000222022.1,-1.738240421,1.25E-20,9.75E-20
ENSG00000222032.2,-5.617716709,8.69E-27,1.45E-25
ENSG00000222431.1,-2.143340522,1.31E-18,8.18E-18
ENSG00000223387.6,-6.300700799,1.83E-10,5.39E-10
ENSG00000223403.7,-1.602307731,6.98E-27,1.19E-25
ENSG00000223485.5,-1.897563667,6.86E-11,2.10E-10
ENSG00000223492.1,-2.003959725,6.42E-32,2.90E-30
ENSG00000223551.1,-1.221793538,8.12E-08,1.89E-07
ENSG00000223584.1,-1.104471792,2.62E-16,1.29E-15
ENSG00000223815.2,-1.756560546,7.95E-27,1.33E-25
ENSG00000223864.1,-1.963281001,0.023484598,0.031636336
