Genes,log2foldChange,pValues,FDR
ENSG00000173572.12,1.261715174,2.33E-16,1.16E-15
ENSG00000173578.9,1.298804828,7.10E-05,0.000126118
ENSG00000173597.9,2.622431246,0.004924064,0.00721542
ENSG00000173638.19,1.699567786,1.95E-20,1.48E-19
ENSG00000173662.21,1.030421044,8.26E-09,2.10E-08
ENSG00000173762.8,2.3554473,1.96E-16,9.80E-16
ENSG00000173894.11,1.02907703,2.21E-31,8.87E-30
ENSG00000173966.7,1.695353345,7.50E-12,2.49E-11
ENSG00000173988.14,4.391509038,4.90E-07,1.07E-06
ENSG00000174028.6,4.489292946,2.23E-17,1.23E-16
ENSG00000174145.8,3.749080552,3.94E-10,1.13E-09
ENSG00000174226.9,1.193052672,5.85E-07,1.26E-06
ENSG00000174371.17,2.068718098,1.72E-38,2.37E-35
ENSG00000174473.17,1.977290999,1.23E-09,3.36E-09
ENSG00000174498.14,1.907967787,2.03E-19,1.37E-18
ENSG00000174567.8,2.07178997,1.36E-06,2.83E-06
ENSG00000174871.11,1.960409818,2.46E-09,6.55E-09
ENSG00000174946.7,1.281899528,2.32E-17,1.28E-16
ENSG00000175063.17,2.459519391,3.23E-38,2.92E-35
ENSG00000175164.16,1.387882253,5.54E-10,1.57E-09
ENSG00000175206.11,3.317617705,7.21E-09,1.84E-08
ENSG00000175643.10,1.253764144,1.92E-31,7.77E-30
ENSG00000175697.11,1.582380223,3.85E-08,9.23E-08
ENSG00000175730.8,3.714595092,1.82E-10,5.36E-10
ENSG00000175779.5,1.30529786,6.12E-10,1.72E-09
ENSG00000175967.4,1.596861564,6.68E-13,2.43E-12
ENSG00000176049.16,2.434139732,1.15E-10,3.46E-10
ENSG00000176204.14,1.314957192,8.17E-13,2.94E-12
ENSG00000176244.7,1.844397411,1.55E-06,3.21E-06
ENSG00000176289.4,1.070183782,0.000114262,0.000199019
ENSG00000176887.7,1.764223214,9.93E-24,1.09E-22
ENSG00000177182.11,2.127614066,2.81E-08,6.82E-08
ENSG00000177201.3,1.452096405,3.47E-18,2.07E-17
ENSG00000177212.4,1.222410679,1.78E-15,8.17E-15
ENSG00000177453.7,1.860426767,0.000127849,0.00022174
ENSG00000177535.10,3.640219315,2.78E-08,6.75E-08
ENSG00000177602.5,1.894381938,9.27E-35,9.51E-33
ENSG00000177614.11,1.546408859,4.22E-14,1.69E-13
ENSG00000177791.12,1.916616661,4.04E-06,8.05E-06
ENSG00000177807.10,2.380211811,2.26E-21,1.89E-20
ENSG00000177875.5,1.311526143,8.92E-10,2.47E-09
ENSG00000177938.5,2.62879374,1.82E-24,2.19E-23
ENSG00000177994.16,1.751629773,1.30E-20,1.01E-19
ENSG00000178055.13,2.887176354,4.13E-10,1.18E-09
ENSG00000178115.12,3.012863044,1.49E-15,6.88E-15
ENSG00000178403.4,1.035033368,1.32E-13,5.06E-13
ENSG00000178457.3,2.037952748,2.42E-19,1.63E-18
ENSG00000178458.5,3.727755112,1.30E-17,7.34E-17
ENSG00000178636.8,2.106790054,2.94E-09,7.79E-09
ENSG00000178722.15,3.262265548,6.40E-24,7.25E-23
ENSG00000178734.5,1.534369637,2.21E-24,2.65E-23
ENSG00000178773.15,1.047035097,1.70E-10,5.03E-10
ENSG00000178776.5,4.905923015,1.29E-20,9.99E-20
ENSG00000178809.12,1.348973847,4.78E-11,1.48E-10
ENSG00000178828.7,1.003872654,3.13E-19,2.09E-18
ENSG00000178999.13,3.025070388,3.63E-36,6.55E-34
ENSG00000179242.16,1.349192466,5.40E-12,1.82E-11
ENSG00000179270.7,1.422006749,0.000311509,0.000520472
ENSG00000179300.4,2.329307554,3.40E-19,2.26E-18
ENSG00000179331.3,2.216369778,6.33E-20,4.55E-19
ENSG00000179528.16,1.882772856,4.37E-07,9.54E-07
ENSG00000179564.4,3.240785353,1.62E-12,5.70E-12
ENSG00000179709.8,1.356132721,5.24E-19,3.41E-18
ENSG00000179796.13,2.221091164,8.02E-29,1.89E-27
ENSG00000179826.8,1.466877531,2.86E-13,1.07E-12
ENSG00000180061.10,1.441955539,1.56E-07,3.55E-07
ENSG00000180440.4,1.30422867,2.58E-19,1.73E-18
ENSG00000180574.4,2.075441651,4.56E-07,9.94E-07
ENSG00000180581.7,3.452720001,2.94E-16,1.44E-15
ENSG00000181085.15,1.098220645,0.001749505,0.002698334
ENSG00000181374.8,5.14675112,0.005658276,0.008234246
ENSG00000181585.7,1.252951063,8.21E-09,2.09E-08
ENSG00000181609.5,2.060605308,2.48E-14,1.01E-13
ENSG00000181778.5,2.670753434,2.69E-30,8.38E-29
ENSG00000181997.8,1.831190774,1.51E-18,9.41E-18
ENSG00000182050.14,1.469124216,8.21E-16,3.88E-15
ENSG00000182103.5,2.325355798,1.19E-08,2.99E-08
ENSG00000182264.9,1.54680222,7.60E-06,1.48E-05
ENSG00000182508.14,1.591206236,0.002796827,0.004214892
ENSG00000182533.7,1.411743996,2.91E-20,2.18E-19
ENSG00000182674.6,3.186335265,3.62E-08,8.69E-08
ENSG00000182912.6,1.164434205,0.000235828,0.000398495
ENSG00000182950.3,2.373576676,6.22E-20,4.48E-19
ENSG00000183032.12,2.714865642,8.41E-05,0.00014819
ENSG00000183090.5,1.451152258,0.000195362,0.000332664
ENSG00000183114.8,1.171039085,9.73E-06,1.88E-05
ENSG00000183154.1,1.033572768,1.64E-09,4.43E-09
ENSG00000183186.8,1.641702806,5.92E-13,2.16E-12
ENSG00000183479.13,2.594287168,8.15E-11,2.48E-10
ENSG00000183598.4,1.158003625,1.40E-33,9.92E-32
ENSG00000183715.15,1.454043312,5.43E-12,1.83E-11
ENSG00000183773.16,1.276548109,2.59E-05,4.80E-05
ENSG00000183813.7,2.279018822,5.42E-25,7.00E-24
ENSG00000183837.10,3.148117286,7.33E-09,1.87E-08
ENSG00000183856.11,1.160610242,3.86E-34,3.22E-32
ENSG00000183876.9,1.348689497,6.83E-18,3.97E-17
ENSG00000183918.18,1.134929187,9.48E-15,4.04E-14
ENSG00000184210.6,1.339885507,3.31E-17,1.79E-16
ENSG00000184368.16,5.002615901,2.31E-05,4.31E-05
ENSG00000184515.11,1.496381326,0.019965439,0.027153245
ENSG00000184601.11,2.93722403,1.77E-23,1.88E-22
ENSG00000184617.10,1.951899389,2.52E-17,1.38E-16
ENSG00000184661.14,1.710493476,2.90E-37,1.01E-34
ENSG00000184709.7,2.975097239,0.001903057,0.002922525
ENSG00000184905.9,1.209029794,5.07E-19,3.30E-18
ENSG00000184995.7,1.375305215,1.13E-08,2.83E-08
ENSG00000185002.10,1.472988405,8.74E-20,6.18E-19
ENSG00000185053.14,2.123034135,5.17E-25,6.70E-24
ENSG00000185130.6,1.263416663,2.45E-36,4.87E-34
ENSG00000185561.10,1.651817476,2.99E-05,5.52E-05
ENSG00000185652.12,2.357298924,5.54E-18,3.25E-17
ENSG00000185689.17,6.554868796,4.87E-12,1.64E-11
ENSG00000185736.16,1.439193362,0.030151245,0.040076656
ENSG00000185758.9,1.611096156,2.38E-19,1.60E-18
ENSG00000185760.18,1.48071105,4.38E-15,1.93E-14
ENSG00000185985.11,1.365000074,9.78E-07,2.07E-06
ENSG00000185988.15,2.327163783,2.28E-12,7.93E-12
ENSG00000186074.19,2.174779357,3.77E-29,9.44E-28
ENSG00000186185.14,2.403914949,3.49E-34,2.94E-32
ENSG00000186193.9,1.026082024,3.30E-27,5.91E-26
ENSG00000186407.7,1.155986905,6.07E-11,1.86E-10
ENSG00000186453.13,2.050352545,1.80E-16,9.04E-16
ENSG00000186458.5,2.505755458,3.28E-22,3.01E-21
ENSG00000186510.12,1.872160016,5.50E-08,1.30E-07
ENSG00000186594.16,1.383275478,4.81E-05,8.69E-05
ENSG00000186603.7,1.73506209,2.41E-14,9.88E-14
ENSG00000186675.7,1.646261247,3.58E-21,2.92E-20
ENSG00000186732.14,1.014372035,1.16E-17,6.56E-17
ENSG00000186766.8,2.093103368,1.40E-26,2.26E-25
ENSG00000186792.17,1.091159794,2.62E-16,1.29E-15
ENSG00000186810.8,1.930472869,1.96E-15,8.95E-15
ENSG00000186891.14,2.274121619,3.20E-18,1.92E-17
ENSG00000186910.4,1.095424507,2.44E-14,1.00E-13
ENSG00000187013.4,1.290352848,8.40E-09,2.13E-08
ENSG00000187037.9,1.065835621,5.41E-24,6.18E-23
ENSG00000187045.19,2.57450696,0.000678911,0.001094443
ENSG00000187151.7,2.65108832,1.04E-23,1.14E-22
ENSG00000187510.11,1.759136879,6.96E-05,0.000123858
ENSG00000187627.18,2.218206999,0.001226568,0.001924005
ENSG00000187908.20,1.223799675,3.70E-06,7.39E-06
ENSG00000187980.7,1.086933596,7.99E-07,1.70E-06
ENSG00000187994.14,1.31478041,3.34E-20,2.48E-19
ENSG00000188037.14,1.190164468,4.59E-14,1.83E-13
ENSG00000188051.7,2.873440405,2.33E-25,3.17E-24
ENSG00000188064.10,1.311118582,1.46E-07,3.32E-07
ENSG00000188176.12,2.980738243,9.16E-09,2.32E-08
ENSG00000188263.11,1.577445808,1.05E-05,2.01E-05
ENSG00000188505.5,4.569341677,4.25E-12,1.44E-11
ENSG00000188573.8,1.279734865,0.000104781,0.000183097
ENSG00000188693.8,1.158249493,1.30E-06,2.71E-06
ENSG00000188828.13,2.29289615,1.73E-19,1.18E-18
ENSG00000188883.5,1.230502024,4.72E-11,1.46E-10
ENSG00000188910.8,1.544726638,1.04E-05,2.00E-05
ENSG00000188991.3,1.03371773,2.96E-08,7.18E-08
ENSG00000189057.11,1.145371775,5.91E-36,9.90E-34
ENSG00000189367.15,3.023917628,2.30E-27,4.23E-26
ENSG00000189409.14,1.831630695,3.36E-08,8.10E-08
ENSG00000196081.10,1.004634612,5.62E-33,3.32E-31
ENSG00000196104.11,1.723735894,3.58E-20,2.65E-19
ENSG00000196109.9,3.087565052,1.15E-19,8.04E-19
ENSG00000196118.12,1.486716589,0.014137583,0.019608112
ENSG00000196166.5,1.434151282,4.21E-20,3.08E-19
ENSG00000196275.16,1.625834621,1.66E-06,3.42E-06
ENSG00000196345.13,2.188359218,6.74E-07,1.45E-06
ENSG00000196600.13,1.915226717,4.25E-11,1.32E-10
ENSG00000196620.10,1.518687842,6.71E-14,2.64E-13
ENSG00000196747.5,1.063282604,2.58E-37,9.31E-35
ENSG00000196860.8,1.000625451,7.05E-09,1.80E-08
ENSG00000197153.5,2.478816123,1.17E-35,1.74E-33
ENSG00000197165.11,1.770534676,3.25E-06,6.53E-06
ENSG00000197238.5,1.574465942,1.57E-27,2.97E-26
ENSG00000197299.13,1.036796748,7.31E-39,2.09E-35
ENSG00000197406.8,2.071621738,6.67E-10,1.87E-09
ENSG00000197437.5,2.486700072,5.51E-10,1.56E-09
ENSG00000197454.2,1.257547831,9.72E-17,5.01E-16
ENSG00000197576.15,1.539937241,1.03E-15,4.81E-15
ENSG00000197584.13,4.365390463,3.97E-07,8.69E-07
ENSG00000197744.5,1.017610553,2.07E-12,7.21E-12
ENSG00000197753.11,1.210073321,9.55E-26,1.38E-24
ENSG00000197816.16,1.525944306,1.34E-14,5.62E-14
ENSG00000197935.7,2.030905534,2.06E-05,3.86E-05
ENSG00000198128.4,1.077738018,2.59E-14,1.06E-13
ENSG00000198216.14,1.691484252,2.00E-05,3.75E-05
ENSG00000198354.7,2.285408083,2.27E-12,7.88E-12
ENSG00000198416.10,1.14440734,0.010293686,0.014519092
ENSG00000198468.11,1.826857515,1.46E-12,5.14E-12
ENSG00000198597.10,1.475550287,5.12E-24,5.87E-23
ENSG00000198643.7,4.256270475,5.55E-07,1.20E-06
ENSG00000198736.13,1.040385058,2.94E-16,1.44E-15
ENSG00000198758.11,2.79173714,6.91E-13,2.51E-12
ENSG00000198796.7,1.347122723,1.81E-14,7.51E-14
ENSG00000198797.7,6.482593275,1.42E-09,3.86E-09
ENSG00000198822.11,1.866184782,1.40E-12,4.95E-12
ENSG00000198842.10,1.652428969,8.46E-10,2.35E-09
ENSG00000198914.5,4.651010653,1.49E-16,7.51E-16
ENSG00000199090.1,2.296340605,3.49E-19,2.32E-18
ENSG00000199135.1,1.302630275,2.45E-20,1.85E-19
ENSG00000199150.3,1.464112127,4.87E-23,4.92E-22
ENSG00000199161.1,1.244767818,7.83E-20,5.56E-19
ENSG00000199390.1,1.54880347,8.94E-21,7.03E-20
ENSG00000199482.1,1.174904742,1.44E-11,4.66E-11
ENSG00000199562.1,1.465625875,0.001711599,0.00264266
ENSG00000199575.1,1.250936514,6.99E-14,2.75E-13
ENSG00000199711.1,1.151995905,6.30E-14,2.49E-13
ENSG00000199753.1,1.151090108,1.33E-07,3.03E-07
ENSG00000199824.1,7.881939139,1.60E-12,5.63E-12
ENSG00000199856.2,1.419364947,1.76E-08,4.33E-08
ENSG00000199938.1,1.009774514,0.001046807,0.001653958
ENSG00000200169.1,1.840230204,5.21E-21,4.19E-20
ENSG00000200351.1,2.707201663,4.39E-17,2.34E-16
ENSG00000200385.1,1.709736134,7.79E-16,3.68E-15
ENSG00000200537.1,1.048434571,3.11E-13,1.16E-12
ENSG00000200732.1,1.641031206,1.30E-13,5.00E-13
ENSG00000200769.1,3.067352359,0.004623373,0.00679754
ENSG00000200795.1,1.568127485,8.93E-11,2.71E-10
ENSG00000200814.1,1.635404946,0.003654215,0.00543437
ENSG00000200823.1,1.250218746,2.38E-17,1.31E-16
ENSG00000200895.1,1.225468367,2.80E-09,7.42E-09
ENSG00000200917.1,1.206431558,4.88E-16,2.35E-15
ENSG00000200974.1,2.255526449,8.08E-15,3.46E-14
ENSG00000201025.1,1.934270759,1.77E-19,1.21E-18
ENSG00000201036.1,1.32702366,5.77E-17,3.04E-16
ENSG00000201354.1,1.540120934,4.83E-29,1.18E-27
ENSG00000201431.1,1.109494254,1.05E-13,4.06E-13
ENSG00000201470.1,2.144646311,0.000476768,0.000780807
ENSG00000201487.1,2.755996996,4.32E-16,2.10E-15
ENSG00000201566.1,1.410069575,1.73E-06,3.57E-06
ENSG00000201684.1,2.326455901,1.70E-13,6.48E-13
ENSG00000201700.3,3.902816316,1.04E-17,5.90E-17
ENSG00000201839.1,1.043606743,2.53E-11,8.03E-11
ENSG00000201957.1,1.107963465,0.000334291,0.000556686
ENSG00000202048.1,1.948523599,2.25E-10,6.55E-10
ENSG00000202141.1,1.221203521,0.000113406,0.000197608
ENSG00000202172.1,1.861151472,0.000123159,0.000213896
ENSG00000202343.1,1.216131747,3.15E-10,9.09E-10
ENSG00000202363.1,2.408842664,4.61E-07,1.00E-06
ENSG00000202533.1,3.108283809,9.87E-07,2.08E-06
ENSG00000203258.3,1.50254457,2.66E-15,1.20E-14
ENSG00000203335.5,1.210653164,1.03E-15,4.81E-15
ENSG00000203435.2,2.374653867,1.01E-17,5.77E-17
ENSG00000203437.3,1.314025626,0.000210848,0.00035808
ENSG00000203663.4,2.211818951,2.70E-10,7.84E-10
ENSG00000203684.5,1.121485458,6.31E-07,1.36E-06
ENSG00000203722.8,1.006926655,0.025407657,0.034074257
ENSG00000203808.13,1.690997356,2.20E-09,5.88E-09
ENSG00000203858.3,1.105518929,1.49E-06,3.09E-06
ENSG00000203876.10,4.152496767,3.84E-25,5.07E-24
ENSG00000204195.4,4.036753892,3.39E-21,2.78E-20
ENSG00000204241.9,3.124505225,5.43E-14,2.16E-13
ENSG00000204253.4,1.004496035,1.19E-15,5.55E-15
ENSG00000204310.13,1.300238082,0.016373764,0.02253027
ENSG00000204335.4,2.071663888,6.94E-12,2.31E-11
ENSG00000204403.11,1.766161955,6.34E-26,9.42E-25
ENSG00000204576.12,1.354212611,0.017128247,0.02351253
ENSG00000204577.12,1.268183986,3.81E-08,9.14E-08
ENSG00000204677.13,1.522989712,0.003465681,0.005166015
ENSG00000204941.14,1.196319868,2.96E-16,1.45E-15
ENSG00000204956.6,1.421323371,5.66E-07,1.22E-06
ENSG00000205056.9,7.898262709,6.91E-10,1.94E-09
ENSG00000205090.10,2.274391247,0.001270659,0.001989808
ENSG00000205277.10,1.904924435,0.000184962,0.000315603
ENSG00000205420.11,1.646623283,5.10E-06,1.01E-05
ENSG00000205670.12,1.834613349,1.81E-06,3.72E-06
ENSG00000205682.2,2.046124267,9.67E-22,8.42E-21
ENSG00000205771.9,1.121078832,1.95E-05,3.67E-05
ENSG00000205784.4,1.663764847,7.79E-05,0.000137769
ENSG00000205794.4,1.119681867,2.44E-08,5.95E-08
ENSG00000205832.8,1.304255011,3.16E-08,7.62E-08
ENSG00000206127.11,3.439383719,6.39E-06,1.25E-05
ENSG00000206181.7,2.046702503,1.81E-05,3.41E-05
ENSG00000206448.3,1.20146676,0.026701137,0.035718361
ENSG00000206602.1,1.132666556,0.002455891,0.003726913
ENSG00000206620.1,4.092474362,1.70E-30,5.55E-29
ENSG00000206621.1,2.980628603,2.93E-09,7.75E-09
ENSG00000206712.1,1.182718668,1.06E-06,2.23E-06
ENSG00000206754.1,1.622890588,1.72E-06,3.54E-06
ENSG00000206852.1,2.112434818,8.66E-07,1.84E-06
ENSG00000206875.1,1.800446882,0.000125483,0.00021781
ENSG00000206885.1,3.054483612,0.033515982,0.0442613
ENSG00000207003.1,1.126392638,7.13E-05,0.000126554
ENSG00000207117.1,1.3838445,1.10E-05,2.10E-05
ENSG00000207146.1,1.635024432,1.89E-10,5.55E-10
ENSG00000207155.1,1.299437997,2.75E-13,1.03E-12
ENSG00000207166.1,4.770048864,7.91E-15,3.39E-14
ENSG00000207251.1,1.450082525,1.85E-17,1.02E-16
ENSG00000207342.1,1.608109154,4.77E-09,1.24E-08
ENSG00000207401.1,1.896189969,9.51E-20,6.69E-19
ENSG00000207445.1,1.86034773,4.48E-19,2.94E-18
ENSG00000207455.1,1.106187268,3.50E-09,9.19E-09
ENSG00000207563.1,4.267165311,4.64E-27,8.12E-26
ENSG00000207638.1,1.717459979,7.12E-27,1.21E-25
ENSG00000207744.1,1.29448089,3.51E-21,2.87E-20
ENSG00000207827.1,2.381583945,4.04E-10,1.15E-09
ENSG00000207863.1,1.140173086,8.89E-18,5.10E-17
ENSG00000207967.1,1.147626047,3.05E-11,9.61E-11
ENSG00000207971.1,2.3083877,1.06E-18,6.65E-18
ENSG00000208018.1,1.321548758,0.001663973,0.002572494
ENSG00000211451.13,2.517787472,0.000163885,0.000281392
ENSG00000211593.2,4.505180024,2.39E-06,4.87E-06
ENSG00000211892.4,1.661487899,1.92E-15,8.77E-15
ENSG00000211950.2,1.697484807,0.000262625,0.000441876
ENSG00000211956.2,1.049002799,3.60E-09,9.44E-09
ENSG00000211972.2,1.657529757,0.019196519,0.026167841
ENSG00000212342.1,4.339786951,2.38E-12,8.24E-12
ENSG00000212458.1,2.047156354,4.31E-10,1.23E-09
ENSG00000212498.1,1.710124597,4.65E-12,1.57E-11
ENSG00000212567.1,2.640800697,0.000581268,0.000942885
ENSG00000212624.1,1.078677922,4.54E-10,1.29E-09
ENSG00000212807.3,2.708976945,1.20E-09,3.27E-09
ENSG00000213071.12,1.228728946,7.19E-13,2.61E-12
ENSG00000213185.7,1.286715837,1.68E-07,3.79E-07
ENSG00000213293.4,1.303865097,9.03E-12,2.98E-11
ENSG00000213303.3,1.414748023,2.77E-09,7.34E-09
ENSG00000213328.3,1.386909313,1.12E-17,6.37E-17
ENSG00000213373.7,2.070444221,7.55E-30,2.15E-28
ENSG00000213384.2,1.628058829,0.000197507,0.000336204
ENSG00000213420.8,1.271791921,9.12E-14,3.55E-13
ENSG00000213703.2,1.467839945,0.004203438,0.006204816
ENSG00000213711.3,2.302571689,5.37E-25,6.94E-24
ENSG00000213735.2,1.154700104,2.89E-09,7.66E-09
ENSG00000213744.3,2.110975663,0.00393155,0.005822529
ENSG00000213755.3,1.843513372,1.94E-09,5.21E-09
ENSG00000213866.3,2.896969553,3.44E-13,1.28E-12
ENSG00000213946.3,2.723996353,7.41E-33,4.22E-31
ENSG00000213950.2,1.533534191,9.22E-08,2.13E-07
ENSG00000213959.2,1.227422048,3.94E-13,1.46E-12
ENSG00000213962.2,1.180539614,1.97E-16,9.87E-16
ENSG00000213997.3,1.846760037,3.28E-07,7.25E-07
ENSG00000214108.4,5.354131229,3.55E-11,1.11E-10
ENSG00000214182.5,1.568446764,1.39E-17,7.80E-17
ENSG00000214211.2,3.617316267,4.63E-32,2.18E-30
ENSG00000214216.11,4.194299775,1.75E-16,8.78E-16
ENSG00000214309.5,1.061589055,0.000328454,0.000547441
ENSG00000214510.10,1.162969063,4.43E-20,3.24E-19
ENSG00000214561.3,1.363077778,1.22E-17,6.91E-17
ENSG00000214563.2,1.839244369,7.52E-15,3.23E-14
ENSG00000214659.4,1.347984599,1.77E-06,3.65E-06
ENSG00000214776.13,1.153070994,0.000425421,0.000700417
ENSG00000214866.9,1.373147642,7.12E-27,1.21E-25
ENSG00000214942.6,2.280461138,3.14E-28,6.65E-27
ENSG00000214975.4,2.08568765,3.05E-19,2.04E-18
ENSG00000214976.2,2.628944231,1.00E-20,7.84E-20
ENSG00000215009.6,1.59383782,0.002554723,0.003869809
ENSG00000215217.7,2.023370997,3.78E-06,7.55E-06
ENSG00000215704.10,1.700793727,1.10E-10,3.30E-10
ENSG00000215795.2,1.226756608,1.85E-05,3.48E-05
ENSG00000216058.1,1.005031628,4.07E-20,2.98E-19
ENSG00000216192.1,2.235274749,4.71E-17,2.50E-16
ENSG00000216639.1,1.02360001,2.37E-05,4.42E-05
ENSG00000216657.1,1.112697528,0.021169208,0.028694957
ENSG00000216687.2,2.510631732,6.40E-24,7.25E-23
ENSG00000216863.11,1.960522806,7.68E-08,1.79E-07
ENSG00000217094.2,1.715309664,1.34E-20,1.04E-19
ENSG00000217227.1,1.14566905,6.32E-05,0.000112937
ENSG00000217455.8,1.443929542,1.09E-20,8.53E-20
ENSG00000217643.1,1.290204649,1.02E-09,2.82E-09
ENSG00000217680.1,2.141276928,2.43E-21,2.02E-20
ENSG00000218502.3,1.263240901,0.000173805,0.000297409
ENSG00000218730.1,2.251082441,2.81E-10,8.15E-10
ENSG00000219355.2,1.248808616,4.47E-06,8.87E-06
ENSG00000219410.6,1.229035858,1.83E-07,4.13E-07
ENSG00000219433.2,1.122864901,0.000165095,0.000283312
ENSG00000219532.2,1.123881834,1.85E-07,4.17E-07
ENSG00000219755.1,1.012001559,1.51E-10,4.49E-10
ENSG00000220614.1,1.023470233,1.85E-09,4.99E-09
ENSG00000220744.1,1.130724271,6.36E-06,1.24E-05
ENSG00000221203.1,1.997765949,1.45E-18,9.06E-18
ENSG00000221340.1,1.209272864,1.32E-15,6.14E-15
ENSG00000221740.1,3.315505682,1.52E-10,4.51E-10
ENSG00000221782.1,3.25631152,2.91E-20,2.18E-19
ENSG00000221826.10,2.358368711,6.75E-25,8.61E-24
ENSG00000221878.13,1.433496075,7.51E-24,8.43E-23
ENSG00000221888.4,1.437183003,6.27E-15,2.72E-14
ENSG00000221953.5,1.5029699,5.89E-05,0.000105609
ENSG00000222012.1,3.253872301,2.72E-21,2.26E-20
ENSG00000222020.5,2.599175737,0.000189748,0.000323555
ENSG00000222078.1,1.071085248,6.10E-05,0.000109266
ENSG00000222351.1,1.412738276,2.10E-08,5.16E-08
ENSG00000222365.1,1.208393354,3.50E-17,1.88E-16
ENSG00000222385.1,1.295934973,0.00720872,0.010358335
ENSG00000222386.1,1.035518113,7.98E-21,6.30E-20
ENSG00000222973.1,1.236462591,2.44E-06,4.95E-06
ENSG00000223190.1,1.222573371,6.34E-17,3.33E-16
ENSG00000223324.1,3.525974653,2.62E-17,1.43E-16
ENSG00000223351.5,1.255242329,3.77E-21,3.07E-20
ENSG00000223436.1,1.400807245,3.60E-16,1.76E-15
ENSG00000223458.2,1.490269305,1.70E-28,3.75E-27
ENSG00000223462.2,1.863305798,3.40E-06,6.81E-06
ENSG00000223523.1,1.109565673,1.10E-13,4.25E-13
ENSG00000223558.1,2.180980803,1.01E-10,3.06E-10
ENSG00000223561.8,1.168961599,4.56E-07,9.94E-07
ENSG00000223563.1,1.800331674,6.14E-27,1.05E-25
ENSG00000223573.7,1.858453375,4.28E-13,1.58E-12
ENSG00000223656.1,1.094369481,2.70E-09,7.19E-09
ENSG00000223727.6,2.575411535,7.41E-19,4.74E-18
ENSG00000223733.1,1.072334702,2.09E-13,7.90E-13
ENSG00000223787.2,4.25877917,0.010681621,0.015037914
ENSG00000223799.3,1.465044408,1.00E-08,2.53E-08
ENSG00000223808.1,1.153815206,9.03E-08,2.09E-07
ENSG00000223812.8,1.612171265,1.29E-13,4.96E-13
ENSG00000223843.5,2.14019134,6.54E-22,5.82E-21
ENSG00000223849.1,1.274845164,5.17E-07,1.12E-06
ENSG00000223861.1,4.473831734,2.14E-07,4.79E-07
ENSG00000223928.1,2.062792121,1.11E-11,3.63E-11
ENSG00000223930.9,1.149880353,9.11E-09,2.31E-08
ENSG00000224059.1,1.466711602,1.25E-17,7.07E-17
ENSG00000224066.1,1.046156749,2.82E-07,6.27E-07
ENSG00000224185.1,1.888538092,4.66E-05,8.43E-05
ENSG00000224222.2,1.062245585,5.47E-10,1.55E-09
ENSG00000224232.1,1.864133798,4.39E-06,8.72E-06
ENSG00000224251.6,1.443333757,0.004479352,0.006595593
ENSG00000224255.2,1.45197897,7.70E-07,1.64E-06
ENSG00000224259.9,1.502806684,0.02959673,0.039394233
ENSG00000224261.2,1.402782557,1.92E-14,7.94E-14
ENSG00000224310.1,2.026362434,9.20E-12,3.03E-11
ENSG00000224316.1,1.481389286,4.57E-08,1.09E-07
ENSG00000224354.2,1.08141238,1.02E-06,2.15E-06
ENSG00000224397.9,2.649947633,2.52E-20,1.89E-19
ENSG00000224420.4,1.616119297,1.63E-06,3.38E-06
ENSG00000224462.2,1.976175692,1.90E-19,1.29E-18
ENSG00000224463.1,1.029252216,0.002987493,0.00448614
ENSG00000224525.2,1.747733409,3.67E-18,2.19E-17
ENSG00000224543.4,1.622064414,4.99E-08,1.18E-07
ENSG00000224545.1,1.245824146,2.33E-07,5.22E-07
ENSG00000224549.1,1.59745613,7.86E-09,2.00E-08
ENSG00000224566.2,2.711247685,7.01E-09,1.79E-08
ENSG00000224658.1,2.779520177,4.08E-24,4.74E-23
ENSG00000224707.1,1.501964432,1.75E-23,1.86E-22
ENSG00000224728.1,1.008090805,0.000392739,0.000648943
ENSG00000224747.1,2.062020761,1.71E-08,4.23E-08
ENSG00000224769.1,8.520344654,0.017171043,0.023568113
ENSG00000224795.4,3.13847316,4.08E-21,3.31E-20
ENSG00000224810.1,4.275692098,6.08E-05,0.000108848
ENSG00000224844.1,1.830019712,1.10E-06,2.31E-06
ENSG00000224875.2,2.973308081,3.68E-09,9.65E-09
ENSG00000224885.1,2.358681421,2.15E-17,1.18E-16
ENSG00000224897.9,1.479817273,1.25E-06,2.62E-06
ENSG00000224958.6,3.730978069,8.19E-34,6.07E-32
ENSG00000224961.3,2.10130566,4.79E-18,2.83E-17
ENSG00000224982.4,3.190880093,0.02026064,0.027527868
ENSG00000225008.1,5.0717423,1.82E-06,3.75E-06
ENSG00000225039.2,1.128442084,5.50E-07,1.19E-06
ENSG00000225111.3,1.495366436,0.009918342,0.014011583
ENSG00000225144.2,1.297348577,9.21E-15,3.92E-14
ENSG00000225179.2,2.435327025,2.42E-11,7.70E-11
ENSG00000225203.2,3.681599858,8.21E-06,1.59E-05
ENSG00000225216.6,2.478311056,0.005836103,0.008476541
ENSG00000225243.5,1.260707026,0.005302158,0.007738401
ENSG00000225286.1,1.093675143,1.93E-07,4.35E-07
ENSG00000225298.5,1.715804077,8.17E-13,2.94E-12
ENSG00000225345.4,1.136636446,1.77E-07,3.99E-07
ENSG00000225349.2,2.564316301,0.000912468,0.001450668
ENSG00000225398.3,2.335738249,1.53E-31,6.26E-30
ENSG00000225473.1,1.893046414,2.49E-05,4.64E-05
ENSG00000225489.8,5.680380773,1.31E-14,5.51E-14
