Genes,log2foldChange,pValues,FDR
ENSG00000105696.9,1.423303427,7.04E-07,1.51E-06
ENSG00000105750.15,1.475004967,8.25E-19,5.25E-18
ENSG00000106031.9,1.071720896,7.31E-06,1.42E-05
ENSG00000106125.14,1.908835166,0.001975197,0.003028306
ENSG00000106341.11,1.72662811,1.98E-21,1.67E-20
ENSG00000106631.8,1.329744238,4.59E-14,1.83E-13
ENSG00000106927.12,2.632534895,2.28E-12,7.93E-12
ENSG00000107984.10,2.186103864,5.49E-06,1.08E-05
ENSG00000108602.18,1.35526672,2.76E-12,9.53E-12
ENSG00000108759.4,1.049049666,1.69E-13,6.43E-13
ENSG00000109047.8,1.286903496,2.90E-19,1.94E-18
ENSG00000109684.16,3.069830939,5.07E-15,2.22E-14
ENSG00000109805.10,1.125175642,3.08E-38,2.87E-35
ENSG00000109832.14,1.925481555,2.10E-13,7.96E-13
ENSG00000109943.9,2.097882707,2.78E-11,8.78E-11
ENSG00000111012.10,1.642353348,9.66E-21,7.58E-20
ENSG00000111247.15,1.279047619,1.00E-37,5.39E-35
ENSG00000111644.8,1.221300218,1.90E-10,5.58E-10
ENSG00000111665.12,1.319803412,2.89E-35,3.78E-33
ENSG00000111846.20,1.063195471,8.44E-15,3.61E-14
ENSG00000112077.18,1.478717957,3.54E-27,6.30E-26
ENSG00000112394.18,1.245088874,2.28E-25,3.12E-24
ENSG00000112742.10,1.465768431,1.75E-37,7.66E-35
ENSG00000112799.9,1.008692732,9.06E-23,8.90E-22
ENSG00000112984.12,1.010485056,1.17E-37,5.88E-35
ENSG00000113088.6,1.566614372,9.20E-17,4.76E-16
ENSG00000113303.12,1.250428099,1.00E-11,3.29E-11
ENSG00000113600.12,1.275226388,5.73E-08,1.35E-07
ENSG00000113763.12,1.227737628,0.049083367,0.063389446
ENSG00000115041.14,2.600574801,4.74E-07,1.03E-06
ENSG00000115590.14,3.114731451,6.68E-07,1.43E-06
ENSG00000116035.4,1.071338132,6.50E-05,0.000115856
ENSG00000116176.7,2.410462725,5.64E-23,5.66E-22
ENSG00000116745.7,1.523512134,2.88E-17,1.56E-16
ENSG00000116771.6,1.062092997,3.66E-16,1.79E-15
ENSG00000116882.15,1.139579861,8.03E-10,2.24E-09
ENSG00000117399.14,1.310896966,1.59E-37,7.15E-35
ENSG00000117650.13,2.951744166,4.70E-37,1.40E-34
ENSG00000117877.11,1.0773569,6.69E-17,3.51E-16
ENSG00000118193.12,1.524413925,2.43E-38,2.66E-35
ENSG00000118322.14,2.21862331,9.65E-06,1.86E-05
ENSG00000120160.11,1.088985124,3.82E-11,1.19E-10
ENSG00000121053.6,1.3948226,3.62E-09,9.49E-09
ENSG00000121152.10,1.270848805,1.14E-37,5.83E-35
ENSG00000121410.12,1.608657742,1.39E-07,3.18E-07
ENSG00000121594.12,1.77854069,2.59E-36,5.13E-34
ENSG00000121621.7,1.258355262,5.81E-37,1.58E-34
ENSG00000121871.4,1.106854311,1.38E-20,1.07E-19
ENSG00000121904.19,1.006493443,2.57E-18,1.56E-17
ENSG00000122254.7,2.937941694,0.041859263,0.054565236
ENSG00000122548.5,1.118210311,1.93E-14,7.99E-14
ENSG00000123219.13,1.069094909,4.58E-36,8.07E-34
ENSG00000123485.12,2.429198583,3.08E-38,2.87E-35
ENSG00000123843.13,2.03864513,5.33E-09,1.38E-08
ENSG00000123975.5,1.104885896,9.44E-38,5.23E-35
ENSG00000124467.20,1.648066779,1.82E-22,1.73E-21
ENSG00000124479.11,1.962009961,1.38E-08,3.44E-08
ENSG00000124490.14,1.37745362,1.98E-11,6.34E-11
ENSG00000124610.5,2.05697984,2.31E-29,6.00E-28
ENSG00000124731.13,2.111550613,3.96E-12,1.35E-11
ENSG00000124780.14,1.471504196,0.007071153,0.010168761
ENSG00000124827.7,5.353130698,6.88E-19,4.42E-18
ENSG00000125409.13,1.559001668,2.60E-09,6.92E-09
ENSG00000125787.11,2.458074707,9.28E-05,0.000163001
ENSG00000125851.10,1.144770463,8.59E-16,4.04E-15
ENSG00000125869.10,5.986177048,2.86E-18,1.72E-17
ENSG00000125878.7,1.099600194,6.36E-06,1.24E-05
ENSG00000125910.6,1.820386558,2.52E-12,8.72E-12
ENSG00000125931.11,1.275931788,9.70E-25,1.21E-23
ENSG00000125999.11,1.648767655,6.19E-11,1.90E-10
ENSG00000126231.15,1.163181779,0.002493482,0.0037819
ENSG00000126249.8,1.483627069,1.45E-20,1.12E-19
ENSG00000126467.11,1.492730765,3.19E-08,7.70E-08
ENSG00000126787.13,1.563639534,4.14E-39,1.59E-35
ENSG00000126950.8,2.909306658,6.54E-17,3.43E-16
ENSG00000127423.11,2.640348458,2.95E-31,1.15E-29
ENSG00000127589.4,2.86489917,2.29E-10,6.67E-10
ENSG00000128165.9,1.574910346,1.53E-27,2.89E-26
ENSG00000128242.13,1.390062018,5.47E-14,2.17E-13
ENSG00000128408.9,2.542521464,7.55E-14,2.96E-13
ENSG00000128510.12,1.099693617,2.14E-12,7.44E-12
ENSG00000128965.13,3.347153364,7.94E-17,4.13E-16
ENSG00000129810.15,2.391181963,2.29E-37,9.02E-35
ENSG00000130037.5,2.826266984,1.32E-10,3.95E-10
