"","log2foldChange","pValues","FDR"
"ENSG00000005100.13",0.0407795608427612,0.163652610408466,0.194761338423019
"ENSG00000005102.14",-1.8137419033821,6.72895469162238e-29,1.60111535567688e-27
"ENSG00000005108.17",-0.287559346576698,2.74088192121875e-16,1.35131955321814e-15
"ENSG00000005156.12",0.0528490451489018,2.12594753075808e-05,3.98003642287012e-05
"ENSG00000005175.10",0.051787358237996,1.22266846522156e-06,2.55801258504846e-06
"ENSG00000005187.12",-0.491130198977312,5.38754759356345e-05,9.68363058146885e-05
"ENSG00000005189.20",0.234242046924668,6.3000136803545e-11,1.93092554801792e-10
"ENSG00000005194.15",0.209076924435022,1.09353372019548e-27,2.11874748781526e-26
"ENSG00000005206.17",0.00490092681519941,0.407139461400994,0.451296509599923
"ENSG00000005238.20",0.157972586556883,1.50213814317386e-11,4.8594113478837e-11
"ENSG00000005243.10",-0.240589360384218,1.35869443579485e-05,2.59125214775923e-05
"ENSG00000005249.14",-0.337943599212626,2.71622593511005e-10,7.88018971393874e-10
"ENSG00000005302.19",0.17135021284159,3.68208715743136e-32,1.78691922793635e-30
"ENSG00000005339.15",-0.0772515974712184,5.3276101542817e-19,3.46193074241471e-18
"ENSG00000005379.17",-0.0964511077392167,0.00101656639169187,0.00160841412430134
"ENSG00000005381.9",-0.216141310420743,0.0498280261320926,0.0643078219860051
"ENSG00000005436.14",-0.0505780479946035,1.63240793693174e-05,3.08925673064932e-05
"ENSG00000005448.17",0.0632490592822475,0.0500425178523811,0.0645710586895406
"ENSG00000005469.12",-0.106367316222482,1.60468040042197e-06,3.32077137584118e-06
"ENSG00000005471.19",0.0525218581134454,0.150463130337542,0.180324111854593
"ENSG00000005483.23",-0.0686651721264743,1.84246298474109e-18,1.13337709997982e-17
"ENSG00000005486.17",0.0936900982237735,2.76537849483728e-06,5.59220174162025e-06
"ENSG00000005513.10",-0.30868405743438,0.0109090869837946,0.0153370281848169
"ENSG00000005700.15",0.0578214176835191,2.19616292645632e-09,5.88232583331952e-09
"ENSG00000005801.18",0.064903517660784,1.28058644420484e-06,2.67462491182885e-06
"ENSG00000005810.20",-0.0205121530987356,0.117449840576631,0.143249853275772
"ENSG00000005812.11",-0.109998465091914,6.98955300527119e-15,3.01811319477224e-14
"ENSG00000005844.19",0.235225683474297,2.17152189905854e-09,5.81835836166896e-09
"ENSG00000005882.12",-0.290259489943802,1.3084237826106e-20,1.01493843794764e-19
"ENSG00000005884.18",-0.23197143385538,1.34372029338438e-16,6.83130202525977e-16
"ENSG00000005889.16",-0.0193857027236514,0.00318048056603236,0.00476125143697669
"ENSG00000005893.17",0.0933744883355053,1.00869765002766e-19,7.0795802343246e-19
"ENSG00000005961.19",-0.784781356511171,0.000481712290830502,0.000788483171739905
